Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
PRU;78741;USD;2022;FY;2022-12-31;2023-02-16;2025-02-13;387200000;390100000;-1675000000;117000000;8310000000;5158000000;;-5222000000;22456000000;-1817000000;1308000000;-1325000000;-25161000000;-159000000;4365000000
RGA;448474;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;65400000;65800000;415000000;49000000;2633000000;3322000000;;-1973000000;-2680000000;-182000000;381000000;319000000;1254000000;63000000;1959000000
RGA;448474;USD;2021;FY;2021-12-31;2022-02-25;2023-02-24;68000000;68000000;617000000;43000000;3619000000;4182000000;;-5034000000;-4628000000;-194000000;-111000000;-99000000;20000000;-34000000;-460000000
RGA;448474;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;68000000;68000000;517000000;38000000;533000000;1343000000;;-5075000000;-5688000000;-205000000;106000000;-81000000;4436000000;-112000000;-21000000
RGA;448474;USD;2023;FY;2023-12-31;2024-02-21;2026-02-20;66300000;67100000;902000000;41000000;3193000000;4044000000;;-3489000000;-4066000000;-219000000;462000000;-227000000;78000000;-13000000;43000000
RGA;448474;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;65800000;66900000;717000000;46000000;8242000000;9370000000;;-11289000000;-12545000000;-229000000;612000000;-27000000;3661000000;-130000000;356000000
RLI;1059908;USD;2020;FY;2020-12-31;2021-02-19;2023-02-24;90000000;90752000;157091000;7432000;-47646000;263259000;-5768000;-436803000;-167987000;-87906000;;8648000;-79258000;;16014000
RLI;1059908;USD;2021;FY;2021-12-31;2022-02-18;2024-02-23;90578000;91460000;279354000;7394000;-97791000;384905000;-8310000;-639443000;-274826000;-135330000;50000000;1838000;-83492000;;26587000
RLI;1059908;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;90736000;91588000;583411000;7981000;-548879000;250448000;-5514000;-1986673000;48879000;-364848000;;-465000;-365313000;;-65986000
RLI;1059908;USD;2023;FY;2023-12-31;2024-02-23;2026-02-20;91192000;92154000;304611000;8545000;-41251000;464257000;-5886000;-615706000;-211803000;-140093000;-100000000;1245000;-238848000;;13606000
RLI;1059908;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;91529000;92451000;345779000;7664000;-91762000;560219000;-4697000;-695070000;-318870000;-235656000;0;-2327000;-237983000;;3366000
RNR;971614;USD;2020;FY;2020-12-31;2021-02-05;2023-02-08;47103000;47178000;993058000;16652000;-788833000;1992735000;;-1648757000;-2304689000;-99413000;-250000000;907886000;665214000;4485000;357745000
RNR;971614;USD;2021;FY;2021-12-31;2022-02-04;2024-02-21;44722000;44748000;-103440000;-20989000;3458000;1234815000;;69809000;-816296000;-100717000;30000000;-813852000;-302461000;6148000;122206000
RNR;971614;USD;2022;FY;2022-12-31;2023-02-08;2025-02-12;44722000;44748000;-1159816000;-26950000;1323337000;1603683000;;-1768820000;-3016176000;-100071000;;-166664000;725342000;22471000;-664680000
RNR;971614;USD;2023;FY;2023-12-31;2024-02-21;2026-02-11;47493000;47607000;3620127000;-134753000;-453135000;1911634000;;-1919136000;-3822636000;-110487000;785581000;1351608000;2588640000;5542000;683180000
RNR;971614;USD;2024;FY;2024-12-31;2025-02-12;2026-02-11;51186000;51339000;2960532000;258456000;178674000;4164822000;;-1693484000;-3060856000;-116224000;-75000000;-666921000;-1287515000;-17365000;-200914000
RYAN;11794920;USD;2020;FY;2020-12-31;2021-03-16;2023-03-01;106488770;106488770;70513000;67501000;38892000;135393000;-12498000;;-768508000;;1051553000;-52562000;1125304000;494895000;987084000
RYAN;11794920;USD;2021;FY;2021-12-31;2022-03-16;2024-02-28;105730008;105730008;56632000;112683000;87145000;273493000;;;-457937000;;-17608000;401993000;429284000;243074000;487914000
RYAN;11794920;USD;2022;FY;2022-12-31;2023-03-01;2025-02-21;108616420;265750444;163257000;109291000;109123000;335514000;;;-22420000;;377500000;;314756000;-126000;627724000
RYAN;11794920;USD;2023;FY;2023-12-31;2024-02-28;2026-02-13;114359968;125745139;194480000;115837000;128991000;477203000;-29776000;;-476230000;;-16500000;;-12610000;-10469000;-22106000
RYAN;11794920;USD;2024;FY;2024-12-31;2025-02-21;2026-02-13;120781234;132891487;229913000;167630000;146701000;514868000;-47001000;;-1755738000;-80236000;1286775000;-2130000;1166857000;-77041000;-151054000
SAFT;250043;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;15002755;15119027;138211000;;14761000;109460000;;30218000;-35524000;-54575000;30000000;-39999000;-64574000;;9362000
SAFT;250043;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;14982405;15080029;130710000;4234000;-26763000;141394000;;-29558000;-65989000;-54008000;;-11563000;-65571000;;9834000
SAFT;250043;USD;2022;FY;2022-12-31;2023-02-28;2025-02-27;14607483;14710611;46561000;1693000;31013000;44326000;;16961000;-19988000;-53038000;5000000;-14603000;-62641000;;-38303000
SAFT;250043;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;14663730;14710131;18875000;-310000;2000;52114000;;43853000;24269000;-53291000;-5000000;-5240000;-63531000;;12852000
SAFT;250043;USD;2024;FY;2024-12-31;2025-02-27;2026-02-27;14692089;14717118;70734000;719000;-4939000;128688000;;-28476000;-54541000;-53325000;0;;-53325000;;20822000
SIGI;627778;USD;2020;FY;2020-12-31;2021-02-12;2023-02-10;59862000;60293000;246355000;59350000;292355000;554045000;;-437829000;-688174000;-54486000;-550000;196421000;141385000;;7256000
SIGI;627778;USD;2021;FY;2021-12-31;2022-02-11;2024-02-09;60200000;60800000;403837000;55109000;411271000;771422000;;-441124000;-618780000;-69489000;-51768000;-1553000;-122810000;;29832000
STFC;9076341;USD;2020;FY;2020-12-31;2021-03-10;2021-03-10;43700000;44300000;13100000;10600000;-52400000;49000000;;-15700000;-21800000;;0;3000000;-14500000;;12700000
THG;1234794;USD;2020;FY;2020-12-31;2021-02-24;2023-02-23;37700000;38100000;358700000;18200000;407200000;707600000;-14900000;-338800000;-608800000;-99500000;120600000;-206500000;-193900000;;-95100000
