Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
AHL;700634;USD;2021;FY;2021-12-31;2022-04-20;2024-04-01;60395839;60395839;29800000;53300000;546700000;524700000;;1219900000;-950300000;-44500000;;;500000;-8100000;-433200000
AHL;700634;USD;2022;FY;2022-12-31;2023-04-20;2025-03-19;60395839;60395839;51100000;43300000;-1219600000;-55000000;;1781500000;-196500000;-84600000;;;-84600000;-18800000;-354900000
AHL;700634;USD;2023;FY;2023-12-31;2024-04-01;2026-03-30;60395839;60395839;534700000;11000000;205400000;324700000;;58400000;-172200000;-90200000;0;;-90200000;6600000;68900000
AHL;700634;USD;2024;FY;2024-12-31;2025-03-19;2026-03-30;60395839;60395839;486100000;-1000000;961400000;554900000;;-123300000;-352800000;-249900000;;-58000000;-307900000;-8100000;-113900000
AIG;251769;USD;2023;FY;2023-12-31;2024-02-14;2026-02-12;719506291;725233068;2741000000;3841000000;1397000000;6243000000;;2423000000;-7021000000;-1026000000;-1607000000;-2961000000;782000000;-13000000;-9000000
AIG;251769;USD;2024;FY;2024-12-31;2025-02-13;2026-02-12;651448307;657283160;2700000000;3597000000;-95000000;3273000000;;292000000;1672000000;-1024000000;-1387000000;-7137000000;-5063000000;-83000000;-201000000
AIZ;66661;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;60114670;63179938;518500000;142300000;272900000;1342000000;-121200000;358800000;-735200000;-173300000;242500000;-307300000;-264800000;19500000;361500000
AIZ;66661;USD;2021;FY;2021-12-31;2022-02-22;2024-02-15;59126313;59479464;602900000;171600000;92600000;781700000;-187400000;-702200000;157600000;-162300000;-72600000;-854900000;-1089800000;-23300000;-173800000
AIZ;66661;USD;2022;FY;2022-12-31;2023-02-17;2025-02-20;54371531;54782528;276600000;182000000;356600000;619400000;-186300000;-82500000;-284600000;-150200000;-75900000;-592300000;-818400000;-34500000;-518100000
AIZ;66661;USD;2023;FY;2023-12-31;2024-02-15;2026-02-19;53455139;53783069;642500000;196400000;-3000000;1138100000;-202500000;-352700000;-637700000;-152300000;-51800000;-197300000;-403900000;-5800000;90700000
AIZ;66661;USD;2024;FY;2024-12-31;2025-02-20;2026-02-19;52231729;52581102;760200000;223500000;1581200000;1332700000;-221300000;-364800000;-657800000;-155900000;;-321600000;-477500000;-17100000;180300000
AMBC;7962678;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;46147062;46147062;-437000000;58000000;95000000;-175000000;;137000000;433000000;;-121000000;;-302000000;;-44000000
AMBC;7962678;USD;2021;FY;2021-12-31;2022-02-24;2023-03-01;46535001;46535001;-18000000;57000000;-165000000;-135000000;;698000000;776000000;;-1630000000;;-656000000;;-15000000
AMSF;6767743;USD;2020;FY;2020-12-31;2021-02-26;2023-02-21;19288996;19363809;86602000;1012000;5786000;63398000;;33559000;43321000;-88775000;;;-88775000;;17944000
AMSF;6767743;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;19332391;19408619;65756000;9885000;-33821000;38058000;-1296000;85915000;70880000;-99929000;;;-99973000;;8965000
AMSF;6767743;USD;2022;FY;2022-12-31;2023-02-21;2025-02-28;19233241;19321717;55602000;8043000;-49353000;28150000;-2089000;34820000;75470000;-100427000;;-12388000;-112873000;;-9253000
AMSF;6767743;USD;2023;FY;2023-12-31;2024-02-23;2026-02-27;19149080;19226021;62108000;4452000;-26685000;29842000;-553000;29661000;43884000;-93307000;;-2171000;-96513000;;-22787000
AMSF;6767743;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;19070717;19159805;55436000;2540000;-22968000;24190000;-840000;81789000;72371000;-85436000;;-5123000;-91198000;;5363000
ARGO;6767761;USD;2022;FY;2022-12-31;2023-03-06;2025-03-25;34980608;34980608;-175200000;18500000;139100000;53200000;;179900000;-13400000;;;;;;39800000
ARGO;6767761;USD;2023;FY;2023-12-31;2024-03-19;2025-03-25;35166679;35197824;-209500000;51800000;2400000;310600000;;256100000;-369000000;;;;;;-58400000
ARGO;6767761;USD;2024;FY;2024-12-31;2025-03-25;2025-03-25;35166679;35197824;-148100000;183400000;-132200000;-144700000;;245300000;-197900000;;;;;;-342600000
AXS;971612;USD;2020;FY;2020-12-31;2021-02-26;2023-02-27;84235000;84235000;-120424000;65797000;-13715000;343503000;;-9159498000;489921000;-173421000;-500000000;-225000000;-908803000;2154000;-73225000
AXS;971612;USD;2021;FY;2021-12-31;2022-02-25;2024-02-27;84774000;85591000;618609000;66977000;-303641000;1197692000;;-10606817000;-1114195000;-175853000;;;-268965000;-74000;-185542000
AXS;971612;USD;2022;FY;2022-12-31;2023-02-27;2025-02-26;84262000;84262000;223083000;68288000;463121000;798038000;;-6729126000;-655798000;-179591000;78950000;-34987000;-255444000;-29833000;-143037000
AXS;971612;USD;2023;FY;2023-12-31;2024-02-27;2026-02-27;85142000;86012000;376292000;75552000;96518000;1255559000;;-5506267000;-505768000;-184025000;5250000;;-552213000;11754000;209332000
AXS;971612;USD;2024;FY;2024-12-31;2025-02-26;2026-02-27;84165000;85176000;1081786000;55306000;-1517000;1844813000;;-9360654000;479497000;-182015000;-19410000;-199944000;-616339000;-28335000;1679636000
BHF;696260;USD;2020;FY;2020-12-31;2021-02-24;2023-02-23;95350822;95350822;-1056000000;;-2433000000;888000000;;-5897000000;-9113000000;-44000000;-937000000;475000000;9456000000;;1231000000
BHF;696260;USD;2021;FY;2021-12-31;2022-02-24;2024-02-22;82701032;83244987;;;;;;;;-89000000;-280000000;-160000000;11963000000;;11963000000
BHF;696260;USD;2022;FY;2022-12-31;2023-02-23;2025-02-28;77870072;84466157;;;;;;;;-104000000;-3000000;-488000000;9145000000;;9145000000
BHF;696260;USD;2023;FY;2023-12-31;2024-02-22;2026-02-24;66013645;66013645;;;;;;;;-102000000;-2000000;-250000000;3069000000;;3069000000
BHF;696260;USD;2024;FY;2024-12-31;2025-02-28;2025-02-28;61199247;61600382;;;;;;;;-102000000;-2000000;-250000000;3678000000;;3678000000
CB;378112;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;451602820;453441512;3533000000;290000000;5023000000;9785000000;;-4217000000;-7521000000;-1388000000;-313000000;-378000000;-2082000000;8000000;190000000
CB;378112;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;426572612;432800000;8525000000;287000000;1918000000;11151000000;;-5044000000;-4801000000;-1401000000;1576000000;-4561000000;-6269000000;-106000000;-25000000
CB;378112;USD;2022;FY;2022-12-31;2023-02-24;2025-02-27;450732625;453400000;5246000000;285000000;8327000000;11258000000;;3240000000;-5654000000;-1375000000;-1000000000;-2630000000;-5142000000;-146000000;316000000
CB;378112;USD;2023;FY;2023-12-31;2024-02-23;2026-02-27;410845263;414202568;9015000000;310000000;2373000000;12182000000;;-6864000000;-7198000000;-1394000000;-475000000;-2199000000;-4489000000;-1000000;494000000
CB;378112;USD;2024;FY;2024-12-31;2025-02-27;2026-02-27;404189749;408486435;9640000000;323000000;3421000000;15904000000;;-11471000000;-13645000000;-1436000000;971000000;-1445000000;-2181000000;-150000000;-72000000
CI;378114;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;368389000;368389000;8489000000;2802000000;-4539000000;10350000000;-1094000000;612000000;2976000000;-15000000;-4736000000;-3666000000;-8533000000;41000000;4834000000
CI;378114;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;335166000;337579000;5420000000;2923000000;-273000000;7191000000;;-513000000;-3458000000;-1341000000;521000000;-7416000000;-8365000000;-65000000;-4697000000
CI;378114;USD;2022;FY;2022-12-31;2023-02-23;2025-02-27;337962000;337962000;6782000000;2937000000;-1647000000;8656000000;-1295000000;1354000000;3098000000;-1384000000;-2559000000;-7218000000;-11240000000;-86000000;428000000
CI;378114;USD;2023;FY;2023-12-31;2024-02-29;2026-02-26;296882000;296882000;5372000000;3035000000;-82000000;11813000000;-1573000000;-1698000000;-5174000000;-1450000000;-278000000;-2097000000;-4294000000;16000000;2361000000
CI;378114;USD;2024;FY;2024-12-31;2025-02-27;2026-02-26;283218000;283218000;3778000000;2775000000;2618000000;10363000000;-1406000000;1061000000;-2102000000;-1567000000;1060000000;-6729000000;-7647000000;-20000000;594000000
CINF;248488;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;161200000;162400000;1216000000;109000000;-711000000;1491000000;-20000000;224000000;-560000000;-375000000;15000000;-254000000;-798000000;;133000000
CINF;248488;USD;2021;FY;2021-12-31;2022-02-24;2024-02-26;161100000;162900000;2968000000;118000000;-1903000000;1981000000;-15000000;-791000000;-1057000000;-395000000;;-131000000;-685000000;;239000000
CINF;248488;USD;2022;FY;2022-12-31;2023-02-23;2025-02-24;161100000;162900000;-487000000;127000000;1085000000;2052000000;-15000000;-358000000;-933000000;-423000000;-4000000;-400000000;-994000000;;125000000
CINF;248488;USD;2023;FY;2023-12-31;2024-02-26;2026-02-23;157000000;158100000;1843000000;112000000;-920000000;2052000000;-18000000;-1212000000;-1608000000;-454000000;-25000000;-58000000;-801000000;;-357000000
CINF;248488;USD;2024;FY;2024-12-31;2025-02-24;2026-02-23;156400000;157800000;2292000000;130000000;-1355000000;2649000000;-22000000;-931000000;-1696000000;-490000000;;-116000000;-877000000;;76000000
CNA;446249;USD;2020;FY;2020-12-31;2021-02-09;2023-02-07;271600000;272400000;690000000;60000000;-75000000;1775000000;-23000000;-702000000;-705000000;-950000000;76000000;-18000000;-902000000;9000000;177000000
CNA;446249;USD;2021;FY;2021-12-31;2022-02-08;2024-02-06;271800000;272800000;1184000000;-27000000;-211000000;1997000000;-26000000;-1015000000;-1237000000;-621000000;;-18000000;-639000000;-4000000;117000000
CNA;446249;USD;2022;FY;2022-12-31;2023-02-07;2025-02-11;271600000;272500000;682000000;-78000000;258000000;2502000000;-52000000;-1339000000;-1523000000;-982000000;;-39000000;-1021000000;-19000000;-61000000
CNA;446249;USD;2023;FY;2023-12-31;2024-02-06;2026-02-10;271300000;272200000;1205000000;-118000000;-32000000;2285000000;-90000000;-1229000000;-1857000000;-787000000;248000000;-24000000;-563000000;5000000;-130000000
CNA;446249;USD;2024;FY;2024-12-31;2025-02-11;2026-02-10;271500000;272700000;959000000;-133000000;-142000000;2571000000;-95000000;-1136000000;-1329000000;-1025000000;-60000000;-20000000;-1105000000;-10000000;127000000
CNFR;847219;USD;2024;FY;2024-12-31;2025-03-28;2026-03-27;12222881;12222881;-34240000;1671000;-2536000;-32679000;;212790000;70294000;-439000;-14250000;-6000000;-21086000;;16529000
CNO;1234043;USD;2022;FY;2022-12-31;2023-02-24;2025-02-26;126429000;129018000;3454700000;;-1607500000;831400000;;4804300000;-2117300000;-64800000;-76300000;-176600000;1199100000;;-86800000
CNO;1234043;USD;2023;FY;2023-12-31;2024-02-23;2025-02-26;113275000;115124000;3614100000;;-1638300000;960800000;;2785600000;-1250200000;-68100000;623800000;-152900000;533500000;;244100000
DGICA;7962826;USD;2022;FY;2022-12-31;2023-03-06;2025-03-10;31986065;32113443;-1959405;4841559;50204370;67110020;28290;-53897823;-98498303;-20502716;;19304956;-1197760;;-32586043
EIG;6767745;USD;2020;FY;2020-12-31;2021-02-23;2023-02-24;29912063;30204864;119800000;8200000;3500000;33000000;-5500000;127000000;84300000;-30500000;20000000;-99400000;-111900000;;5400000
EIG;6767745;USD;2021;FY;2021-12-31;2022-02-24;2024-02-26;28289118;28600993;119300000;7400000;-103600000;10800000;-3600000;0;-1700000;-29000000;-20000000;-42600000;-94400000;;-85300000
EIG;6767745;USD;2022;FY;2022-12-31;2023-02-24;2025-02-28;27503941;27680988;48400000;5300000;41200000;99800000;-2600000;-11200000;-146100000;-90300000;182500000;-30400000;60400000;;14100000
EIG;6767745;USD;2023;FY;2023-12-31;2024-02-26;2026-02-26;26368801;26523651;118100000;4800000;-60000000;49400000;-2200000;317700000;377300000;-29700000;-182500000;;-289500000;;137200000
EIG;6767745;USD;2024;FY;2024-12-31;2025-02-28;2026-02-26;25050605;25194814;118600000;3600000;-76600000;76400000;-4900000;-181300000;-159700000;-30300000;;;-74800000;;-158100000
ELV;378099;USD;2020;FY;2020-12-31;2021-02-18;2023-02-15;250800000;254300000;4572000000;1154000000;-324000000;10688000000;-1021000000;16059000000;-7324000000;-954000000;188000000;-2524000000;-2567000000;7000000;804000000
ELV;378099;USD;2021;FY;2021-12-31;2022-02-16;2024-02-21;242714676;245500000;6149000000;1302000000;-280000000;8364000000;-1087000000;-4056000000;-9611000000;-1104000000;2719000000;-1697000000;396000000;-10000000;-861000000
ELV;378099;USD;2022;FY;2022-12-31;2023-02-15;2025-02-20;241770746;246800000;5888000000;1675000000;424000000;8399000000;;22608000000;-4560000000;-1229000000;1795000000;-2134000000;-1318000000;-14000000;2507000000
ELV;378099;USD;2023;FY;2023-12-31;2024-02-21;2026-02-06;235900000;237400000;5991000000;1745000000;781000000;8061000000;;13536000000;-5572000000;-1395000000;739000000;-2524000000;-3349000000;-1000000;-861000000
ELV;378099;USD;2024;FY;2024-12-31;2025-02-20;2026-02-06;231700000;232900000;5971000000;1393000000;85000000;5808000000;;18572000000;-5167000000;-1508000000;5562000000;-2679000000;1193000000;-6000000;1828000000
ERIE;446629;USD;2023;FY;2023-12-31;2024-02-26;2026-02-23;46191523;52299411;;;1405191000;381205000;-92647000;-53790000;-157565000;-221675000;;;-221675000;;1965000
ERIE;446629;USD;2024;FY;2024-12-31;2025-02-27;2026-02-23;46191586;52306266;;;1710572000;611249000;-124845000;-68752000;-219399000;-237508000;;;-237508000;;154342000
ESGR;446639;USD;2021;FY;2021-12-31;2022-02-24;2023-03-01;18349483;18548368;553000000;74000000;2167000000;3801000000;;3415000000;-2573000000;-36000000;242000000;-942000000;-737000000;;491000000
ESNT;1055099;USD;2020;FY;2020-12-31;2021-02-26;2023-02-17;106098000;106376000;413041000;3328000;76590000;727931000;;-735352000;-1154417000;-69410000;100000000;433608000;457966000;;31480000
ESNT;1055099;USD;2021;FY;2021-12-31;2022-02-16;2024-02-16;111001000;111387000;681783000;3379000;105760000;709256000;;-935889000;-583167000;-77724000;100000000;-163855000;-147428000;;-21339000
ESNT;1055099;USD;2022;FY;2022-12-31;2023-02-17;2025-02-19;107205000;107653000;831353000;3024000;89149000;588817000;;-383052000;-398872000;-92128000;;-97914000;-190196000;;-251000
ESNT;1055099;USD;2023;FY;2023-12-31;2024-02-16;2026-02-18;106222000;107129000;696386000;4525000;44105000;763001000;-4002000;1371783000;-525569000;-106215000;;-70670000;-176885000;;60547000
ESNT;1055099;USD;2024;FY;2024-12-31;2025-02-19;2026-02-18;105394000;106550000;729403000;5783000;77443000;861532000;-6766000;826709000;-706926000;-118042000;73160000;-111543000;-164913000;;-10307000
FNHC;1322470;USD;2020;FY;2020-12-31;2021-03-29;2022-04-25;13846000;13846000;-78158000;1904000;-3117000;-91908000;;79724000;76367000;-5077000;;-10376000;-15453000;;-30994000
FNHC;1322470;USD;2021;FY;2021-12-31;2022-04-25;2022-04-25;13846000;13846000;-103100000;1916000;6664000;-191171000;;138766000;136930000;;19818000;15582000;35400000;;-18841000
GBLI;7962894;USD;2020;FY;2020-12-31;2021-03-12;2023-03-15;14291265;14291265;-21006000;7027000;62378000;32670000;;707034000;174585000;-14385000;-173629000;3847000;-184167000;;23088000
GBLI;7962894;USD;2021;FY;2021-12-31;2022-03-16;2024-03-15;14426739;14664330;29354000;10414000;67701000;90799000;;27915000;-64519000;-14871000;;-490000;-15361000;;10919000
GBLI;7962894;USD;2022;FY;2022-12-31;2023-03-15;2025-03-11;14482164;14482164;-850000;8398000;99762000;44236000;;-30857000;80134000;-14806000;-130000000;-18996000;-163802000;;-39432000
GBLI;7962894;USD;2023;FY;2023-12-31;2024-03-15;2026-03-10;13553168;13666408;25429000;6199000;19996000;42886000;;-19028000;-16330000;-14688000;;-12677000;-27365000;;-809000
GBLI;7962894;USD;2024;FY;2024-12-31;2025-03-11;2026-03-10;13664542;13800877;43241000;5764000;-50835000;38835000;;-53941000;-39505000;-19829000;;-529000;-20358000;;-21028000
GL;378226;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;106075267;107224594;731773000;;744661000;1476434000;;-750442000;-1181730000;-78192000;278680000;-395773000;-274057000;-1733000;18914000
GL;378226;USD;2021;FY;2021-12-31;2022-02-24;2024-02-28;100538418;101109659;1031114000;;406566000;1437680000;-38244000;-819689000;-913370000;-80043000;99974000;-471609000;-523603000;-3391000;-2684000
GL;378226;USD;2022;FY;2022-12-31;2023-02-23;2025-02-26;100538418;101109659;894386000;;527808000;1422194000;-27929000;-730752000;-943015000;-80547000;54203000;-348046000;-492453000;13670000;396000
GL;378226;USD;2023;FY;2023-12-31;2024-02-28;2026-02-25;95098474;96363841;970755000;;536469000;1482425000;-49553000;-687639000;-926149000;-84116000;37349000;-397020000;-541487000;-4192000;10597000
GL;378226;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;89278574;89661422;1070762000;;349260000;1402440000;-71045000;-373857000;-641516000;-499264000;628837000;-950323000;-715835000;17080000;62169000
GNW;527413;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;505200000;511600000;698000000;463000000;-1143000000;1960000000;;-1051000000;-1153000000;;248000000;;-1507000000;;-685000000
GNW;527413;USD;2021;FY;2021-12-31;2022-02-28;2023-02-28;507400000;514200000;918000000;377000000;-1156000000;437000000;;1237000000;896000000;;-1541000000;;-2419000000;;-1085000000
GNW;527413;USD;2022;FY;2022-12-31;2023-02-28;2026-02-27;504500000;511000000;199000000;264000000;-1173000000;597000000;;1430000000;1261000000;;-32000000;-296000000;-1443000000;1000000;416000000
GNW;527413;USD;2023;FY;2023-12-31;2024-02-28;2025-02-28;468800000;474900000;199000000;264000000;-1173000000;597000000;;1430000000;1261000000;;-32000000;-296000000;-1443000000;1000000;416000000
GNW;527413;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;433900000;439400000;437000000;249000000;-1222000000;88000000;;743000000;861000000;;-74000000;-189000000;-1115000000;-1000000;-167000000
HALL;9076155;USD;2020;FY;2020-12-31;2021-03-15;2022-03-16;181495;181495;-94351000;5754000;261096000;-69327000;;124354000;122687000;;;;;;53360000
HALL;9076155;USD;2021;FY;2021-12-31;2022-03-16;2023-03-28;181600;181600;-9775000;2299000;44127000;43768000;-1910000;206511000;204601000;;;;;;248369000
HALL;9076155;USD;2022;FY;2022-12-31;2023-03-28;2023-03-28;180080000;181650000;-134927000;2021000;-120369000;-164957000;-2198000;-134426000;-103101000;;;;;;-268058000
HCI;7962862;USD;2020;FY;2020-12-31;2021-03-12;2023-03-10;7351000;9694000;27580000;8747000;-47293000;77311000;-6437000;110030000;143215000;-12388000;6952000;-6645000;-16705000;2000;203823000
HCI;7962862;USD;2021;FY;2021-12-31;2022-03-10;2024-03-08;8092000;8580000;7242000;5549000;47269000;101783000;-3318000;37691000;31572000;-14065000;-9720000;-1314000;64301000;-54000;197602000
HCI;7962862;USD;2022;FY;2022-12-31;2023-03-10;2025-02-28;8092000;8580000;-54603000;8010000;662445000;-12000;-6341000;-423240000;-434537000;-15233000;156491000;-88312000;41067000;-98000;-393580000
HCI;7962862;USD;2023;FY;2023-12-31;2024-03-08;2026-02-26;8367000;11044000;89257000;8184000;-252621000;230676000;-6502000;10594000;4251000;-13719000;4543000;84572000;67117000;-42000;302002000
HCI;7962862;USD;2024;FY;2024-12-31;2025-02-28;2026-02-26;9997000;12686000;127581000;4299000;269202000;331816000;-4052000;-242364000;-260110000;-16598000;43015000;;-75174000;-112000;-3580000
HGTY;11794944;USD;2020;FY;2020-12-31;2021-03-24;2022-03-24;82327466;82327466;10039000;11800000;27288000;84572000;-38258000;;-47388000;-4000000;43900000;;39948000;885000;78017000
HGTY;11794944;USD;2021;FY;2021-12-31;2022-03-24;2024-03-12;82327000;82327000;-61354000;22144000;45077000;42281000;-43370000;-11063000;720667000;-4056000;65538000;;-457590000;-464000;304894000
HGTY;11794944;USD;2022;FY;2022-12-31;2023-03-14;2025-03-04;82728000;336147000;2403000;33887000;-28369000;55328000;-44375000;-3018000;-91521000;;-28133000;;-28084000;-504000;-64781000
HGTY;11794944;USD;2023;FY;2023-12-31;2024-03-12;2026-02-26;84180000;340323000;28179000;45809000;-8810000;133706000;-26403000;-3100000;-52647000;;21697000;79159000;103161000;865000;185085000
HGTY;11794944;USD;2024;FY;2024-12-31;2025-03-04;2026-02-26;87529000;88504000;78303000;38905000;22245000;177024000;-21344000;-556236000;-618564000;-5600000;-28803000;;-46922000;-2969000;-491431000
HIG;387752;USD;2020;FY;2020-12-31;2021-02-19;2023-02-24;358300000;360600000;1737000000;562000000;218000000;3871000000;;-1044000000;-2066000000;-478000000;-500000000;-150000000;-1778000000;8000000;-23000000
HIG;387752;USD;2021;FY;2021-12-31;2022-02-18;2024-02-23;345600000;345600000;2371000000;680000000;-705000000;4093000000;;-251000000;-2377000000;-506000000;588000000;-1702000000;-1670000000;-6000000;98000000
HIG;387752;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;345600000;345600000;1819000000;625000000;550000000;4008000000;-175000000;369000000;-1277000000;-527000000;-600000000;-1550000000;-2710000000;-14000000;7000000
HIG;387752;USD;2023;FY;2023-12-31;2024-02-23;2026-02-20;307100000;311500000;2504000000;510000000;257000000;4220000000;;-1307000000;-2431000000;-549000000;;-1400000000;-1947000000;3000000;-155000000
HIG;387752;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;293900000;298600000;3111000000;356000000;164000000;5909000000;;-2860000000;-3768000000;-577000000;;-1514000000;-2076000000;-20000000;45000000
HIPO;11817142;USD;2020;FY;2020-12-31;2021-05-11;2022-03-14;139037;139037;-141400000;6700000;59600000;-65400000;-400000;107500000;-2300000;;;157000000;518100000;;450400000
HIPO;11817142;USD;2021;FY;2021-12-31;2022-03-14;2023-03-02;435470;435470;-367900000;11000000;172800000;-124500000;-800000;16500000;-30000000;;;34500000;480800000;;326300000
HIPO;11817142;USD;2022;FY;2022-12-31;2023-03-02;2025-03-06;22747101;22747101;-326500000;15200000;105200000;-161500000;-4900000;-72100000;-405900000;;;4100000;-6800000;;-574200000
HIPO;11817142;USD;2023;FY;2023-12-31;2024-03-06;2026-03-05;23578922;23578922;-263000000;19800000;105900000;-92400000;-29600000;-36500000;57600000;;;1000000;-14600000;;-49400000
HIPO;11817142;USD;2024;FY;2024-12-31;2025-03-06;2026-03-05;24699913;24699913;-28600000;23200000;19800000;47500000;-300000;-47200000;30300000;;;-8900000;-40100000;;37700000
HMN;6767655;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;41414218;42000000;133300000;23400000;16300000;259800000;;-935400000;-406800000;-53500000;4000000;200000;143800000;;-3200000
HMN;6767655;USD;2021;FY;2021-12-31;2022-02-25;2024-02-27;41393484;42200000;170400000;18400000;-22100000;204900000;;-48900000;-302000000;-51400000;-297000000;-5000000;208500000;;111400000
HRTG;640779;USD;2020;FY;2020-12-31;2021-03-09;2023-03-13;27978519;27988966;9326000;8101000;-3020000;170211000;-755000;41773000;22062000;-6852000;-9665000;-9997000;-28898000;;163375000
HRTG;640779;USD;2021;FY;2021-12-31;2022-03-14;2024-03-13;27938028;27938028;-74727000;8449000;56681000;60131000;-1007000;-125873000;-124480000;-6709000;-2149000;-8192000;-17281000;;-81630000
HRTG;640779;USD;2022;FY;2022-12-31;2023-03-13;2025-03-13;26343826;26343826;-154363000;8359000;86131000;-34260000;-12382000;-33674000;-37862000;-4770000;7149000;-7343000;-5058000;;-77180000
HRTG;640779;USD;2023;FY;2023-12-31;2024-03-13;2025-03-13;26193065;26252328;45307000;8689000;692000;70415000;-9890000;101768000;100806000;-11000;-9680000;24666000;14546000;;185767000
HRTG;640779;USD;2024;FY;2024-12-31;2025-03-13;2025-03-13;30595348;30654611;61539000;9551000;-4140000;87095000;-8230000;-83458000;-91599000;54000;-4270000;-3000;-5190000;;-9694000
HUM;234479;USD;2020;FY;2020-12-31;2021-02-18;2023-02-16;132199000;133012000;3367000000;616000000;-536000000;5639000000;-964000000;-1392000000;-4004000000;-323000000;983000000;-1820000000;-1016000000;;619000000
HUM;234479;USD;2021;FY;2021-12-31;2022-02-17;2024-02-15;128518000;128518000;2934000000;713000000;-869000000;2262000000;-1316000000;-1053000000;-6556000000;-354000000;3758000000;-79000000;3015000000;;-1279000000
HUM;234479;USD;2022;FY;2022-12-31;2023-02-16;2025-02-20;128688000;129396000;2802000000;845000000;336000000;4587000000;-1137000000;-2250000000;987000000;-392000000;-1394000000;-2096000000;-3907000000;;1667000000
HUM;234479;USD;2023;FY;2023-12-31;2024-02-15;2026-02-19;123866000;124441000;2484000000;917000000;386000000;3981000000;-1004000000;-2465000000;-2664000000;-431000000;423000000;-1573000000;-1684000000;;-367000000
HUM;234479;USD;2024;FY;2024-12-31;2025-02-20;2026-02-19;120571000;120869000;1214000000;968000000;522000000;2966000000;-575000000;-1827000000;-4885000000;-431000000;218000000;-817000000;-554000000;;-2473000000
IHC;667823;USD;2020;FY;2020-12-31;2021-03-16;2021-03-16;14733000;14791000;19118000;4621000;13060000;51422000;;34176000;13116000;-6222000;;-7355000;-14376000;;50162000
ITIC;9075774;USD;2020;FY;2020-12-31;2021-03-15;2022-03-14;1892000;1896000;39420000;2263000;-3573000;34095000;-3117000;-12559000;-14600000;-31716000;;-6000;-31721000;;-12226000
ITIC;9075774;USD;2021;FY;2021-12-31;2022-03-14;2023-03-14;1894000;1900000;67020000;2436000;-15512000;51931000;205000;32823000;9068000;-37553000;;;-37554000;;23445000
ITIC;9075774;USD;2022;FY;2022-12-31;2023-03-14;2024-03-15;1897000;1898000;23903000;2298000;6653000;36204000;26000;33957000;-23065000;-9181000;;-133000;-9315000;;3824000
ITIC;9075774;USD;2023;FY;2023-12-31;2024-03-15;2026-03-16;1893000;1893000;21686000;2760000;-13049000;7426000;;8845000;-6699000;-11048000;;-959000;-12007000;;-11280000
ITIC;9075774;USD;2024;FY;2024-12-31;2025-03-17;2026-03-16;1885000;1892000;31073000;3320000;-8030000;29840000;;-46709000;1747000;-29865000;;-1099000;-30964000;;623000
JRVR;7962648;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;30552210;30884416;4824000;5019000;270130000;-273830000;;-290584000;-175991000;-37051000;104000000;-1024000;65925000;;-383896000
KINS;9076149;USD;2024;FY;2024-12-31;2025-03-18;2026-03-16;11478899;12423769;18358436;2448932;6238904;57947771;-2337205;-32924236;-35261441;;-14000000;13674518;-2993887;;19692443
KMPR;1234775;USD;2023;FY;2023-12-31;2024-02-07;2026-02-11;64025600;64025600;-272300000;58600000;460100000;-134200000;;330200000;107900000;;;;;;-26300000
KNSL;1022619;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;22319000;22852000;88419000;1574000;157864000;279974000;-32875000;-314813000;-379433000;-8073000;25700000;60320000;76144000;;-23315000
KNSL;1022619;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;22714000;23064000;152659000;2308000;222938000;407042000;-5920000;-321168000;-351955000;-10021000;;982000;-11140000;;43947000
KNSL;1022619;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;22714000;23064000;159114000;2721000;369650000;557815000;-6901000;-572905000;-708573000;-11927000;155000000;48588000;185992000;;35234000
KNSL;1022619;USD;2023;FY;2023-12-31;2024-02-23;2026-02-20;23045000;23307000;308093000;3274000;426037000;859835000;-6607000;-864306000;-860892000;-12954000;-12000000;877000;-28523000;;-29580000
