Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AIZ;66661;USD;2021;FY;2021-12-31;2022-02-22;2024-02-15;59126313;59479464;10187600000;-2201900000;903800000;771300000;-168400000;;602900000;758900000;1361800000;1357100000
AIZ;66661;USD;2022;FY;2022-12-31;2023-02-17;2025-02-20;54371531;54782528;10193000000;-2359800000;466900000;349900000;-73300000;;276600000;;276600000;276600000
AIZ;66661;USD;2023;FY;2023-12-31;2024-02-15;2026-02-19;53455139;53783069;11131600000;-2521800000;914700000;806800000;-164300000;;642500000;;642500000;642500000
AIZ;66661;USD;2024;FY;2024-12-31;2025-02-20;2026-02-19;52231729;52581102;11877500000;-2766500000;1034300000;927300000;-167100000;;760200000;;760200000;760200000
AMBC;7962678;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;46147062;46147062;156000000;-225000000;-218000000;-440000000;3000000;;-437000000;;-437000000;-437000000
AMBC;7962678;USD;2021;FY;2021-12-31;2022-02-24;2023-03-01;46535001;46535001;282000000;88000000;188000000;1000000;-18000000;;-17000000;;-15000000;-15000000
AMSF;6767743;USD;2020;FY;2020-12-31;2021-02-26;2023-02-21;19288996;19363809;339477000;-157226000;110345000;110372000;-20317000;;90055000;;90055000;86602000
AMSF;6767743;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;19332391;19408619;315934000;-160798000;83085000;83164000;-13693000;;69471000;;69471000;65756000
AMSF;6767743;USD;2022;FY;2022-12-31;2023-02-21;2025-02-28;19233241;19321717;294737000;-152316000;70389000;70345000;-12044000;;58301000;;58301000;55602000
AMSF;6767743;USD;2023;FY;2023-12-31;2024-02-23;2026-02-27;19149080;19226021;306853000;-148263000;80277000;80334000;-15269000;;65065000;;65065000;62108000
AMSF;6767743;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;19070717;19159805;309043000;-157267000;71647000;71713000;-13620000;;58093000;;58093000;55436000
ARGO;6767761;USD;2022;FY;2022-12-31;2023-03-06;2025-03-25;34980608;34980608;1754900000;-1166900000;-132900000;-183200000;8000000;;-175200000;;-175200000;-185700000
ARGO;6767761;USD;2023;FY;2023-12-31;2024-03-19;2025-03-25;35166679;35197824;1515100000;-1137400000;-172200000;-207900000;-1600000;;-209500000;;-209500000;-220000000
ARGO;6767761;USD;2024;FY;2024-12-31;2025-03-25;2025-03-25;35166679;35197824;1359600000;-1018300000;-153200000;-190300000;42200000;;-148100000;;-148100000;-158600000
AXS;971612;USD;2020;FY;2020-12-31;2021-02-26;2023-02-27;84235000;84235000;4841954000;;34866000;-129133000;12321000;-3612000;-120424000;;-120424000;-150674000
AXS;971612;USD;2021;FY;2021-12-31;2022-02-25;2024-02-27;84774000;85591000;5321725000;;711526000;648909000;-62384000;32084000;618609000;;618609000;588359000
AXS;971612;USD;2022;FY;2022-12-31;2023-02-27;2025-02-26;84262000;84262000;5135439000;;179752000;243125000;-22037000;1995000;223083000;;223083000;192833000
AXS;971612;USD;2023;FY;2023-12-31;2024-02-27;2026-02-27;85142000;86012000;5643388000;;553978000;398445000;-26316000;4163000;376292000;;376292000;346042000
AXS;971612;USD;2024;FY;2024-12-31;2025-02-26;2026-02-27;84165000;85176000;5957651000;;1051494000;1008238000;55595000;17953000;1081786000;;1081786000;1051536000
BHF;696260;USD;2020;FY;2020-12-31;2021-02-24;2023-02-23;95350822;95350822;8503000000;-6803000000;-1419000000;-1419000000;363000000;;-1056000000;;-1061000000;-1105000000
BHF;696260;USD;2021;FY;2021-12-31;2022-02-24;2024-02-22;82701032;83244987;4976000000;-4015000000;2009000000;2009000000;-361000000;;1648000000;;1643000000;1554000000
BHF;696260;USD;2022;FY;2022-12-31;2023-02-23;2025-02-28;77870072;84466157;6873000000;-3531000000;4732000000;4732000000;-848000000;;3884000000;;3879000000;3775000000
BHF;696260;USD;2023;FY;2023-12-31;2024-02-22;2026-02-24;66013645;66013645;4117000000;-1825000000;1202000000;-1474000000;367000000;;-1107000000;;-1112000000;-1214000000
BHF;696260;USD;2024;FY;2024-12-31;2025-02-28;2026-02-24;61199247;61600382;4724000000;-2136000000;2716000000;422000000;-29000000;;393000000;;388000000;286000000
CB;378112;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;451602820;453441512;35994000000;-22494000000;4678000000;4162000000;-629000000;;3533000000;;3533000000;3533000000
CB;378112;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;426572612;432800000;40869000000;-21030000000;9659000000;9794000000;-1269000000;;8525000000;;8525000000;8525000000
CB;378112;USD;2022;FY;2022-12-31;2023-02-24;2025-02-27;450732625;453400000;43097000000;-22572000000;7192000000;6485000000;-1239000000;;5246000000;;5246000000;5246000000
CB;378112;USD;2023;FY;2023-12-31;2024-02-23;2026-02-27;410845263;414202568;49735000000;-24100000000;13895000000;9526000000;-511000000;;9015000000;;9028000000;9028000000
CB;378112;USD;2024;FY;2024-12-31;2025-02-27;2026-02-27;404189749;408486435;55753000000;-26022000000;16949000000;11455000000;-1815000000;;9640000000;;9272000000;9272000000
CI;378114;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;368389000;368389000;160401000000;;8153000000;10868000000;-2379000000;;8489000000;;8458000000;8458000000
CI;378114;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;335166000;337579000;174069000000;;7941000000;6790000000;-1370000000;;5420000000;;5370000000;5370000000
CI;378114;USD;2022;FY;2022-12-31;2023-02-23;2025-02-27;337962000;337962000;180518000000;;8450000000;8397000000;-1615000000;;6782000000;;6704000000;6704000000
CI;378114;USD;2023;FY;2023-12-31;2024-02-29;2026-02-26;296882000;296882000;195265000000;;8536000000;5513000000;-141000000;;5372000000;;5164000000;5164000000
CI;378114;USD;2024;FY;2024-12-31;2025-02-27;2026-02-26;283218000;283218000;247121000000;;9417000000;5269000000;-1491000000;;3778000000;;3434000000;3434000000
CINF;248488;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;161200000;162400000;7536000000;-4134000000;1553000000;1499000000;-283000000;;1216000000;;1216000000;1216000000
CINF;248488;USD;2021;FY;2021-12-31;2022-02-24;2024-02-26;161100000;162900000;9626000000;-3909000000;3751000000;3698000000;-730000000;;2968000000;;2968000000;2968000000
CINF;248488;USD;2022;FY;2022-12-31;2023-02-23;2025-02-24;161100000;162900000;6563000000;-5019000000;-641000000;-694000000;207000000;;-487000000;;-487000000;-487000000
CINF;248488;USD;2023;FY;2023-12-31;2024-02-26;2026-02-23;157000000;158100000;10013000000;-5274000000;2330000000;2276000000;-433000000;;1843000000;;1843000000;1843000000
CINF;248488;USD;2024;FY;2024-12-31;2025-02-24;2026-02-23;156400000;157800000;11337000000;-5737000000;2911000000;2858000000;-566000000;;2292000000;;2292000000;2292000000
CNA;446249;USD;2020;FY;2020-12-31;2021-02-09;2023-02-07;271600000;272400000;10808000000;-6170000000;943000000;821000000;-131000000;;690000000;;690000000;690000000
CNA;446249;USD;2021;FY;2021-12-31;2022-02-08;2024-02-06;271800000;272800000;11908000000;;7946000000;1462000000;-278000000;;1184000000;;1184000000;1184000000
CNA;446249;USD;2022;FY;2022-12-31;2023-02-07;2025-02-11;271600000;272500000;5226000000;;926000000;814000000;-132000000;;682000000;;682000000;682000000
CNA;446249;USD;2023;FY;2023-12-31;2024-02-06;2026-02-10;271300000;272200000;13299000000;;8713000000;1518000000;-313000000;;1205000000;;1205000000;1205000000
CNA;446249;USD;2024;FY;2024-12-31;2025-02-11;2026-02-10;271500000;272700000;14270000000;;9082000000;1211000000;-252000000;;959000000;;959000000;959000000
CNFR;847219;USD;2024;FY;2024-12-31;2025-03-28;2026-03-27;12222881;12222881;67125000;-73302000;-31343000;-36080000;1840000;;-34240000;58587000;24347000;23530000
CNO;1234043;USD;2022;FY;2022-12-31;2023-02-24;2025-02-26;126429000;129018000;3576800000;-1601100000;812000000;816500000;-185900000;;630600000;;630600000;630600000
CNO;1234043;USD;2023;FY;2023-12-31;2024-02-23;2025-02-26;113275000;115124000;4146800000;-2309900000;561200000;356800000;-80300000;;276500000;;276500000;276500000
DGICA;7962826;USD;2022;FY;2022-12-31;2023-03-06;2025-03-10;31986065;32113443;848220546;;566621859;1922308;1678694;;3601002;;3601002;-1959405
EIG;6767745;USD;2020;FY;2020-12-31;2021-02-23;2023-02-24;29912063;30204864;711400000;-302400000;148100000;147700000;-27900000;;119800000;;119800000;119800000
EIG;6767745;USD;2021;FY;2021-12-31;2022-02-24;2024-02-26;28289118;28600993;703100000;-315200000;147500000;147000000;-27700000;;119300000;;119300000;119300000
EIG;6767745;USD;2022;FY;2022-12-31;2023-02-24;2025-02-28;27503941;27680988;713500000;-391000000;59300000;55800000;-7400000;;48400000;;48400000;48400000
EIG;6767745;USD;2023;FY;2023-12-31;2024-02-26;2026-02-26;26368801;26523651;850900000;-405700000;154200000;148400000;-30300000;;118100000;;118100000;118100000
EIG;6767745;USD;2024;FY;2024-12-31;2025-02-28;2026-02-26;25050605;25194814;880700000;-456200000;146800000;146700000;-28100000;;118600000;;118600000;118600000
ELV;378099;USD;2020;FY;2020-12-31;2021-02-18;2023-02-15;250800000;254300000;121867000000;-88045000000;7058000000;6238000000;-1666000000;;4572000000;;4572000000;4572000000
ELV;378099;USD;2021;FY;2021-12-31;2022-02-16;2024-02-21;242714676;245500000;138639000000;-102571000000;8814000000;7995000000;-1846000000;;6149000000;;6158000000;6158000000
ELV;378099;USD;2022;FY;2022-12-31;2023-02-15;2025-02-20;241770746;246800000;156595000000;-116642000000;8451000000;7600000000;-1712000000;;5888000000;;5894000000;5894000000
ELV;378099;USD;2023;FY;2023-12-31;2024-02-21;2026-02-06;235900000;237400000;171340000000;-124330000000;8745000000;7715000000;-1724000000;;5991000000;;5987000000;5987000000
ELV;378099;USD;2024;FY;2024-12-31;2025-02-20;2026-02-06;231700000;232900000;176810000000;-127567000000;8888000000;7904000000;-1933000000;;5971000000;;5980000000;5980000000
ERIE;446629;USD;2023;FY;2023-12-31;2024-02-26;2026-02-23;46191523;52299411;3297908000;;549224000;561936000;-115875000;;446061000;;446061000;446061000
ERIE;446629;USD;2024;FY;2024-12-31;2025-02-27;2026-02-23;46191586;52306266;3864375000;;745715000;757279000;-156965000;;600314000;;600314000;600314000
ESGR;446639;USD;2021;FY;2021-12-31;2022-03-01;2023-03-01;18349483;18548368;716000000;3000000;540000000;487000000;-27000000;93000000;553000000;;538000000;502000000
ESNT;1055099;USD;2020;FY;2020-12-31;2021-02-26;2023-02-17;106098000;106376000;955154000;-301293000;499170000;490096000;-77055000;;413041000;;413041000;413041000
ESNT;1055099;USD;2021;FY;2021-12-31;2022-02-16;2024-02-16;111001000;111387000;1028510000;-31057000;830596000;822314000;-140531000;;681783000;;681783000;681783000
ESNT;1055099;USD;2022;FY;2022-12-31;2023-02-17;2025-02-19;107205000;107653000;1000824000;174704000;1003795000;988187000;-156834000;;831353000;;831353000;831353000
ESNT;1055099;USD;2023;FY;2023-12-31;2024-02-16;2026-02-18;106222000;107129000;1109759000;-31542000;853136000;822999000;-126613000;;696386000;;696386000;696386000
ESNT;1055099;USD;2024;FY;2024-12-31;2025-02-19;2026-02-18;105394000;106550000;1242904000;-81220000;890810000;855491000;-126088000;;729403000;;729403000;729403000
FNHC;1322470;USD;2020;FY;2020-12-31;2021-03-29;2022-04-25;13846000;13846000;431863000;-376449000;-92294000;-111654000;33496000;;-78158000;;-78158000;-78158000
FNHC;1322470;USD;2021;FY;2021-12-31;2022-04-25;2022-04-25;13846000;13846000;245549000;-232760000;-92746000;-102784000;-316000;;-103100000;;-103100000;-103100000
GBLI;7962894;USD;2020;FY;2020-12-31;2021-03-12;2023-03-15;14291265;14291265;583547000;-336201000;205348000;-29111000;8105000;;-21006000;;-21006000;-21158000
GBLI;7962894;USD;2021;FY;2021-12-31;2022-03-16;2024-03-15;14426739;14664330;678268000;-384964000;266125000;32803000;-3449000;;29354000;;29354000;28914000
GBLI;7962894;USD;2022;FY;2022-12-31;2023-03-15;2025-03-11;14482164;14482164;628534000;-359228000;244885000;1971000;-2821000;;-850000;;-850000;-1290000
GBLI;7962894;USD;2023;FY;2023-12-31;2024-03-15;2026-03-10;13553168;13666408;528129000;-289153000;32976000;32976000;-7547000;;25429000;;25429000;24989000
GBLI;7962894;USD;2024;FY;2024-12-31;2025-03-11;2026-03-10;13664542;13800877;441187000;-213190000;54956000;54956000;-11715000;;43241000;;43241000;42801000
GL;378226;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;106075267;107224594;4737921000;-2572884000;983388000;896684000;-164911000;;731773000;;731773000;731773000
GL;378226;USD;2021;FY;2021-12-31;2022-02-24;2024-02-28;100538418;101109659;5112038000;-2659046000;1358097000;1274611000;-243497000;;1031114000;;1031114000;1031114000
GL;378226;USD;2022;FY;2022-12-31;2023-02-23;2025-02-26;100538418;101109659;5226740000;-2825434000;1192506000;1102111000;-207725000;;894386000;;894386000;894386000
GL;378226;USD;2023;FY;2023-12-31;2024-02-28;2026-02-25;95098474;96363841;5447533000;-2864251000;1296582000;1194266000;-223511000;;970755000;;970755000;970755000
GL;378226;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;89278574;89661422;5778069000;-2894443000;1453729000;1326637000;-255875000;;1070762000;;1070762000;1070762000
GNW;527413;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;505200000;511600000;8284000000;-5763000000;1123000000;928000000;-230000000;;698000000;-486000000;178000000;178000000
GNW;527413;USD;2021;FY;2021-12-31;2022-02-28;2023-02-28;507400000;514200000;7832000000;-4891000000;1341000000;1181000000;-263000000;;918000000;27000000;904000000;904000000
GNW;527413;USD;2022;FY;2022-12-31;2023-02-28;2025-02-28;504500000;511000000;7495000000;-4807000000;1181000000;1365000000;-319000000;;1046000000;;916000000;916000000
GNW;527413;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;468800000;474900000;7488000000;-5286000000;1008000000;303000000;-104000000;;199000000;;76000000;76000000
GNW;527413;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;433900000;439400000;7295000000;-5219000000;863000000;595000000;-158000000;;437000000;-10000000;299000000;299000000
HALL;9076155;USD;2020;FY;2020-12-31;2021-03-15;2022-03-16;181495;181495;468848000;-406907000;-64446000;-115768000;21417000;;-94351000;;-94351000;-94351000
HALL;9076155;USD;2021;FY;2021-12-31;2022-03-16;2023-03-28;181600;181600;226502000;-153162000;-7470000;-12463000;2688000;;-9775000;-23958000;-33733000;-33733000
HALL;9076155;USD;2022;FY;2022-12-31;2023-03-28;2023-03-28;180080000;181650000;159918000;-209170000;-121169000;-127071000;-7856000;;-134927000;-29872000;-164799000;-164799000
HCI;7962862;USD;2020;FY;2020-12-31;2021-03-12;2023-03-10;7351000;9694000;310437000;-160036000;102769000;36928000;-9348000;;27580000;;27580000;27580000
HCI;7962862;USD;2021;FY;2021-12-31;2022-03-10;2024-03-08;8092000;8580000;401468000;-227525000;19387000;11233000;-3991000;;7242000;;10772000;10772000
HCI;7962862;USD;2022;FY;2022-12-31;2023-03-10;2025-02-28;8092000;8580000;491958000;-371463000;-61483000;-68418000;13815000;;-54603000;;7816000;7816000
HCI;7962862;USD;2023;FY;2023-12-31;2024-03-08;2026-02-26;8367000;11044000;550670000;-254579000;128767000;117650000;-28393000;;89257000;;20446000;20446000
HCI;7962862;USD;2024;FY;2024-12-31;2025-02-28;2026-02-26;9997000;12686000;750051000;-374708000;186771000;173427000;-45846000;;127581000;;35256000;35256000
HGTY;11794944;USD;2020;FY;2020-12-31;2021-03-24;2022-03-24;82327466;82327466;499548000;-91025000;15846000;14859000;-4820000;;10039000;;10166000;10166000
HGTY;11794944;USD;2021;FY;2021-12-31;2022-03-24;2024-03-12;82327000;82327000;478096000;-122080000;-10070000;-54603000;-6751000;;-61354000;;-46358000;-46358000
HGTY;11794944;USD;2022;FY;2022-12-31;2023-03-14;2025-03-04;82728000;336147000;787588000;-182402000;-49242000;11096000;-7017000;-1676000;2403000;;32078000;32078000
HGTY;11794944;USD;2023;FY;2023-12-31;2024-03-12;2026-02-26;84180000;340323000;1027117000;-220658000;50137000;44772000;-16593000;;28179000;;20231000;16554000
HGTY;11794944;USD;2024;FY;2024-12-31;2025-03-04;2026-02-26;87529000;88504000;1241510000;-298593000;107803000;93682000;-15379000;;78303000;;17017000;9590000
HIG;387752;USD;2020;FY;2020-12-31;2021-02-19;2023-02-24;358300000;360600000;20523000000;-11805000000;2460000000;2120000000;-383000000;;1737000000;;1737000000;1716000000
HIG;387752;USD;2021;FY;2021-12-31;2022-02-18;2024-02-23;345600000;345600000;22390000000;-12720000000;3140000000;2905000000;-534000000;;2371000000;;2371000000;2350000000
HIG;387752;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;345600000;345600000;22362000000;-13138000000;2488000000;2262000000;-443000000;;1819000000;;1819000000;1798000000
HIG;387752;USD;2023;FY;2023-12-31;2024-02-23;2026-02-20;307100000;311500000;24527000000;-14238000000;3293000000;3088000000;-584000000;;2504000000;;2504000000;2483000000
HIG;387752;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;293900000;298600000;26535000000;-14874000000;4050000000;3849000000;-738000000;;3111000000;;3111000000;3090000000
HIPO;11817142;USD;2020;FY;2020-12-31;2021-03-08;2022-03-14;139037;139037;51600000;-43300000;-117200000;-143200000;1800000;;-141400000;;-141500000;-141500000
HIPO;11817142;USD;2021;FY;2021-12-31;2022-03-14;2023-03-02;435470;435470;91200000;-120600000;-414200000;-367200000;-700000;;-367900000;;-371400000;-371400000
HIPO;11817142;USD;2022;FY;2022-12-31;2023-03-02;2025-03-06;22747101;22747101;119700000;-158900000;-272400000;-325200000;-1300000;;-326500000;;-333400000;-333400000
HIPO;11817142;USD;2023;FY;2023-12-31;2024-03-06;2026-03-05;23578922;23578922;209700000;-181700000;-257800000;-262500000;-500000;;-263000000;;-273100000;-273100000
HIPO;11817142;USD;2024;FY;2024-12-31;2025-03-06;2026-03-05;24699913;24699913;372100000;-209000000;-78300000;-27400000;-1200000;;-28600000;;-40500000;-40500000
HMN;6767655;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;41414218;42000000;1310400000;-773500000;184800000;159600000;-26300000;;133300000;;133300000;133300000
HMN;6767655;USD;2021;FY;2021-12-31;2022-02-25;2023-02-28;41393484;42200000;1330100000;-782100000;188800000;174900000;-32100000;;142800000;;142800000;142800000
HRTG;640779;USD;2020;FY;2020-12-31;2021-03-09;2023-03-13;27978519;27988966;593385000;-373387000;10185000;2213000;7113000;;9326000;;9326000;9326000
HRTG;640779;USD;2021;FY;2021-12-31;2022-03-14;2024-03-13;27938028;27938028;631561000;-427370000;-7564000;-76034000;1307000;;-74727000;;-74727000;-74727000
HRTG;640779;USD;2022;FY;2022-12-31;2023-03-13;2025-03-13;26343826;26343826;662460000;-501162000;-65402000;-166170000;11807000;;-154363000;;-154363000;-154363000
HRTG;640779;USD;2023;FY;2023-12-31;2024-03-13;2025-03-13;26193065;26252328;735498000;-426129000;63982000;52005000;-6698000;;45307000;;45307000;45307000
HRTG;640779;USD;2024;FY;2024-12-31;2025-03-13;2025-03-13;30595348;30654611;816985000;-447048000;93610000;82676000;-21136000;;61540000;;61540000;61540000
HUM;234479;USD;2020;FY;2020-12-31;2021-02-18;2023-02-16;132199000;133012000;77155000000;-61628000000;4986000000;4600000000;-1307000000;74000000;3367000000;;3367000000;3367000000
HUM;234479;USD;2021;FY;2021-12-31;2022-02-17;2024-02-15;128518000;128518000;83064000000;-79320000000;3148000000;3354000000;-485000000;65000000;2934000000;;2933000000;2933000000
HUM;234479;USD;2022;FY;2022-12-31;2023-02-16;2025-02-20;128688000;129396000;92866000000;-75690000000;3796000000;3564000000;-762000000;;2802000000;;2806000000;2806000000
HUM;234479;USD;2023;FY;2023-12-31;2024-02-15;2026-02-19;123866000;124441000;106311000000;-88394000000;3950000000;3320000000;-836000000;;2484000000;;2489000000;2489000000
HUM;234479;USD;2024;FY;2024-12-31;2025-02-20;2026-02-19;120571000;120869000;117667000000;-100664000000;2468000000;1627000000;-413000000;;1214000000;;1207000000;1207000000
IHC;667823;USD;2020;FY;2020-12-31;2021-03-16;2021-03-16;14733000;14791000;443864000;-208217000;29850000;29850000;-10732000;;19118000;;18881000;18881000
ITIC;9075774;USD;2020;FY;2020-12-31;2021-03-15;2022-03-14;1892000;1896000;236408000;;54865000;49661000;-10241000;;39420000;;39420000;39420000
ITIC;9075774;USD;2021;FY;2021-12-31;2022-03-14;2023-03-14;1894000;1900000;329498000;;90618000;84932000;-17912000;;67020000;;67020000;67020000
ITIC;9075774;USD;2022;FY;2022-12-31;2023-03-14;2024-03-15;1897000;1898000;283392000;;59172000;30108000;-6205000;;23903000;;23903000;23903000
ITIC;9075774;USD;2023;FY;2023-12-31;2024-03-15;2026-03-16;1893000;1893000;224750000;;47311000;26230000;-4544000;;21686000;;21686000;21686000
ITIC;9075774;USD;2024;FY;2024-12-31;2025-03-17;2026-03-16;1885000;1892000;258298000;;60937000;39463000;-8390000;;31073000;;31073000;31073000
JRVR;7962648;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;30552210;30884416;668689000;-478545000;21970000;11937000;-7113000;;4824000;;4824000;4824000
KINS;9076149;USD;2024;FY;2024-12-31;2025-03-18;2026-03-16;11478899;12423769;155142103;-62634716;26801812;23288157;-4929721;;18358436;;18358436;18358436
KMPR;1234775;USD;2023;FY;2023-12-31;2024-02-07;2026-02-11;64025600;64025600;4945300000;-3820000000;-240300000;-347100000;74800000;;-272300000;;-272100000;-272100000
KNSL;1022619;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;22319000;22852000;459886000;-263802000;100581000;100413000;-11994000;;88419000;;88419000;88419000
KNSL;1022619;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;22714000;23064000;653472000;-324415000;189795000;188801000;-36142000;;152659000;;152659000;152659000
KNSL;1022619;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;22714000;23064000;838804000;-457913000;199848000;195564000;-36450000;;159114000;;159114000;159114000
KNSL;1022619;USD;2023;FY;2023-12-31;2024-02-23;2026-02-20;23045000;23307000;1224449000;-600219000;394318000;384017000;-75924000;;308093000;;308093000;308093000
KNSL;1022619;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;23153000;23332000;1587525000;-772899000;524850000;514716000;-99873000;;414843000;;414843000;414843000
L;378182;USD;2020;FY;2020-12-31;2021-02-09;2023-02-07;280320000;280320000;12583000000;-6170000000;-876000000;-1464000000;173000000;;-1291000000;;-931000000;-931000000
L;378182;USD;2021;FY;2021-12-31;2022-02-08;2024-02-06;256760000;257300000;14657000000;;2558000000;2160000000;-475000000;;1685000000;;1562000000;1562000000
L;378182;USD;2022;FY;2022-12-31;2023-02-07;2025-02-11;242830000;243280000;14183000000;;8145000000;1114000000;-223000000;;891000000;;822000000;822000000
L;378182;USD;2023;FY;2023-12-31;2024-02-06;2026-02-10;227480000;227810000;16021000000;;9440000000;1996000000;-451000000;;1545000000;;1434000000;1434000000
L;378182;USD;2024;FY;2024-12-31;2025-02-11;2026-02-10;220260000;220530000;17568000000;;10053000000;1874000000;-380000000;;1494000000;;1414000000;1414000000
LMND;1070336;USD;2020;FY;2020-12-31;2021-03-08;2023-03-03;33654828;33654828;94400000;-54700000;-120800000;-120800000;-1500000;;-122300000;;-122300000;-122300000
LMND;1070336;USD;2021;FY;2021-12-31;2022-03-01;2024-02-28;61580145;61580145;128400000;-71900000;-233600000;-233600000;-7700000;;-241300000;;-241300000;-241300000
LMND;1070336;USD;2022;FY;2022-12-31;2023-03-03;2025-02-26;64921524;64921524;256700000;-167300000;-294800000;-294800000;-3000000;;-297800000;;-297800000;-297800000
LMND;1070336;USD;2023;FY;2023-12-31;2024-02-28;2026-02-25;69658912;69658912;429800000;-280400000;-229800000;-229800000;-7100000;;-236900000;;-236900000;-236900000
LMND;1070336;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;71023115;71023115;526500000;-277000000;-203900000;-203900000;1700000;;-202200000;;-202200000;-202200000
LNC;243942;USD;2020;FY;2020-12-31;2021-02-18;2023-03-30;193610225;194465180;17439000000;-11600000000;707000000;423000000;76000000;;499000000;;499000000;499000000
LNC;243942;USD;2021;FY;2021-12-31;2022-02-17;2024-02-22;186089222;186089222;17715000000;-11432000000;977000000;4643000000;-865000000;;3778000000;;3778000000;3778000000
LNC;243942;USD;2022;FY;2022-12-31;2023-02-16;2025-02-21;186089222;186089222;18810000000;-11356000000;2162000000;1725000000;-367000000;;1358000000;;1358000000;1358000000
LNC;243942;USD;2023;FY;2023-12-31;2024-02-22;2026-02-19;169562903;170738655;11645000000;-9386000000;-3233000000;-1148000000;396000000;;-752000000;;-752000000;-834000000
LNC;243942;USD;2024;FY;2024-12-31;2025-02-21;2026-02-19;170597104;173080425;18442000000;-11361000000;1491000000;4022000000;-747000000;;3275000000;;3275000000;3184000000
MET;380562;USD;2020;FY;2020-12-31;2021-02-19;2023-02-23;907800000;913200000;67842000000;-47765000000;6927000000;6927000000;-1509000000;;5418000000;;5407000000;5191000000
MET;380562;USD;2021;FY;2021-12-31;2022-02-18;2024-02-16;838100000;845200000;68696000000;-49569000000;7109000000;8518000000;-1642000000;;6876000000;;6855000000;6654000000
MET;380562;USD;2022;FY;2022-12-31;2023-02-23;2025-02-21;862700000;869400000;68770000000;-54107000000;2804000000;6364000000;-1062000000;;5302000000;;5284000000;5099000000
MET;380562;USD;2023;FY;2023-12-31;2024-02-16;2026-02-19;757700000;762300000;66905000000;-53072000000;1123000000;2162000000;-560000000;;1602000000;;1578000000;1380000000
MET;380562;USD;2024;FY;2024-12-31;2025-02-21;2026-02-19;706400000;711100000;70986000000;-53662000000;4307000000;5622000000;-1178000000;;4444000000;;4426000000;4226000000
MKL;205470;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;13811000;13823000;9735066000;-3466961000;1273884000;1000449000;-168682000;;831767000;;816030000;797630000
MKL;205470;USD;2021;FY;2021-12-31;2022-02-18;2024-02-23;13702000;13749000;12846425000;-3581205000;3241505000;3129828000;-683961000;;2445867000;;2423135000;2387135000
MKL;205470;USD;2022;FY;2022-12-31;2023-02-17;2025-02-24;13768000;13800000;11675335000;-4445589000;-13336000;-151566000;48209000;;-103357000;;-216277000;-252277000
MKL;205470;USD;2023;FY;2023-12-31;2024-02-23;2026-02-26;13347000;13378000;15803630000;-5322009000;2928828000;2653706000;-552616000;;2101090000;;1996060000;1960060000
MKL;205470;USD;2024;FY;2024-12-31;2025-02-24;2026-02-26;13017000;13041000;16620763000;-5052749000;3712562000;3637700000;-790294000;;2847406000;;2747022000;2711022000
