Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
PRA;6767789;USD;2024;FY;2024-12-31;2025-02-24;2026-02-23;51097000;51266000;1150404000;-739435000;85420000;63078000;-10334000;;52744000;;52744000;84842000
PRI;1055098;USD;2020;FY;2020-12-31;2021-03-01;2023-02-28;40065000;40185000;2217541000;-615569000;535569000;506730000;-120566000;;386164000;;386164000;386164000
PRI;1055098;USD;2021;FY;2021-12-31;2022-03-01;2024-02-28;39561000;39679000;2709732000;-722753000;626716000;511171000;-139191000;;371980000;;373357000;373357000
PRI;1055098;USD;2022;FY;2022-12-31;2023-02-28;2025-02-28;37997000;38106000;2657451000;-632403000;747519000;718656000;-163942000;;554714000;-87684000;472068000;472068000
PRI;1055098;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;35954000;36027000;2748507000;-642979000;797948000;771738000;-180556000;;591182000;-14581000;576601000;576601000
PRI;1055098;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;34142000;34199000;3089143000;-648163000;938361000;939247000;-219118000;;720129000;-249611000;470518000;470518000
PRU;78741;USD;2020;FY;2020-12-31;2021-02-19;2023-02-16;395800000;395800000;57033000000;-41222000000;-323000000;-323000000;81000000;96000000;-146000000;;-374000000;-374000000
PRU;78741;USD;2021;FY;2021-12-31;2022-02-17;2024-02-21;383800000;386800000;71247000000;-44296000000;11860000000;10835000000;-1995000000;98000000;8938000000;;8868000000;8868000000
PRU;78741;USD;2022;FY;2022-12-31;2023-02-16;2025-02-13;387200000;390100000;56881000000;-43207000000;-335000000;-1892000000;279000000;-62000000;-1675000000;;-1647000000;-1647000000
RGA;448474;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;65400000;65800000;14596000000;-11779000000;723000000;553000000;-138000000;;415000000;;415000000;415000000
