Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Provision for Loan Losses;Non-Cash Items;Change in Working Capital;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Loans & Interbank;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
SPFI;10656506;USD;2020;FY;2020-12-31;2021-03-11;2023-03-13;18054373;18339033;45353000;6575000;25570000;1370079000;-1441490000;6087000;-647000;;-687000;-156688000;-2528000;18455000;-293000;292809000;;142208000
SPFI;10656506;USD;2021;FY;2021-12-31;2022-03-08;2024-03-15;17953624;18492218;58614000;6436000;-1918000;1468406000;-1435267000;96271000;-160000;;;-159841000;-5385000;-101550000;-9227000;250084000;;186514000
SPFI;10656506;USD;2022;FY;2022-12-31;2023-03-13;2025-03-07;17373138;18019828;58240000;6965000;-2619000;648352000;-587348000;123590000;-1938000;;;-408857000;-8012000;;-22699000;33329000;;-251938000
SSB;6480988;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;54756000;55063000;120632000;46367000;235989000;3229955000;-2982212000;650731000;-9799000;-270148000;2566376000;1115990000;-98256000;-620724000;-29213000;2153830000;;3920551000
SSB;6480988;USD;2021;FY;2021-12-31;2022-02-25;2024-03-04;70393000;70889000;475543000;63137000;-165273000;3656981000;-3098428000;931960000;-19949000;228814000;-39929000;-2835532000;-135337000;-74305000;-142132000;4015888000;;2112316000
SSB;6480988;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;74551000;75181000;496049000;64591000;81855000;1929638000;-1582823000;989310000;-11527000;-3113685000;250115000;-4118813000;-146664000;-237822000;-114887000;-2279505000;;-5409008000
SSBK;10656644;USD;2020;FY;2020-12-31;2021-03-18;2022-03-18;8712857;8712857;12107000;2220000;3300000;-654000;-5519000;11454000;-4718000;-199324000;;-260073000;-1842000;30900000;86000;218291000;;-30328000
SSBK;10656644;USD;2021;FY;2021-12-31;2022-03-18;2023-03-14;8198188;8316536;18567000;3109000;2982000;-381000;5426000;29703000;2680000;-220282000;;-260755000;-2892000;-4920000;21123000;430101000;;199049000
SSBK;10656644;USD;2022;FY;2022-12-31;2023-03-14;2023-03-14;8712857;8712857;27071000;2431000;5605000;-729000;4488000;38866000;-2600000;-337157000;;-387161000;-3165000;78847000;-7136000;232838000;;-115457000
STBA;347280;USD;2020;FY;2020-12-31;2021-03-01;2023-02-24;39070439;39113632;21040000;12066000;131424000;348970000;-461948000;51552000;-4846000;-151066000;;-159202000;-43949000;-188231000;-12559000;139493000;;31843000
