Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Provision for Loan Losses;Non-Cash Items;Change in Working Capital;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Loans & Interbank;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
ABCB;919504;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;69256000;69426000;261988000;35371000;145380000;9659103000;-9303446000;798396000;-17398000;-1663092000;-2417000;-1200726000;-41685000;-978665000;-5733000;1897787000;;1495457000
ABCB;919504;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;69398594;69738426;376913000;32190000;-35365000;7458289000;-7822887000;9140000;-23490000;-409434000;-126664000;-420984000;-41798000;-296325000;-4907000;2359195000;;1947351000
ABTX;953887;USD;2020;FY;2020-12-31;2021-03-10;2022-02-25;20415000;20546000;45534000;7638000;27374000;459000;-19942000;61063000;-3155000;-592793000;;-961104000;-8165000;548402000;-16013000;976559000;;76518000
ABTX;953887;USD;2021;FY;2021-12-31;2022-02-25;2022-02-25;20260000;20423000;81553000;7550000;-2322000;14331000;6269000;107381000;-1194000;275906000;;-754824000;-9697000;455212000;-1847000;982186000;;334743000
ACBI;9076197;USD;2020;FY;2020-12-31;2021-03-16;2021-03-16;21342086;21427722;22540000;5145000;17446000;46614000;28512000;120257000;-2351000;-422637000;;-597841000;;25000000;-22803000;664658000;;187074000
ACNB;9075814;USD;2020;FY;2020-12-31;2021-03-05;2022-03-14;8635681;8635681;18394000;3651000;9140000;134532000;-140247000;25470000;362000;-38755000;35262000;-114848000;-8685000;-16972000;824000;374374000;;284996000
ACNB;9075814;USD;2021;FY;2021-12-31;2022-03-14;2023-03-03;8725392;8725392;27834000;3441000;50000;113452000;-102651000;42126000;-1174000;168013000;;60521000;-8968000;-22307000;-1457000;208132000;;310779000
AJX;90767;USD;2020;FY;2020-12-31;2021-03-05;2023-03-03;22641636;22641636;33608000;;;-36371000;-11294000;-14057000;11100000;117413000;;339529000;-17499000;-387780000;124671000;-282668000;;42804000
AJX;90767;USD;2021;FY;2021-12-31;2022-03-04;2024-02-28;22862429;30407649;41775000;;;-28353000;-31658000;-18236000;6566000;37829000;;510428000;-28774000;-446444000;476000;-514913000;;-22721000
AJX;90767;USD;2022;FY;2022-12-31;2023-03-03;2024-02-28;22852948;30262467;-14936000;;;7750000;8321000;1135000;4950000;135898000;-5801000;406981000;-29947000;-286283000;-124545000;-444697000;;-36581000
AJX;90767;USD;2023;FY;2023-12-31;2024-02-28;2025-02-18;24286999;24286999;-46957000;;;8569000;-8076000;-46464000;;180623000;-980000;172820000;-20586000;-58492000;28181000;-121367000;;4989000
AJX;90767;USD;2024;FY;2024-12-31;2025-02-18;2026-02-18;40195479;40195479;-93050000;;;64678000;28662000;290000;;493328000;;297275000;-11445000;-258196000;14000000;-286147000;;11418000
ALRS;10656542;USD;2020;FY;2020-12-31;2021-03-12;2023-03-13;17106000;17438000;44675000;8950000;10900000;-57834000;-28943000;-22252000;-3382000;-256322000;-9279000;-538390000;-10387000;-210000;-482000;589598000;;28956000
ALRS;10656542;USD;2021;FY;2021-12-31;2022-03-11;2024-03-08;17189000;17486000;52681000;8868000;-3500000;92102000;-319000;149832000;-1077000;221006000;;-417658000;-10751000;80000;-712000;337175000;;69349000
ALTA;363174;USD;2020;FY;2020-12-31;2021-03-15;2021-03-15;18821361;18965624;43502000;3649000;2750000;358602000;-357085000;51418000;-2236000;-15940000;;-935748000;-10543000;64554000;411000;912223000;;27893000
AMAL;10656460;USD;2020;FY;2020-12-31;2021-03-15;2023-03-09;31133000;31229000;46188000;7564000;24791000;150769000;-163541000;65771000;-1612000;-191378000;-31039000;-758242000;-9987000;;-3924000;608702000;;-83769000
AMAL;10656460;USD;2021;FY;2021-12-31;2022-03-11;2024-03-07;31104000;31512000;52937000;4845000;-287000;134352000;-121309000;70538000;-2396000;93306000;-5764000;-865624000;-9978000;83831000;-4595000;1086802000;;291716000
AMAL;10656460;USD;2022;FY;2022-12-31;2023-03-09;2025-03-06;31104000;31512000;81477000;10350000;15002000;50131000;-9638000;147322000;-1668000;-623009000;;-1176604000;-11211000;574367000;-39601000;762337000;;-266945000
AMAL;10656460;USD;2023;FY;2023-12-31;2024-03-07;2026-03-05;30555000;30785000;87978000;6397000;14670000;26371000;-18949000;116467000;-1477000;-317211000;;-158868000;-12333000;-351666000;16479000;69431000;;27030000
AMAL;10656460;USD;2024;FY;2024-12-31;2025-03-06;2026-03-05;30588000;30936000;106434000;5433000;10284000;52398000;-48576000;125973000;-1775000;-323567000;;-306551000;-14234000;10400000;-14026000;150757000;;-29821000
AMNB;7962980;USD;2020;FY;2020-12-31;2021-03-08;2023-03-14;10981623;10985790;30045000;2188000;8916000;150640000;-171563000;20226000;-2693000;-183996000;;-267448000;-11842000;299476000;-4938000;536260000;;289038000
AMNB;7962980;USD;2021;FY;2021-12-31;2022-03-14;2024-03-15;10873817;10877231;43526000;4089000;-2825000;147186000;-141126000;50850000;1031000;175650000;;-62168000;-11827000;-7500000;-8721000;149516000;;138198000
AMNB;7962980;USD;2022;FY;2022-12-31;2023-03-14;2024-03-15;10672314;10674613;34428000;3892000;1597000;67544000;-57036000;50425000;-1192000;-531289000;;-525560000;-12144000;100531000;-7493000;41657000;;-433478000
AMNB;7962980;USD;2023;FY;2023-12-31;2024-03-15;2024-03-15;10627709;10628559;26159000;3132000;495000;82454000;-82077000;30163000;-907000;116212000;;188517000;-12755000;-65531000;-975000;-225301000;;-6621000
AMTB;10656428;USD;2020;FY;2020-12-31;2021-03-19;2023-03-01;41737216;41737216;-1722000;9385000;;63399000;-13815000;57247000;7903000;-128271000;;277440000;;-145830000;-69378000;-241625000;;93062000
AMTB;10656428;USD;2021;FY;2021-12-31;2022-03-04;2024-03-07;37169283;37527523;110311000;7269000;;-45566000;-4583000;67431000;-6549000;259650000;-1037000;367774000;;-226573000;-45895000;-375383000;;59822000
ARI;498489;USD;2020;FY;2020-12-31;2021-02-10;2023-02-08;148004385;148004385;18377000;;;152877000;-7202000;164052000;;-201560000;;-215720000;-251291000;287813000;-94029000;-75116000;;-126784000
ARI;498489;USD;2021;FY;2021-12-31;2022-02-08;2024-02-06;139891777;170884172;223515000;2645000;;-33044000;-24933000;168183000;-133000;-1403333000;;-1325762000;-212610000;1416132000;;1175187000;;17608000
ARI;498489;USD;2022;FY;2022-12-31;2023-02-08;2025-02-10;140534635;165504660;265232000;704000;;12224000;-10455000;267705000;-33035000;-1423518000;;-1339353000;-212846000;1029451000;;957974000;;-113674000
AROW;7962934;USD;2020;FY;2020-12-31;2021-03-10;2023-07-18;17928173;17944403;40827000;6867000;9319000;81702000;-96401000;42314000;-2654000;-200554000;;-187317000;-15740000;-148650000;1491000;455773000;;310770000
ASB;1234037;USD;2020;FY;2020-12-31;2021-02-09;2023-02-13;153005000;153642000;306771000;60759000;174006000;1796220000;-1787738000;550018000;-54882000;-1640524000;224993000;-793736000;-130381000;-1796493000;29507000;371020000;;127302000
ASB;1234037;USD;2021;FY;2021-12-31;2022-02-08;2024-02-08;153005000;153642000;350994000;89422000;-88011000;1116257000;-1561595000;-92933000;-22448000;198631000;;-992783000;-133172000;-312452000;-276558000;1395187000;;309471000
ATLO;9075938;USD;2020;FY;2020-12-31;2021-03-12;2022-03-11;9148244;9148244;18850000;2272000;5681000;93400000;-90491000;29712000;-1249000;-81845000;-310000;-184264000;-9072000;-2000000;-1992000;205833000;;51281000
ATLO;9075938;USD;2021;FY;2021-12-31;2022-03-11;2023-03-10;9114379;9114379;23913000;2027000;-757000;75001000;-69714000;30470000;-1874000;-12417000;12000;-268567000;-9389000;;-710000;154129000;;-83968000
ATLO;9075938;USD;2022;FY;2022-12-31;2023-03-10;2024-03-08;9127099;9127099;19293000;1998000;-874000;30345000;-29531000;21231000;-2733000;-78275000;;-127384000;-9675000;36120000;-2300000;44908000;;-61245000
ATLO;9075938;USD;2023;FY;2023-12-31;2024-03-08;2025-03-12;8992167;8992167;10817000;1752000;774000;21276000;-15412000;19207000;-4894000;-47139000;;19062000;-9712000;71468000;;-11052000;;27217000
AUB;10384197;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;78858726;78875668;158228000;43106000;87141000;741725000;-798278000;231922000;-25510000;;;-1918306000;-84518000;314371000;117490000;1743646000;;57262000
AUB;10384197;USD;2021;FY;2021-12-31;2022-02-25;2024-02-22;77399902;77417801;263917000;50732000;-60888000;63333000;-661785000;-344691000;1916000;;;337040000;-96175000;-301149000;-125000000;316858000;;309207000
AUB;10384197;USD;2022;FY;2022-12-31;2023-02-24;2025-02-27;74949109;74953398;234510000;45432000;19028000;8917000;-209923000;97964000;10683000;;;-955699000;-98767000;849493000;-48231000;375182000;;-482553000
AUB;10384197;USD;2023;FY;2023-12-31;2024-02-22;2026-02-26;74961390;74962363;201818000;40958000;31618000;19513000;-154140000;139767000;51361000;;;-465000000;-103285000;1408475000;778000;383416000;;58183000
AUB;10384197;USD;2024;FY;2024-12-31;2025-02-27;2026-02-26;86149978;87909237;209131000;35312000;50089000;18196000;-213701000;99027000;-24000;;54988000;-86258000;-123875000;-71673000;228000;-36826000;;-24057000
AX;6767487;USD;2021;FY;2021-06-30;2021-08-26;2023-08-29;59229495;60519611;215707000;24124000;23750000;-354027000;503028000;412582000;-10742000;-5684873000;;-5880586000;-103000;5111565000;-21907000;4555262000;;-912742000
AX;6767487;USD;2022;FY;2022-06-30;2022-09-08;2024-08-22;59523626;60610954;240716000;24596000;23750000;966948000;-1039613000;216397000;-21504000;-2697147000;-54597000;-2782799000;;-10700000;;3103324000;;536922000
AXP;413080;USD;2020;FY;2020-12-31;2021-02-12;2023-02-10;805000000;806000000;3135000000;1543000000;4730000000;-7000000;-3810000000;5591000000;-1478000000;26906000000;-597000000;11632000000;-1474000000;-20151000000;-985000000;-9068000000;364000000;8519000000
AXP;413080;USD;2021;FY;2021-12-31;2022-02-11;2024-02-09;768000000;769000000;8060000000;1695000000;-1419000000;624000000;5685000000;14645000000;-1550000000;-27557000000;1000000;-10529000000;-1448000000;-3413000000;-7604000000;-14933000000;-120000000;-10937000000
AXP;413080;USD;2022;FY;2022-12-31;2023-02-10;2025-02-07;789000000;790000000;7514000000;1626000000;2182000000;-537000000;10294000000;21079000000;-1855000000;;-15000000;-33689000000;-1565000000;3618000000;-3446000000;24509000000;-13000000;11886000000
AXP;413080;USD;2023;FY;2023-12-31;2024-02-09;2026-02-06;735000000;736000000;8374000000;1651000000;4923000000;-820000000;4431000000;18559000000;-1563000000;;-64000000;-24433000000;-1780000000;4866000000;-3622000000;18379000000;177000000;12682000000
AXP;413080;USD;2024;FY;2024-12-31;2025-02-07;2026-02-06;712000000;713000000;10129000000;1676000000;5185000000;-486000000;-2454000000;14050000000;-1911000000;;-454000000;-24402000000;-1999000000;2050000000;-5920000000;4436000000;-40000000;-5956000000
BAC;71941;USD;2020;FY;2020-12-31;2021-02-24;2023-02-22;8753200000;8796900000;17894000000;1843000000;11320000000;23033000000;-16097000000;37993000000;;20461000000;;-177665000000;-8799000000;59515000000;-7025000000;355819000000;2756000000;218903000000
BAC;71941;USD;2021;FY;2021-12-31;2022-02-22;2024-02-20;8226500000;8304700000;31978000000;1898000000;-4594000000;42429000000;-78904000000;-7193000000;;5695000000;;-313291000000;-10026000000;105282000000;-25126000000;291650000000;-3408000000;-32242000000
BAC;71941;USD;2022;FY;2022-12-31;2023-02-22;2025-02-25;8493300000;8558400000;27528000000;1978000000;2543000000;37208000000;-75584000000;-6327000000;;-76107000000;;-2529000000;-9230000000;76821000000;-5073000000;-106039000000;-3123000000;-118018000000
BAC;71941;USD;2023;FY;2023-12-31;2024-02-20;2026-02-25;8028600000;8080500000;26305000000;2057000000;4394000000;1938000000;10288000000;44982000000;;-19453000000;;-35387000000;-9087000000;158810000000;-4576000000;93345000000;-70000000;102870000000
BAC;71941;USD;2024;FY;2024-12-31;2025-02-25;2026-02-25;7855500000;7935800000;26973000000;2189000000;5821000000;2005000000;-45793000000;-8805000000;;-34596000000;;-90693000000;-14757000000;117128000000;-13104000000;60369000000;-3830000000;-42959000000
BANF;6767471;USD;2023;FY;2023-12-31;2024-02-27;2026-02-26;32919348;33494487;212465000;22189000;7458000;1183000;-10250000;233045000;-22504000;-719287000;8045000;-669705000;-53642000;3051000;723000;-334787000;;-771447000
BANF;6767471;USD;2024;FY;2024-12-31;2025-02-28;2026-02-26;33055152;33617015;216354000;21681000;9004000;-5932000;20093000;261200000;-36652000;-387852000;;-71390000;-57773000;-3351000;9199000;966499000;;1156309000
BCBP;9075898;USD;2024;FY;2024-12-31;2025-03-07;2026-03-09;17007000;17018000;18623000;1713000;11570000;44599000;-8778000;67727000;-1221000;228676000;;222772000;-12276000;-12746000;504000;-252740000;;37759000
BCML;9075888;USD;2020;FY;2020-12-31;2021-03-23;2023-03-31;11965245;11965245;13726000;1864000;10320000;17745000;-33658000;9997000;-2555000;-82215000;-8432000;-73657000;;66797000;-18257000;67607000;;3947000
BCML;9075888;USD;2021;FY;2021-12-31;2022-03-31;2024-03-15;10882344;10882344;20691000;2043000;466000;43128000;-55899000;10429000;-1263000;-2918000;-45000;-60362000;;-5000000;-11551000;130291000;;80358000
BFC;10384319;USD;2020;FY;2020-12-31;2021-03-12;2023-03-10;7441256;7481077;38046000;3172000;7125000;203246000;-145826000;105763000;-8087000;-343581000;35296000;-267828000;-6147000;-50705000;-4348000;245832000;;83767000
BFH;68960;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;59893400;60018700;214000000;184000000;1266000000;-64000000;242000000;1842000000;-54000000;1784000000;-267000000;1815000000;-61000000;-1721000000;;-4167000000;15000000;-495000000
BFH;68960;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;47800000;47900000;801000000;123000000;544000000;110000000;-35000000;1543000000;;-2028000000;-75000000;-1691000000;-42000000;-4712000000;;608000000;;460000000
BFH;68960;USD;2022;FY;2022-12-31;2023-02-28;2025-02-14;49900000;50000000;223000000;113000000;1594000000;-102000000;20000000;1848000000;;-5026000000;;-5111000000;-43000000;560000000;-12000000;3267000000;;4000000
BFH;68960;USD;2023;FY;2023-12-31;2024-02-20;2026-02-13;49800000;50000000;718000000;116000000;1229000000;-129000000;53000000;1987000000;;-1627000000;;788000000;-42000000;-2696000000;-35000000;-3086000000;;-311000000
BFH;68960;USD;2024;FY;2024-12-31;2025-02-14;2026-02-13;49600000;50400000;277000000;90000000;1397000000;188000000;-93000000;1859000000;;-1217000000;;-1169000000;-43000000;69000000;-55000000;-592000000;;98000000
BFIN;9076030;USD;2020;FY;2020-12-31;2021-02-25;2022-03-01;14951656;14951656;9163000;1791000;55000;1591000;917000;13517000;-1934000;167357000;;199072000;-5982000;3939000;-4610000;100582000;;313171000
BFIN;9076030;USD;2021;FY;2021-12-31;2022-03-01;2023-03-09;13981132;13981132;7410000;2072000;-1240000;397000;-871000;7768000;-3826000;-38410000;;-101130000;-5619000;21000000;-17122000;92028000;;-1334000
BFIN;9076030;USD;2022;FY;2022-12-31;2023-03-09;2024-03-01;13071742;13071742;10494000;1262000;1828000;-145000;-2844000;10595000;-957000;-184208000;;-318073000;-5231000;-4319000;-4866000;-127913000;;-435391000
BFIN;9076030;USD;2023;FY;2023-12-31;2024-03-01;2025-03-24;12622882;12622882;9393000;1541000;313000;1936000;-3876000;9307000;-822000;173923000;;197837000;-5056000;25329000;-2393000;-95431000;;111713000
BFST;7962918;USD;2020;FY;2020-12-31;2021-03-05;2023-03-02;18169599;18243445;29994000;3164000;11435000;-3515000;-11739000;29339000;872000;-376385000;106000000;-475295000;-7520000;-89626000;-6759000;505716000;;59760000
BFST;7962918;USD;2021;FY;2021-12-31;2022-03-01;2024-03-01;20502249;20634281;52136000;11184000;8047000;-16111000;1191000;56447000;3669000;-240521000;-20983000;-675358000;-9436000;80522000;-10351000;538155000;;-80756000
BFST;7962918;USD;2022;FY;2022-12-31;2023-03-02;2025-03-07;22633478;22817493;54255000;4818000;10886000;-3359000;2977000;69577000;-7099000;-1060027000;163460000;-700521000;-12174000;327192000;119320000;715309000;;84365000
BFST;7962918;USD;2023;FY;2023-12-31;2024-03-01;2026-02-26;25079106;25296200;71043000;4670000;4483000;-7486000;18259000;90969000;-10408000;-357712000;-14506000;-521141000;-18056000;92198000;;503542000;;73370000
BFST;7962918;USD;2024;FY;2024-12-31;2025-03-07;2026-02-26;26253846;26452084;65107000;5257000;10873000;-5869000;-13959000;61409000;-941000;-344063000;96824000;-294920000;-20264000;-177512000;-31000;326499000;;92988000
BHB;7962922;USD;2020;FY;2020-12-31;2021-03-10;2023-03-14;15246000;15272000;33244000;4392000;5625000;-20611000;-1966000;20684000;-5873000;70617000;-3090000;160236000;-13417000;-195302000;-13568000;-11823000;;169097000
BHLB;998454;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;50270000;50270000;-513175000;18100000;75878000;574421000;-31247000;227641000;-7208000;1111904000;;641103000;-36564000;-256371000;191000;109302000;;978046000
BK;467599;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;890839000;892514000;3617000000;1630000000;336000000;-251000000;-294000000;5038000000;-1222000000;-46214000000;;-78455000000;-1296000000;-6797000000;53000000;75508000000;61000000;2152000000
BK;467599;USD;2021;FY;2021-12-31;2022-02-25;2024-02-28;884536082;884536082;3759000000;1867000000;-231000000;256000000;-2675000000;2976000000;-1181000000;26353000000;-170000000;19672000000;-1323000000;1351000000;-4217000000;-22100000000;-84000000;464000000
BK;467599;USD;2022;FY;2022-12-31;2023-02-27;2024-02-28;851798561;856359000;2573000000;1636000000;39000000;1271000000;8061000000;13580000000;-1301000000;16133000000;0;19874000000;-1376000000;6375000000;-101000000;-32166000000;358000000;1646000000
BK;467599;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;784004250;788081500;3286000000;1748000000;119000000;-356000000;-3910000000;887000000;-1220000000;-22111000000;0;-5810000000;-1487000000;2649000000;-3088000000;1506000000;230000000;-3187000000
BLFY;10656566;USD;2020;FY;2020-12-31;2021-03-14;2022-03-14;27772500;27772500;-31506000;1925000;2518000;26004000;-193000;-1252000;-7293000;139148000;;101393000;;32500000;;92270000;;192411000
BLFY;10656566;USD;2021;FY;2021-12-31;2022-03-14;2023-03-30;12171050;12171050;-36342000;2347000;;19608000;245000;-14142000;-5868000;-4660000;;-105334000;;-143900000;250780000;-3523000;;-122999000
BLX;7962710;USD;2020;FY;2020-12-31;2021-04-29;2023-04-28;39656000;39656000;63593000;4340000;;2780000;356644000;427357000;-997000;820052000;-1311000;500148000;-44669000;-1195432000;;-1241215000;;-313710000
BLX;7962710;USD;2021;FY;2021-12-31;2022-04-28;2024-04-25;38796000;38796000;62697000;3491000;2328000;419000;-65791000;3144000;-453000;-874858000;-353000;-1320940000;-38570000;1782665000;-60079000;1682789000;;364993000
BLX;7962710;USD;2022;FY;2022-12-31;2023-04-28;2025-04-15;36304000;36304000;92040000;2715000;19521000;2372000;-886301000;-769653000;-1651000;49681000;-1070000;-166659000;-36141000;953383000;;916247000;;-20065000
BMRC;9075832;USD;2020;FY;2020-12-31;2021-03-15;2023-03-16;13525000;13617000;30242000;2149000;;14136000;-5682000;40845000;-981000;;;-173443000;-12506000;-172000;-5479000;149530000;;16932000
BMRC;9075832;USD;2021;FY;2021-12-31;2022-03-15;2024-03-14;14340000;14422000;33228000;2875000;;4475000;4675000;45253000;-1044000;256458000;;-481243000;-13107000;122480000;-40175000;583311000;;147321000
BMTC;9076267;USD;2020;FY;2020-12-31;2021-03-01;2021-03-01;19970921;20042345;32573000;11372000;41677000;107081000;-121427000;71276000;1818000;55150000;;-99853000;-21356000;-433559000;-7390000;70959000;;42382000
BOCH;9076295;USD;2020;FY;2020-12-31;2021-03-05;2021-03-05;16663000;16731000;14164000;2005000;5355000;-995000;2244000;22773000;-1133000;-106033000;-7000;-260811000;-3406000;5000000;-12653000;264420000;;26382000
BOH;998597;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;39726210;39892107;153804000;20205000;117800000;377190000;-522583000;146416000;-31306000;-990169000;;-2373282000;-107434000;-28800000;-8617000;2282296000;;55430000
BOH;998597;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;39741063;39955525;253372000;21084000;-50500000;533416000;-380221000;377151000;10246000;-342767000;;-2423334000;-113608000;-200190000;157840000;1992529000;;-53654000
BOKF;344670;USD;2020;FY;2020-12-31;2021-02-24;2023-03-01;69840977;69844172;435071000;99013000;222592000;3739390000;-4912322000;-416256000;-67999000;-1103752000;;-2458835000;-144437000;-5091026000;-80763000;2796843000;;-78248000
BOKF;344670;USD;2021;FY;2021-12-31;2022-02-23;2024-02-21;68069160;68070910;616325000;120761000;-100000000;2807564000;-7137227000;-3692577000;-39247000;2853326000;;2602672000;-144105000;-1419241000;-122812000;2746742000;;1656837000
BPFH;9076319;USD;2020;FY;2020-12-31;2021-03-01;2021-03-01;82292450;82764339;45153000;21748000;31998000;102088000;-140239000;60748000;-11086000;-116596000;;-375001000;-29683000;-236170000;-10452000;1077362000;;763109000
BRBS;12444335;USD;2024;FY;2024-12-31;2025-03-10;2026-03-12;49123861;49123861;-15385000;2615000;-2200000;245983000;-237323000;-6310000;36938000;325409000;;419033000;;-125000000;;-357882000;;54841000
BSBK;12444445;USD;2023;FY;2023-12-31;2024-03-28;2024-03-28;12891847;12891847;642535;458400;-125000;-75882;537298;1437351;-318035;4205323;;21520165;;65407578;-3810196;-14868962;;8088554
BSBK;12444445;USD;2024;FY;2024-12-31;2025-03-27;2026-03-27;12767410;12767410;-2170420;489696;;-206594;-672588;-2559906;11468346;2845289;;10126861;;4503358;-1695432;19735782;;27302737
BSVN;11820256;USD;2020;FY;2020-12-31;2021-03-25;2023-03-24;9378769;9379154;19266000;1093000;5350000;8642000;-9116000;25235000;-411000;-119131000;;-119542000;-7803000;;-9076000;131080000;;36773000
BSVN;11820256;USD;2021;FY;2021-12-31;2022-03-31;2024-03-25;9056117;9091536;23159000;1031000;4175000;24823000;-23055000;30133000;-582000;-64776000;20432000;-43463000;-3982000;;-208000;64280000;;50950000
BSVN;11820256;USD;2022;FY;2022-12-31;2023-03-24;2025-03-12;9101523;9204716;29638000;1406000;4468000;34166000;-29964000;39714000;3076000;-244342000;;-342762000;-4366000;;-461000;207311000;;-95737000
BSVN;11820256;USD;2023;FY;2023-12-31;2024-03-25;2026-03-17;9161565;9264307;28275000;1302000;21145000;11429000;-13026000;49125000;-2830000;-118967000;-16482000;-130857000;-6323000;;-513000;153658000;;71926000
BSVN;11820256;USD;2024;FY;2024-12-31;2025-03-12;2026-03-17;9290051;9447751;45698000;1057000;;21525000;-13234000;55046000;-3979000;-27678000;;80158000;-8057000;;-666000;-82052000;;53152000
BUSE;6767795;USD;2023;FY;2023-12-31;2024-02-23;2026-02-26;55432322;56256148;122565000;19920000;2860000;33963000;-40936000;138372000;-5108000;100258000;;586005000;-53076000;-393464000;-4473000;-231960000;;492417000
BWB;9075816;USD;2020;FY;2020-12-31;2021-03-11;2023-03-07;28582064;29170220;27194000;1397000;12750000;491000;-19019000;22813000;-24554000;-411320000;;-530126000;;-32217000;-10017000;636053000;;128740000
BWFG;9075916;USD;2020;FY;2020-12-31;2021-03-10;2022-03-08;7728328;7748453;5904000;3276000;7605000;-577000;-17720000;-1512000;3337000;-21811000;;-21944000;-4389000;25000000;-1021000;355003000;;331547000
BWFG;9075916;USD;2021;FY;2021-12-31;2022-03-08;2023-03-08;7706407;7761811;26586000;3583000;-57000;670000;3776000;34558000;4257000;-268258000;;-270025000;-5025000;-116082000;-5024000;170551000;;-64916000
BWFG;9075916;USD;2022;FY;2022-12-31;2023-03-08;2024-03-12;7563363;7640218;37429000;3366000;5437000;-1239000;37675000;82668000;-4958000;-838031000;;-811161000;-6189000;74352000;-5492000;739490000;;10997000
BWFG;9075916;USD;2023;FY;2023-12-31;2024-03-12;2025-03-05;7587768;7647411;36663000;3623000;866000;1000;-7795000;33358000;-2045000;20830000;;38950000;-6241000;;155000;-158830000;;-86522000
BWFG;9075916;USD;2024;FY;2024-12-31;2025-03-05;2026-03-04;7710076;7737952;9770000;3775000;22620000;1057000;-7286000;29936000;-613000;-22189000;;-33961000;-6283000;56786000;-2137000;42392000;;38367000
C;89126;USD;2020;FY;2020-12-31;2021-02-26;2023-02-27;2085800000;2099000000;11067000000;3937000000;17368000000;-3924000000;-51936000000;-23488000000;-3396000000;-27646000000;;-92445000000;-5352000000;-2479000000;-2925000000;233595000000;-1966000000;115696000000
C;89126;USD;2021;FY;2021-12-31;2022-02-28;2024-02-23;1984300000;2001600000;21879000000;3964000000;-3778000000;1654000000;36561000000;60280000000;-3929000000;-30831000000;;-110746000000;-5198000000;;-8086000000;-13621000000;;-64087000000
C;89126;USD;2022;FY;2022-12-31;2023-02-27;2025-02-21;1946700000;1964300000;14845000000;4262000000;5239000000;-936000000;6845000000;30255000000;-5569000000;-44254000000;;-79455000000;-5003000000;66786000000;-3250000000;137763000000;27192000000;115755000000
C;89126;USD;2023;FY;2023-12-31;2024-02-23;2026-02-20;1930100000;1955800000;9228000000;4560000000;9186000000;-3743000000;-92648000000;-73417000000;-6527000000;-21416000000;;-8459000000;-5212000000;-8779000000;-3383000000;687000000;95000000;-81094000000
C;89126;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;1901400000;1940100000;12682000000;4311000000;10109000000;-1793000000;-44980000000;-19671000000;-6278000000;55799000000;;86250000000;-5199000000;17166000000;-2242000000;-38304000000;-12677000000;15598000000
CAC;7962846;USD;2020;FY;2020-12-31;2021-03-15;2023-03-10;14985235;15023767;59486000;4510000;12418000;-25061000;-33123000;18230000;-2926000;-114823000;;-294452000;-19842000;-91512000;-9805000;346360000;;70138000
CAC;7962846;USD;2021;FY;2021-12-31;2022-03-11;2024-03-08;14903855;14971578;69014000;4363000;-3190000;-5498000;-406691000;-342002000;-1852000;272973000;;-164375000;-21081000;9017000;-10353000;581228000;;74851000
CAC;7962846;USD;2022;FY;2022-12-31;2023-03-10;2025-03-07;14644170;14701010;61439000;4115000;4500000;5194000;-126165000;-50917000;-1717000;-423263000;;-331622000;-23512000;53408000;-10595000;237341000;;-145198000
CAC;7962846;USD;2023;FY;2023-12-31;2024-03-08;2026-03-06;14563380;14609345;43383000;3963000;2100000;11684000;6378000;67508000;-2622000;-90292000;;-7029000;-24536000;220003000;-2000000;-36102000;;24377000
CAC;7962846;USD;2024;FY;2024-12-31;2025-03-07;2026-03-06;14579276;14633803;53004000;3866000;-404000;4118000;349000;60933000;-5576000;-20267000;;30329000;-24558000;14503000;-1609000;23897000;;115159000
CALB;10656714;USD;2020;FY;2020-12-31;2021-03-25;2022-03-23;8131325;8169082;4303000;1399000;4880000;2796000;1375000;14753000;-3507000;-421048000;;-453838000;;199043000;247000;743260000;;304175000
CALB;10656714;USD;2021;FY;2021-12-31;2022-03-23;2023-03-24;8222749;8292942;13368000;1569000;4000;-2820000;4088000;16209000;-181000;-8922000;;-59013000;;-53432000;243000;94743000;;51939000
CARE;11818501;USD;2022;FY;2022-12-31;2023-03-10;2025-03-07;24595789;24595789;50118000;11812000;2928000;13345000;-7412000;70791000;-5482000;-350265000;;-382071000;;191420000;-42927000;80350000;;-230930000
CARE;11818501;USD;2023;FY;2023-12-31;2024-03-08;2026-03-05;23240543;23240543;23384000;12602000;6401000;11147000;-6804000;46730000;-9798000;-359407000;;-307011000;;194980000;-16416000;267941000;;7660000
