ticker,security,data_source,report_url,scope1_tco2e,scope2_location_tco2e,scope2_market_tco2e,scope1_base_year_end,scope1_base_year_tco2e,revenue_usd,is_cdp_format,notes
CI,Cigna,cdp_pdf,https://www.thecignagroup.com/static/www-thecignagroup-com/docs/cdp-report-questionnaire.pdf,16559.0,78130.0,23453.0,12/31/2019,16671.0,247121000000.0,new,
CSCO,Cisco,cdp_pdf,https://www.cisco.com/c/dam/m/en_us/about/csr/esg-hub/_pdf/2024-Cisco-CDP-Climate-Change-Response.pdf,39514.0,567637.0,81806.0,,,,new,
CHD,Church & Dwight,cdp_pdf,https://churchdwight.com/pdf/Sustainability/2024-Church-Dwight-CDP-Response.pdf,89596.0,64354.0,13546.0,12/31/2016,81240.0,5867900000.0,new,
CMG,Chipotle Mexican Grill,none,,,,,,,,,no_public_report_found
CIEN,Ciena,sustainability_report,https://www.ciena.com/__data/assets/pdf_file/0026/70973/Ciena-Sustainability-Report.pdf,,,,,,,,download_error: 403 Client Error: Forbidden for url: https://www.ciena.com/__data/assets/pdf_file/0026/70973/Ciena-Sustainability-Report.pdf
CB,Chubb Limited,sustainability_report,https://about.chubb.com/content/dam/chubb-sites/chubb/about-chubb/citizenship/environment/pdf/chubb-2024-climate-related-financial-disclosure.pdf,,,,,,,False,no_fields_extracted
CINF,Cincinnati Financial,sustainability_report,https://investors.cinfin.com/image/CINF+2024+Sustainability+Report+FINAL.pdf,,,,,,,False,no_fields_extracted
C,Citigroup,sustainability_report,https://www.citigroup.com/rcs/citigpa/storage/public/2023-Citi-Climate-Report.pdf,,,,,,,False,no_fields_extracted
CTAS,Cintas,sustainability_report,https://www.cintas.com/docs/default-source/esg/cintas_fact_sheet_2025-v2.pdf?sfvrsn=49ceb06d_1,,,,,,,False,no_fields_extracted
CFG,Citizens Financial Group,sustainability_report,https://www.citizensbank.com/dam/aefa1c17-9029-4112-bd12-b47401546cb7/2025-sustainability-impact-report-original-file.pdf,,,,,,,False,no_fields_extracted
CMS,CMS Energy,cdp_pdf,https://s26.q4cdn.com/888045447/files/doc_downloads/2024-CDP-Corporate-Questionnaire.pdf,14834761.0,62125.0,65076.0,12/31/2014,20132836.0,,new,
KO,Coca-Cola Company (The),cdp_pdf,https://www.coca-colacompany.com/content/dam/company/us/en/policies/pdf/sustainability/2023-cdp-climate-change-response.pdf,533906.0,890400.0,716045.0,,,,old,
CTSH,Cognizant,cdp_pdf,https://www.cognizant.com/en_us/about/documents/cognizant-2024-cdp-survey.pdf,15789.0,315544.0,249773.0,12/31/2019,15789.0,19353000000.0,new,
