ticker,security,data_source,report_url,scope1_tco2e,scope2_location_tco2e,scope2_market_tco2e,scope1_base_year_end,scope1_base_year_tco2e,revenue_usd,is_cdp_format,notes
DLTR,Dollar Tree,cdp_pdf,https://corporate.dollartree.com/_assets/_e787f6b4622eb0358394321c96ae9741/dollartreeinfo/files/Dollar_Tree_CDP_2025.pdf,204037.08,466245.52,476098.1,01/31/2024,204037.08,17565800000.0,new,
D,Dominion Energy,cdp_pdf,https://sustainability.dominionenergy.com/2024-CDP-DominionEnergy.pdf,29523724.0,444018.0,444018.0,,,,new,
DOV,Dover Corporation,cdp_pdf,https://www.dovercorporation.com/docs/libraries/esg/CDP-Response-2024.pdf,54787.0,106904.0,115146.0,12/31/2019,57601.0,8438134000.0,new,
DOW,Dow Inc.,cdp_pdf,https://corporate.dow.com/content/dam/corp/documents/science-sustainability/066-00485-01-dow-2024-cdp-corporate-questionnaire.pdf,28760000.0,3950000.0,6220000.0,12/31/2020,28760000.0,,new,
DTE,DTE Energy,cdp_pdf,https://empoweringmichigan.com/wp-content/uploads/DTEEnergyCompany2024CDP.pdf,22630000.0,115000.0,,,,,new,
DUK,Duke Energy,cdp_pdf,https://s201.q4cdn.com/583395453/files/doc_downloads/esg-key-documents/2024/10/Duke-Energy-CDP-Response-2024.pdf,79000000.0,414000.0,,12/31/2005,138800000.0,,new,
DD,DuPont,cdp_pdf,https://www.dupont.com/content/dam/dupont/amer/us/en/corporate/about-us/Sustainability/2024Sustainability/DuPont-Corporate-CDP-Submission.pdf,1408320.0,876611.0,608501.0,12/31/2019,2058130.0,12400000000.0,new,
DPZ,Domino's,none,,,,,,,,,no_public_report_found
DASH,DoorDash,sustainability_report,https://assets.ctfassets.net/trvmqu12jq2l/m1CoiDgLmVeiQZtIw7bBh/5b8e41519e4bd355215a9ec39b9ff462/2024_DD_Environmental_Sustainability_Update_-_R2.pdf,,,,,,,False,no_fields_extracted
DHI,D. R. Horton,sustainability_report,https://investor.drhorton.com/~/media/Files/D/D-R-Horton-IR/documents/d-r-horton-inc-fy2024-sustainability-report.pdf,,,,,,,False,no_fields_extracted
ETN,Eaton Corporation,cdp_pdf,http://eatonelectrical.com.cn/content/dam/eaton/company/sustainability/files/eaton-cdp-climate-change-and-water-response.pdf,272186.21,638078.9,584778.1,12/31/2018,284822.34,24878000000.0,new,
EBAY,eBay Inc,cdp_pdf,https://static.ebayinc.com/static/assets/Uploads/Documents/CDP-CC-Response-eBay-2025.pdf,4951.0,122216.0,146.5,,,10283000000.0,new,
ECHO,EchoStar,none,,,,,,,,,no_public_report_found
ECL,Ecolab,cdp_pdf,https://www.ecolab.com/-/media/Widen/Sustainability/Ecolab-2022-CDP-Climate-Change.pdf,319180.0,130778.0,48800.0,,,,old,
EIX,Edison International,epa_ghgrp,,1056295.0,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'EDISON INTERNATIONAL' (1 facility). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. CDP search inconclusive (no clean current-year PDF), used EPA directly to save budget."
