ticker,security,data_source,report_url,scope1_tco2e,scope2_location_tco2e,scope2_market_tco2e,scope1_base_year_end,scope1_base_year_tco2e,revenue_usd,is_cdp_format,notes
SWKS,Skyworks Solutions,epa_ghgrp,,24116.71997,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'SKYWORKS SOLUTIONS INC' (1 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
SO,Southern Company,epa_ghgrp,,83794610.56400003,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'THE SOUTHERN CO' (48 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
STLD,Steel Dynamics,epa_ghgrp,,2569896.58,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'STEEL DYNAMICS INC' (11 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
TRGP,Targa Resources,epa_ghgrp,,4304820.654815542,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'TARGA RESOURCES CORP' (37 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
TSLA,"Tesla, Inc.",epa_ghgrp,,80515.196,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'TESLA INC' (2 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
TXN,Texas Instruments,epa_ghgrp,,1057774.335383,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'TEXAS INSTRUMENTS INC' (5 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
TXT,Textron,epa_ghgrp,,55579.572,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'TEXTRON INC' (2 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
TMO,Thermo Fisher Scientific,epa_ghgrp,,28392.342,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'THERMO FISHER SCIENTIFIC INC' (1 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
TSN,Tyson Foods,epa_ghgrp,,1874907.4860000003,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'TYSON FOODS INC' (34 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2."
SBAC,SBA Communications,none,,,,,,,,,no_public_report_found
SLB,Schlumberger,cdp_pdf,https://www.slb.com/-/media/files/sustainability/2024/cdp-climate-change-2024.ashx,1368937.0,0.0,375019.0,12/31/2019,1667956.0,33140000000.0,new,
STX,Seagate Technology,cdp_pdf,https://www.seagate.com/content/dam/seagate/assets/global-citizenship/environmental/files/seagate-cdp-climatec-2023.pdf,326718.0,721566.0,288613.0,,,,old,
SRE,Sempra,sustainability_report,https://www.sempra.com/sites/default/files/2023-05/Sempra-Sustainability-Report-Full-2021.pdf,,,,,,,,download_error: 403 Client Error: Forbidden for url: https://www.sempra.com/sites/default/files/2023-05/Sempra-Sustainability-Report-Full-2021.pdf
NOW,ServiceNow,cdp_pdf,https://www.servicenow.com/content/dam/servicenow-assets/public/en-us/doc-type/other-document/servicenow-cdp-climate-change-questionnaire-2023-submission.pdf,2270.0,41979.0,635.0,,,,old,
SHW,Sherwin-Williams,cdp_pdf,https://corporate.sherwin-williams.com/content/dam/sherwin/corp/corp-aem-sherwin/sustainability/sustainability-reports/2022/cover-pages-tables-icons/CDP%20Climate%202023.pdf.coredownload.pdf,394124.0,280152.0,,,,,old,
SPG,Simon Property Group,sustainability_report,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SPG_2022.pdf,,,,,,,False,no_fields_extracted
SJM,J.M. Smucker Company (The),sustainability_report,https://www.jmsmucker.com/assets/jmsmucker/news-stories/corporate-publications/2025-corporate-impact-report.pdf,165414,176567,629,12/31/2019,171356,,False,"Manually entered (not parser-automated): figures are in an assurance-letter ""Exhibit A"" schedule (page 19) with bare ""Scope 1 Emissions""/""Scope 2 Location Based Method""/""Scope 2 Market Based Method"" row labels, no unit suffix on the label itself (unit stated once in the table header, ""Amounts in Metric Tonnes CO2e""), current-year-first (2024 then 2019). Cross-verified via the document's own internal consistency: 165,414 + 176,567 = 341,981, matching the stated ""Total Scope 1 and Scope 2 LBM GHG Emissions"" row exactly; 165,414 + 629 = 166,043, matching the stated ""Total Scope 1 and Scope 2 MBM GHG Emissions"" row exactly. Base year (2019, as amended): Scope 1 = 171,356."
SW,Smurfit Westrock,sustainability_report,https://www.smurfitwestrock.com/-/m/files/publications---global/sr-2025-downloads/smurfit_westrock_sustainability_report_2025.pdf?rev=6007465af80e4591b94f6df090645845,,,,,,,False,no_fields_extracted
SNA,Snap-on,sustainability_report,https://www.snapon.com/Snap-on-Files/Investors/SASB-Index/SASB-Standards-Index_2025_Final.pdf,,,,,,,False,no_fields_extracted
SOLV,Solventum,none,,,,,,,,,no_public_report_found
