ticker,security,data_source,report_url,scope1_tco2e,scope2_location_tco2e,scope2_market_tco2e,scope1_base_year_end,scope1_base_year_tco2e,revenue_usd,is_cdp_format,notes
ADSK,Autodesk,cdp_pdf,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/2024-cdp-climate-questionnaire.pdf,555.0,8156.0,372.0,,,5497000000.0,new,
AVY,Avery Dennison,cdp_pdf,https://www.averydennison.com/content/dam/avery_dennison/corporate-new/global/english/documents/esg/Avery-Dennison-2023-CDP-Climate-Change.pdf,188389.4,317734.4,129687.4,,,,old,
BAC,Bank of America,cdp_pdf,https://about.bankofamerica.com/content/dam/about/report-center/esg/2025/BankofAmerica-2025-CDP-Corporate-Questionnaire_WCAG-2.2_12032025.pdf,65763.0,617413.0,16587.0,,,,new,
BDX,Becton Dickinson,cdp_pdf,https://www.bd.com/content/dam/bd-assets/bd-com/en-us/document/policy/corporate-policies-and-guidelines/report/bd-cdp-disclosure-2025.pdf,155663.235,411133.039,330509.18,09/30/2019,155663.229,20178000000.0,new,
XYZ,"Block, Inc.",cdp_pdf,https://s29.q4cdn.com/628966176/files/doc_downloads/2025/06/2024-CDP-Disclosure-Block-Inc-1.pdf,983.0,9748.0,2428.0,12/31/2019,842.0,21916000000.0,new,
BBY,Best Buy,cdp_pdf,https://corporate.bestbuy.com/wp-content/uploads/2020/02/Best-Buy-FY25-CDP-Investor-Survey.pdf,185561.0,245443.0,82445.0,12/31/2017,219636.0,41528000000.0,new,
BAX,Baxter International,epa_ghgrp,,43203.836,,,,,,False,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'BAXTER INTERNATIONAL INC' (1 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. [Fixed 2026-09-13: this row previously had data_source=epa_ghgrp but a blank scope1_tco2e -- a bug from an earlier patch script that wrote the match info into notes but never wrote the actual number. Backfilled from epa_ghgrp_matches.csv, which already had the correct value.]"
ADP,Automatic Data Processing,none,,,,,,,,,no_public_report_found
AZO,AutoZone,none,,,,,,,,,no_public_report_found
AXON,Axon Enterprise,none,,,,,,,,,no_public_report_found
BKR,Baker Hughes,none,,,,,,,,,no_public_report_found
BALL,Ball Corporation,none,,,,,,,,,no_public_report_found
BSX,Boston Scientific,cdp_pdf,https://www.bostonscientific.com/content/dam/bostonscientific/corporate/citizenship/sustainability/Boston-Scientific-Corporation-climate-change-2025.pdf,82704.0,101626.0,19817.0,12/31/2019,79002.0,16747000000.0,new,
BMY,Bristol Myers Squibb,cdp_pdf,https://www.bms.com/assets/bms/us/en-us/pdf/bms-cdp-questions-questionnaire.pdf,206726.0,158817.0,158447.0,,,48300000000.0,new,
TECH,Bio-Techne,sustainability_report,https://resources.bio-techne.com/bio-techne-assets/docs/pdfs/bio-techne-corporate-sustainability-highlights.pdf,,,,,,,False,no_fields_extracted
BIIB,Biogen,epa_ghgrp,,28268.192,,,,,,False,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'BIOGEN INC' (1 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. [Fixed 2026-09-13: this row previously had data_source=epa_ghgrp but a blank scope1_tco2e -- a bug from an earlier patch script that wrote the match info into notes but never wrote the actual number. Backfilled from epa_ghgrp_matches.csv, which already had the correct value.]"
BLK,BlackRock,epa_ghgrp,,383163.06,,,,,,False,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'BLACKROCK INC' (1 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. [Fixed 2026-09-13: this row previously had data_source=epa_ghgrp but a blank scope1_tco2e -- a bug from an earlier patch script that wrote the match info into notes but never wrote the actual number. Backfilled from epa_ghgrp_matches.csv, which already had the correct value.]"
BX,Blackstone Inc.,sustainability_report,https://s23.q4cdn.com/714267708/files/doc_downloads/gov_docs/2025/Blackstone-Sustainability-Report-2023.pdf,,,,,,,False,no_fields_extracted
BNY,BNY Mellon,sustainability_report,https://www.bny.com/assets/corporate/documents/pdf/2024-sustainability-report.pdf,,,,,,,False,no_fields_extracted
BA,Boeing,epa_ghgrp,https://www.boeing.com/content/dam/boeing/boeingdotcom/sustainability/pdf/2025-boeing-sustainability-report.pdf,151144.82200000001,,,,,,,"EPA GHGRP 2023 Direct Emitters, matched via parent company 'THE BOEING CO' (4 facilities). Scope 1 (direct/on-site) only -- GHGRP does not cover Scope 2. Prior attempt: data_source=sustainability_report, report_url=https://www.boeing.com/content/dam/boeing/boeingdotcom/sustainability/pdf/2025-boeing-sustainability-report.pdf, notes=download_error: 404 Client Error: Not Found for url: https://www.boeing.com/content/dam/boeing/boeingdotcom/sustainability/pdf/2025-boeing-sustainability-report.pdf"
