ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
BNY,BANK OF NEW YORK MELLON,BANK OF NEW YORK MELLON,Banks,17502.0,49900.0,-11.0,73.0,-2.4,0.2,-1.2,0.1,-0.3,-0.3,5.9,-0.5,1.0,-6.3,1.5,Scarce human capital 18.0k scarce worker years,Taxes 8.72M days of primary education,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
EMR,EMERSON ELECTRIC,EMERSON ELECTRIC,Industrial Manufacturing and Services,17492.0,73000.0,2.0,65.0,-11.7,1.9,-5.9,1.2,-2.0,-0.4,11.9,-1.5,1.2,-2.9,1.7,GHG emissions 2.47M tons of GHG emissions,Taxes 14.0M days of primary education,https://uprightplatform.com/company/30ab9580-6e60-46f5-bacf-21138a2200ad/Emerson%20Electric/
LRCX,LAM RESEARCH,LAM RESEARCH,Computer Hardware,17400.0,19000.0,13.0,56.0,-6.2,0.3,-2.6,0.3,-1.2,-0.1,8.0,-0.5,0.4,-2.3,1.8,GHG emissions 1.07M tons of GHG emissions,Taxes 12.2M days of primary education,https://uprightplatform.com/company/4db669f1-6ccd-446b-bcc2-8249df8ac08d/Lam%20Research/
MGM,MGM RESORTS,MGM RESORTS,"Leisure, Sports and Recreation",17241.0,45000.0,-83.0,93.0,-19.2,0.3,-7.7,0.2,-3.0,-2.1,14.3,-18.8,8.3,-2.6,0.5,Physical diseases 154k life years,Taxes 22.9M days of primary education,https://uprightplatform.com/company/48cb56ee-603b-4216-8c39-232ed5da760e/MGM%20Resorts/
CTVA,CORTEVA,CORTEVA,Chemicals,17226.0,22500.0,14.0,56.0,-16.9,1.2,-5.5,1.0,-2.7,-0.4,7.8,-5.5,19.5,-2.1,0.4,"Biodiversity 4,910,000 square meters of felled forest",Nutrition 12.5bn bananas,https://uprightplatform.com/company/8510d2c2-ba44-48bc-91ac-b7028088227b/Corteva/
KMI,KINDER MORGAN,KINDER MORGAN,Energy and Environmental,16937.0,11028.0,-73.0,91.0,-31.6,1.1,-17.8,0.8,-5.5,-1.0,20.5,-3.7,0.7,-2.4,0.0,GHG emissions 7.25M tons of GHG emissions,Societal infrastructure 71.8M long-haul train rides,https://uprightplatform.com/company/ccdf9f73-7d70-4385-8553-9a5d4b8df641/Kinder%20Morgan/
BSX,BOSTON SCIENTIFIC,BOSTON SCIENTIFIC,Pharmaceuticals and Biotechnology,16747.0,53000.0,56.0,16.0,-4.8,0.2,-1.9,0.1,-0.7,-0.5,10.5,-3.0,15.3,-3.5,0.6,Scarce human capital 9.77k scarce worker years,Physical diseases 167k life years,https://uprightplatform.com/company/d5f915bd-2413-4676-bae2-5d588ad3ec39/Boston%20Scientific/
TXN,TEXAS INSTRUMENTS,TEXAS INSTRUMENTS,Computer Hardware,16675.0,34000.0,16.0,54.0,-7.1,0.7,-3.1,0.6,-1.0,-0.2,8.9,-1.0,0.4,-2.6,2.9,GHG emissions 1.24M tons of GHG emissions,Taxes 12.2M days of primary education,https://uprightplatform.com/company/09305768-bbaf-4812-bd48-2b27310dcaff/Texas%20Instruments/
RJF,RAYMOND JAMES FINANCIAL,RAYMOND JAMES FINANCIAL,Financial Services,16053.0,19000.0,8.0,61.0,-1.8,0.1,-0.9,0.1,-0.2,-0.6,5.6,-0.2,0.7,-6.6,3.6,Scarce human capital 17.5k scarce worker years,Distributing knowledge 853 days of BBC news,https://uprightplatform.com/company/67b2a6cf-0e90-43f2-ab56-5b493589529f/Raymond%20James%20Financial/
ITW,ILLINOIS TOOL WORKS,ILLINOIS TOOL WORKS,Industrial Manufacturing and Services,15949.0,44000.0,-18.0,76.0,-13.4,1.6,-6.8,1.0,-2.1,-0.3,10.4,-1.8,1.6,-2.0,1.2,GHG emissions 2.60M tons of GHG emissions,Taxes 11.1M days of primary education,https://uprightplatform.com/company/b7781942-486b-4655-9e9b-383b24f52c2c/Illinois%20Tool%20Works/
OMC,OMNICOM,OMNICOM,Media,15910.8,74900.0,15.0,54.0,-4.1,0.1,-2.2,0.1,-0.3,-0.3,9.3,-2.2,2.0,-5.4,2.6,Scarce human capital 13.5k scarce worker years,Taxes 13.9M days of primary education,https://uprightplatform.com/company/4fe490db-b7be-4f5f-876f-a44239b20304/Omnicom/
TEL,TE CONNECTIVITY,TE CONNECTIVITY,Electronics,15850.0,87000.0,0.0,66.0,-11.3,1.7,-5.7,1.2,-1.8,-1.5,13.4,-4.0,2.8,-2.6,1.6,GHG emissions 2.16M tons of GHG emissions,Societal infrastructure 25.1M long-haul train rides,https://uprightplatform.com/company/03127226-19aa-413c-a318-0e1b76220df1/TE%20Connectivity/
KDP,KEURIG DR PEPPER,KEURIG DR PEPPER,Food and Beverage,15759.0,29400.0,-149.0,99.0,-14.9,0.3,-5.7,0.2,-2.9,-0.2,5.5,-8.7,4.5,-1.9,0.0,Physical diseases 103k life years,Taxes 9.56M days of primary education,https://uprightplatform.com/company/12232400-ec36-4c04-9bfb-c667f1a60047/Keurig%20Dr%20Pepper/
ECL,ECOLAB,ECOLAB,Energy and Environmental,15684.5,48000.0,23.0,47.0,-11.5,1.2,-5.6,0.5,-1.9,-0.4,14.7,-1.7,4.1,-2.0,0.4,GHG emissions 2.12M tons of GHG emissions,Jobs 103k direct or indirect jobs,https://uprightplatform.com/company/c941f6b5-c0b4-450c-90f3-30b7b64f5812/Ecolab/
GLW,CORNING,CORNING,Industrial Manufacturing and Services,15629.0,56300.0,8.0,61.0,-10.8,1.0,-5.2,0.5,-1.5,-0.4,10.5,-1.4,2.4,-2.6,2.5,GHG emissions 1.93M tons of GHG emissions,Taxes 11.8M days of primary education,https://uprightplatform.com/company/488bf5b4-f546-4295-9ef3-e985fb482b91/Corning/
PFG,PRINCIPAL FINANCIAL,PRINCIPAL FINANCIAL,Financial Services,15461.8,19700.0,29.0,42.0,-2.2,0.1,-1.2,0.1,-0.3,-0.8,8.8,-0.6,2.1,-5.4,1.8,Scarce human capital 13.8k scarce worker years,Societal infrastructure 19.6M long-haul train rides,https://uprightplatform.com/company/0e99f4c5-13e1-497f-8289-1f8c477fb736/Principal%20Financial/
SPGI,S&P GLOBAL,S&P GLOBAL,Corporate Services,15336.0,42350.0,23.0,48.0,-4.1,0.3,-2.0,0.2,-0.7,-0.5,9.7,-1.7,1.5,-5.6,4.0,Scarce human capital 14.2k scarce worker years,Distributing knowledge 896 days of BBC news,https://uprightplatform.com/company/6ef5e338-379b-4cbf-9fd2-55c887cb6e8d/S%26P%20Global/
RSG,REPUBLIC SERVICES,REPUBLIC SERVICES,Energy and Environmental,15245.1,42000.0,55.0,17.0,-9.9,7.8,-5.3,0.7,-2.4,-0.2,15.4,-0.8,3.6,-1.5,0.7,GHG emissions 1.95M tons of GHG emissions,Societal infrastructure 28.6M long-haul train rides,https://uprightplatform.com/company/1c0290f4-1efa-404a-b69c-070f3be4b021/Republic%20Services/
EL,ESTÉE LAUDER COMPANIES,ESTÉE LAUDER COMPANIES,Consumer Product Manufacturing,15190.0,57000.0,-48.0,87.0,-10.7,0.3,-4.8,0.2,-1.8,-0.5,6.4,-2.4,4.0,-2.3,0.0,GHG emissions 1.76M tons of GHG emissions,Taxes 9.93M days of primary education,https://uprightplatform.com/company/b8ef2a37-407e-4476-aee4-4500b4622255/Est%C3%A9e%20Lauder%20Companies/
DVN,DEVON ENERGY,DEVON ENERGY,Energy and Environmental,15140.0,1900.0,-104.0,96.0,-30.1,0.6,-17.0,0.4,-5.4,-3.3,16.4,-3.8,0.5,-2.8,2.1,GHG emissions 6.18M tons of GHG emissions,Societal infrastructure 43.0M long-haul train rides,https://uprightplatform.com/company/0235e439-b728-4693-9f37-742d73e3c8c8/Devon%20Energy/
SWK,STANLEY BLACK & DECKER,STANLEY BLACK & DECKER,Consumer Product Manufacturing,15130.4,43500.0,-8.0,71.0,-13.0,1.5,-6.7,1.0,-2.0,-0.4,12.1,-2.3,2.2,-1.9,0.4,GHG emissions 2.45M tons of GHG emissions,Societal infrastructure 19.0M long-haul train rides,https://uprightplatform.com/company/0dde3164-4fb5-40fa-850a-fb200287f58f/Stanley%20Black%20%26%20Decker/
BAX,BAXTER,BAXTER,Hospitals and Healthcare,15055.0,38000.0,51.0,20.0,-6.3,0.2,-2.5,0.1,-1.2,-0.8,11.4,-3.0,17.2,-3.9,0.2,Scarce human capital 9.63k scarce worker years,Physical diseases 168k life years,https://uprightplatform.com/company/9000d198-022f-4f0d-b49b-532d68b4a724/Baxter/
CSX,CSX,CSX,Transportation,15030.0,23000.0,-46.0,86.0,-30.0,3.9,-15.9,3.6,-6.0,-1.2,19.6,-3.6,2.2,-2.9,0.1,GHG emissions 5.72M tons of GHG emissions,Societal infrastructure 42.5M long-haul train rides,https://uprightplatform.com/company/82a32310-78ee-4002-a644-a5444aa432e3/CSX/
EG,EVEREST RE,EVEREST RE,Insurance,14587.0,3037.0,-8.0,71.0,-2.5,0.1,-1.3,0.1,-0.4,-1.1,6.4,-0.3,1.1,-4.5,0.3,Scarce human capital 10.8k scarce worker years,Societal infrastructure 10.8M long-haul train rides,https://uprightplatform.com/company/d920a801-d324-486b-b473-70e3874e5c4b/Everest%20Re/
TSCO,TRACTOR SUPPLY,TRACTOR SUPPLY,Retail,14555.74,26000.0,-35.0,83.0,-15.7,1.3,-8.1,0.8,-2.1,-0.3,12.6,-2.5,2.5,-3.6,0.1,GHG emissions 2.82M tons of GHG emissions,Taxes 13.4M days of primary education,https://uprightplatform.com/company/b0919a26-75fe-4d58-994b-ee1cbe52bf2e/Tractor%20Supply/
