company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
UNITED RENTALS,Corporate Services,United States of America,"14,332.00 M$","27,900 employees",-2%,67%,33.18,GHG emissions 2.16M tons of GHG emissions,Societal infrastructure 22.4M long-haul train rides,1.12.0,https://uprightplatform.com/company/1dbf382f-9a12-45da-b932-f0ec88070b88/United%20Rentals/,2026-09-13T02:10:43.814325+00:00
W. R. BERKLEY,Insurance,United States of America,"14,202.15 M$","8,606 employees",-12%,73%,27.21,Scarce human capital 9.91k scarce worker years,Taxes 5.72M days of primary education,1.12.0,https://uprightplatform.com/company/895243d2-7dfa-4bbc-824d-c4c6ba8b8770/W.%20R.%20Berkley/,2026-09-13T02:10:47.959618+00:00
BORGWARNER,Automotive,United States of America,"14,198.00 M$","38,300 employees",-6%,70%,30.33,GHG emissions 2.49M tons of GHG emissions,Societal infrastructure 26.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/0c09e348-787f-42d3-9839-3f18b7634b94/BorgWarner/,2026-09-13T02:10:51.356821+00:00
OTIS WORLDWIDE,Industrial Manufacturing and Services,United States of America,"14,181.00 M$","72,000 employees",+36%,36%,64.20,GHG emissions 1.26M tons of GHG emissions,Taxes 10.8M days of primary education,1.12.0,https://uprightplatform.com/company/d27f7c9f-31ac-4d9e-a451-09c4cea6f347/Otis%20Worldwide/,2026-09-13T02:10:54.959029+00:00
ARTHUR J. GALLAGHER,Insurance,United States of America,"13,941.80 M$","56,000 employees",+10%,58%,42.24,Scarce human capital 10.2k scarce worker years,Taxes 6.31M days of primary education,1.12.0,https://uprightplatform.com/company/1101f818-cfda-4b66-bcdf-a9ceed6b4e02/Arthur%20J.%20Gallagher/,2026-09-13T02:10:58.336197+00:00
FOX,Media,United States of America,"13,920.00 M$","10,400 employees",+50%,21%,79.54,Scarce human capital 7.61k scarce worker years,Taxes 14.0M days of primary education,1.12.0,https://uprightplatform.com/company/a68a5918-e176-49e6-b770-ac1be485e95e/FOX/,2026-09-13T02:11:01.725991+00:00
NORTHERN,Financial Services,United States of America,"13,919.80 M$","23,400 employees",+7%,62%,38.95,Scarce human capital 14.5k scarce worker years,Taxes 7.01M days of primary education,1.12.0,https://uprightplatform.com/company/5c4b2806-91ae-4cd2-ae37-2fee909c743c/Northern/,2026-09-13T02:11:05.012685+00:00
ARCH CAPITAL,Insurance,Bermuda,"13,916.00 M$","8,000 employees",-49%,87%,13.67,Scarce human capital 10.2k scarce worker years,Taxes 5.03M days of primary education,1.12.0,https://uprightplatform.com/company/9769ae57-af52-4211-a274-681882f8a608/Arch%20Capital/,2026-09-13T02:11:08.720248+00:00
ROYAL CARIBBEAN CRUISES,"Leisure, Sports and Recreation",United States of America,"13,900.00 M$","105,950 employees",-36%,83%,17.58,GHG emissions 3.07M tons of GHG emissions,Taxes 13.5M days of primary education,1.12.0,https://uprightplatform.com/company/36b39a17-8866-4f46-9888-8628a9ed6d88/Royal%20Caribbean%20Cruises/,2026-09-13T02:11:12.064969+00:00
AMCOR,Industrial Manufacturing and Services,Switzerland,"13,778.00 M$","42,000 employees",-64%,90%,10.59,GHG emissions 3.09M tons of GHG emissions,Physical diseases 61.2k life years,1.12.0,https://uprightplatform.com/company/17f475c2-f4d4-4d55-8749-3fd1817d029b/Amcor/,2026-09-13T02:11:16.714230+00:00
