company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
BOSTON PROPERTIES,category_total,Society,Society,-0.3,+13.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,category_total,Knowledge,Knowledge,-3.2,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,category_total,Health,Health,-1.2,+1.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,category_total,Environment,Environment,-11.1,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Society,Taxes,,+6.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Society,Jobs,,+3.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Society,Societal infrastructure,,+4.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Society,Equality & human rights,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Society,Societal stability,-0.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Knowledge,Scarce human capital,-3.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Knowledge,Creating knowledge,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Knowledge,Distributing knowledge,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Health,Physical diseases,-0.8,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Health,Mental diseases,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Health,Nutrition,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Health,Relationships,,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Health,Meaning & joy,-0.1,+0.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Environment,GHG emissions,-5.9,+0.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
BOSTON PROPERTIES,submetric,Environment,Non-GHG emissions,-1.4,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/
