company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
BANK OF NEW YORK MELLON,category_total,Society,Society,-0.3,+5.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,category_total,Knowledge,Knowledge,-6.3,+1.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,category_total,Health,Health,-0.5,+1.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,category_total,Environment,Environment,-2.4,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Society,Taxes,,+2.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Society,Jobs,,+1.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Society,Societal infrastructure,,+1.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Society,Equality & human rights,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Society,Societal stability,-0.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Knowledge,Scarce human capital,-6.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Knowledge,Creating knowledge,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Knowledge,Distributing knowledge,,+1.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Health,Physical diseases,-0.3,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Health,Mental diseases,-0.1,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Health,Nutrition,,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Health,Relationships,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Health,Meaning & joy,-0.0,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Environment,GHG emissions,-1.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Environment,Non-GHG emissions,-0.3,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Environment,Scarce natural resources,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Environment,Biodiversity,-0.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
BANK OF NEW YORK MELLON,submetric,Environment,Waste,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/
EMERSON ELECTRIC,category_total,Society,Society,-0.4,+11.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/30ab9580-6e60-46f5-bacf-21138a2200ad/Emerson%20Electric/
