company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
INTERCONTINENTAL EXCHANGE,Financial Services,United States of America,"11,397.00 M$","12,806 employees",-0%,66%,34.14,Scarce human capital 10.9k scarce worker years,Taxes 7.29M days of primary education,1.12.0,https://uprightplatform.com/company/8c27f753-7bf0-44fb-9d1b-ae1569a59c9b/Intercontinental%20Exchange/,2026-09-13T02:13:47.601608+00:00
EXPEDITORS,Transportation,United States of America,"11,273.14 M$","18,400 employees",-6%,70%,30.67,GHG emissions 1.74M tons of GHG emissions,Societal infrastructure 16.1M long-haul train rides,1.12.0,https://uprightplatform.com/company/7464c83a-d826-45e0-a4cd-445d63fb4e81/Expeditors/,2026-09-13T02:13:50.880183+00:00
THE MOSAIC COMPANY,Chemicals,United States of America,"11,253.40 M$","10,454 employees",-32%,81%,19.12,GHG emissions 2.89M tons of GHG emissions,Nutrition 5.55bn bananas,1.12.0,https://uprightplatform.com/company/585f495a-8a3d-475e-9d2b-c839f771de15/The%20Mosaic%20Company/,2026-09-13T02:13:54.128382+00:00
HERSHEY,Food and Beverage,United States of America,"11,165.00 M$","18,540 employees",-133%,98%,2.36,Physical diseases 111k life years,Taxes 6.47M days of primary education,1.12.0,https://uprightplatform.com/company/6660ca94-bf57-4c4a-a947-75e340dc467a/Hershey/,2026-09-13T02:13:57.450782+00:00
MOLSON COORS BEVERAGE,Food and Beverage,United States of America,"11,140.80 M$","16,200 employees",-210%,100%,0.70,Physical diseases 262k life years,Taxes 13.9M days of primary education,1.12.0,https://uprightplatform.com/company/f7ce21cc-bd5a-40f4-901b-43a5e1a3e627/Molson%20Coors%20Beverage/,2026-09-13T02:14:00.834904+00:00
EBAY,Consumer Services,United States of America,"11,100.00 M$","12,300 employees",-23%,78%,22.37,GHG emissions 1.62M tons of GHG emissions,Taxes 11.6M days of primary education,1.12.0,https://uprightplatform.com/company/e08e0a1b-40bb-4832-a996-af1a7ee974b4/EBay/,2026-09-13T02:14:04.874922+00:00
MOTOROLA SOLUTIONS,Telecommunications,United States of America,"11,094.00 M$","21,000 employees",+51%,20%,80.73,Scarce human capital 7.38k scarce worker years,Taxes 11.9M days of primary education,1.12.0,https://uprightplatform.com/company/8dde8efc-26fc-4934-a3e1-169c0a5eb8f1/Motorola%20Solutions/,2026-09-13T02:14:08.246299+00:00
MOHAWK INDUSTRIES,Consumer Product Manufacturing,United States of America,"11,008.29 M$","41,900 employees",-33%,82%,18.76,GHG emissions 2.76M tons of GHG emissions,Societal infrastructure 19.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/0b68b350-642a-4d1a-aca7-f651161418c6/Mohawk%20Industries/,2026-09-13T02:14:12.003881+00:00
WILLIAMS COMPANIES,Energy and Environmental,United States of America,"10,907.00 M$","5,601 employees",-75%,92%,8.90,GHG emissions 4.67M tons of GHG emissions,Societal infrastructure 40.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/edc8b637-e2d0-436e-aefb-14359314ff4d/Williams%20Companies/,2026-09-13T02:14:15.276367+00:00
CME,Financial Services,United States of America,"10,818.40 M$","3,760 employees",-18%,76%,24.75,Scarce human capital 10.7k scarce worker years,Taxes 6.22M days of primary education,1.12.0,https://uprightplatform.com/company/6363b89a-6c90-4a2e-aef4-f88e6a64530c/CME/,2026-09-13T02:14:18.396221+00:00
