company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
SCHLUMBERGER,Energy and Environmental,United States of America,"35,709.00 M$","109,000 employees",-41%,85%,15.76,GHG emissions 8.61M tons of GHG emissions,Societal infrastructure 62.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/d6371d0b-d0b6-42aa-ada4-f0b0557687fd/Schlumberger/,2026-09-13T02:02:48.684254+00:00
PNC FINANCIAL SERVICES,Financial Services,United States of America,"34,440.00 M$","53,175 employees",+19%,51%,49.18,Scarce human capital 32.1k scarce worker years,Societal infrastructure 33.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/20457afe-951f-48de-a5be-a0d6c73f80ad/PNC%20Financial%20Services/,2026-09-13T02:02:52.026455+00:00
CUMMINS,Industrial Manufacturing and Services,United States of America,"34,102.00 M$","75,500 employees",-18%,76%,24.57,GHG emissions 6.10M tons of GHG emissions,Societal infrastructure 43.6M long-haul train rides,1.12.0,https://uprightplatform.com/company/d2793d64-c64e-472e-babb-db0c7bd43638/Cummins/,2026-09-13T02:02:55.851715+00:00
LINDE,Chemicals,United Kingdom,"33,986.00 M$","64,842 employees",-37%,83%,17.15,GHG emissions 9.21M tons of GHG emissions,Societal infrastructure 54.0M long-haul train rides,1.12.0,https://uprightplatform.com/company/3c943867-6b9b-46f1-9c53-e00497a74b1b/Linde/,2026-09-13T02:03:00.030860+00:00
PACCAR,Automotive,United States of America,"33,664.00 M$","25,900 employees",-61%,89%,11.11,GHG emissions 12.8M tons of GHG emissions,Societal infrastructure 123M long-haul train rides,1.12.0,https://uprightplatform.com/company/8ef69b70-0caf-4ee4-934c-2543d1215308/Paccar/,2026-09-13T02:03:03.376253+00:00
MEDTRONIC,Hospitals and Healthcare,Ireland,"33,537.00 M$","95,000 employees",+55%,16%,84.05,Scarce human capital 20.1k scarce worker years,Physical diseases 326k life years,1.12.0,https://uprightplatform.com/company/edd67dea-77b6-4cdf-a2c5-d1e4cde536d4/Medtronic/,2026-09-13T02:03:06.752932+00:00
AMGEN,Pharmaceuticals and Biotechnology,United States of America,"33,424.00 M$","28,000 employees",+46%,25%,75.74,Physical diseases 139k life years,Physical diseases 716k life years,1.12.0,https://uprightplatform.com/company/0a6d3096-7fec-4716-bab1-778f71f17ef7/Amgen/,2026-09-13T02:03:10.317687+00:00
GE AEROSPACE,Aerospace and Defense,United States of America,"33,300.00 M$","57,000 employees",-23%,78%,22.42,GHG emissions 5.28M tons of GHG emissions,Taxes 23.9M days of primary education,1.12.0,https://uprightplatform.com/company/3870b1bb-28e0-4899-9219-ae8743ebc1c7/GE%20Aerospace/,2026-09-13T02:03:13.996044+00:00
PAYPAL,Financial Services,United States of America,"31,797.00 M$","23,800 employees",+21%,49%,51.60,Scarce human capital 26.4k scarce worker years,Taxes 22.0M days of primary education,1.12.0,https://uprightplatform.com/company/5be971e4-3572-4f7f-b2ea-20aae3f44e16/PayPal/,2026-09-13T02:03:17.655850+00:00
DOLLAR TREE,Retail,United States of America,"30,846.00 M$","64,434 employees",-47%,86%,14.12,GHG emissions 5.16M tons of GHG emissions,Taxes 29.0M days of primary education,1.12.0,https://uprightplatform.com/company/34c8041a-88fe-43de-86fd-c74a50494e18/Dollar%20Tree/,2026-09-13T02:03:21.217688+00:00
