company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
ESTÉE LAUDER COMPANIES,Consumer Product Manufacturing,United States of America,"15,190.00 M$","57,000 employees",-48%,87%,13.81,GHG emissions 1.76M tons of GHG emissions,Taxes 9.93M days of primary education,1.12.0,https://uprightplatform.com/company/b8ef2a37-407e-4476-aee4-4500b4622255/Est%C3%A9e%20Lauder%20Companies/,2026-09-13T02:09:50.845304+00:00
DEVON ENERGY,Energy and Environmental,United States of America,"15,140.00 M$","1,900 employees",-104%,96%,4.49,GHG emissions 6.18M tons of GHG emissions,Societal infrastructure 43.0M long-haul train rides,1.12.0,https://uprightplatform.com/company/0235e439-b728-4693-9f37-742d73e3c8c8/Devon%20Energy/,2026-09-13T02:09:54.476236+00:00
STANLEY BLACK & DECKER,Consumer Product Manufacturing,United States of America,"15,130.40 M$","43,500 employees",-8%,71%,29.29,GHG emissions 2.45M tons of GHG emissions,Societal infrastructure 19.0M long-haul train rides,1.12.0,https://uprightplatform.com/company/0dde3164-4fb5-40fa-850a-fb200287f58f/Stanley%20Black%20%26%20Decker/,2026-09-13T02:09:59.069909+00:00
BAXTER,Hospitals and Healthcare,United States of America,"15,055.00 M$","38,000 employees",+51%,20%,80.70,Scarce human capital 9.63k scarce worker years,Physical diseases 168k life years,1.12.0,https://uprightplatform.com/company/9000d198-022f-4f0d-b49b-532d68b4a724/Baxter/,2026-09-13T02:10:03.742113+00:00
CSX,Transportation,United States of America,"15,030.00 M$","23,000 employees",-46%,86%,14.33,GHG emissions 5.72M tons of GHG emissions,Societal infrastructure 42.5M long-haul train rides,1.12.0,https://uprightplatform.com/company/82a32310-78ee-4002-a644-a5444aa432e3/CSX/,2026-09-13T02:10:06.873893+00:00
EVEREST RE,Insurance,Bermuda,"14,587.00 M$","3,037 employees",-8%,71%,29.36,Scarce human capital 10.8k scarce worker years,Societal infrastructure 10.8M long-haul train rides,1.12.0,https://uprightplatform.com/company/d920a801-d324-486b-b473-70e3874e5c4b/Everest%20Re/,2026-09-13T02:10:11.473319+00:00
TRACTOR SUPPLY,Retail,United States of America,"14,555.74 M$","26,000 employees",-35%,83%,17.90,GHG emissions 2.82M tons of GHG emissions,Taxes 13.4M days of primary education,1.12.0,https://uprightplatform.com/company/b0919a26-75fe-4d58-994b-ee1cbe52bf2e/Tractor%20Supply/,2026-09-13T02:10:14.880247+00:00
BALL CORPORATION,Industrial Manufacturing and Services,United States of America,"14,554.00 M$","21,000 employees",-130%,98%,2.54,GHG emissions 4.04M tons of GHG emissions,Taxes 10.9M days of primary education,1.12.0,https://uprightplatform.com/company/a11ea7d6-7a4d-44e3-a2f5-d7ffb7014fee/Ball%20Corporation/,2026-09-13T02:10:17.976371+00:00
INTUIT,Computer Software,United States of America,"14,368.00 M$","18,200 employees",+39%,33%,67.24,Scarce human capital 12.9k scarce worker years,Taxes 12.8M days of primary education,1.12.0,https://uprightplatform.com/company/31e12b09-7965-40a2-a108-eb916db3071e/Intuit/,2026-09-13T02:10:21.636901+00:00
REGENERON PHARMACEUTICALS,Pharmaceuticals and Biotechnology,United States of America,"14,342.90 M$","15,410 employees",+22%,49%,51.89,Physical diseases 59.5k life years,Physical diseases 215k life years,1.12.0,https://uprightplatform.com/company/cfeb2e13-a397-4794-8ce5-35a822be3d5b/Regeneron%20Pharmaceuticals/,2026-09-13T02:10:24.941600+00:00
