company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
ILLINOIS TOOL WORKS,Industrial Manufacturing and Services,United States of America,"15,949.00 M$","44,000 employees",-18%,76%,24.34,GHG emissions 2.60M tons of GHG emissions,Taxes 11.1M days of primary education,1.12.0,https://uprightplatform.com/company/b7781942-486b-4655-9e9b-383b24f52c2c/Illinois%20Tool%20Works/,2026-09-13T02:09:01.414402+00:00
OMNICOM,Media,United States of America,"15,910.80 M$","74,900 employees",+15%,54%,46.11,Scarce human capital 13.5k scarce worker years,Taxes 13.9M days of primary education,1.12.0,https://uprightplatform.com/company/4fe490db-b7be-4f5f-876f-a44239b20304/Omnicom/,2026-09-13T02:09:04.735183+00:00
TE CONNECTIVITY,Electronics,Ireland,"15,850.00 M$","87,000 employees",+0%,66%,34.57,GHG emissions 2.16M tons of GHG emissions,Societal infrastructure 25.1M long-haul train rides,1.12.0,https://uprightplatform.com/company/03127226-19aa-413c-a318-0e1b76220df1/TE%20Connectivity/,2026-09-13T02:09:08.666631+00:00
KEURIG DR PEPPER,Food and Beverage,United States of America,"15,759.00 M$","29,400 employees",-149%,99%,1.68,Physical diseases 103k life years,Taxes 9.56M days of primary education,1.12.0,https://uprightplatform.com/company/12232400-ec36-4c04-9bfb-c667f1a60047/Keurig%20Dr%20Pepper/,2026-09-13T02:09:12.042069+00:00
ECOLAB,Energy and Environmental,United States of America,"15,684.50 M$","48,000 employees",+23%,47%,53.21,GHG emissions 2.12M tons of GHG emissions,Jobs 103k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/c941f6b5-c0b4-450c-90f3-30b7b64f5812/Ecolab/,2026-09-13T02:09:15.693146+00:00
CORNING,Industrial Manufacturing and Services,United States of America,"15,629.00 M$","56,300 employees",+8%,61%,39.98,GHG emissions 1.93M tons of GHG emissions,Taxes 11.8M days of primary education,1.12.0,https://uprightplatform.com/company/488bf5b4-f546-4295-9ef3-e985fb482b91/Corning/,2026-09-13T02:09:18.794543+00:00
WHIRLPOOL,Consumer Product Manufacturing,United States of America,"15,525.00 M$","44,000 employees",-35%,82%,18.03,GHG emissions 2.75M tons of GHG emissions,Taxes 12.2M days of primary education,1.12.0,https://uprightplatform.com/company/494452c6-7b1f-42d0-a37b-1447b3c2f096/Whirlpool/,2026-09-13T02:09:22.424986+00:00
PRINCIPAL FINANCIAL,Financial Services,United States of America,"15,461.80 M$","19,700 employees",+29%,42%,58.52,Scarce human capital 13.8k scarce worker years,Societal infrastructure 19.6M long-haul train rides,1.12.0,https://uprightplatform.com/company/0e99f4c5-13e1-497f-8289-1f8c477fb736/Principal%20Financial/,2026-09-13T02:09:25.782049+00:00
S&P GLOBAL,Corporate Services,United States of America,"15,336.00 M$","42,350 employees",+23%,48%,52.70,Scarce human capital 14.2k scarce worker years,Distributing knowledge 896 days of BBC news,1.12.0,https://uprightplatform.com/company/6ef5e338-379b-4cbf-9fd2-55c887cb6e8d/S%26P%20Global/,2026-09-13T02:09:29.198426+00:00
REPUBLIC SERVICES,Energy and Environmental,United States of America,"15,245.10 M$","42,000 employees",+55%,17%,83.68,GHG emissions 1.95M tons of GHG emissions,Societal infrastructure 28.6M long-haul train rides,1.12.0,https://uprightplatform.com/company/1c0290f4-1efa-404a-b69c-070f3be4b021/Republic%20Services/,2026-09-13T02:09:32.794151+00:00
