company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
ADVANCED MICRO DEVICES,Computer Hardware,United States of America,"25,785.00 M$","28,000 employees",+16%,54%,46.92,Scarce human capital 19.1k scarce worker years,Taxes 26.1M days of primary education,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/,2026-09-13T02:04:31.816857+00:00
TRUIST FINANCIAL CORPORATION,Banks,United States of America,"25,612.00 M$","36,769 employees",+16%,54%,46.95,Scarce human capital 23.4k scarce worker years,Societal infrastructure 29.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/91bfd3ce-b36d-437d-b6d9-68fe8512ee2b/Truist%20Financial%20Corporation/,2026-09-13T02:04:35.513794+00:00
MCDONALD'S,Food and Beverage,United States of America,"25,493.70 M$","150,000 employees",-94%,95%,5.87,Physical diseases 241k life years,Jobs 147k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/2b7dc0c1-0ee8-49eb-854b-307553618c52/McDonald's/,2026-09-13T02:04:39.194721+00:00
FREEPORT-MCMORAN,Mining and Metals,United States of America,"25,455.00 M$","28,500 employees",-87%,94%,6.72,GHG emissions 5.04M tons of GHG emissions,Societal infrastructure 27.4M long-haul train rides,1.12.0,https://uprightplatform.com/company/290cd849-364b-4af9-a975-bc929259049d/Freeport-McMoRan/,2026-09-13T02:04:42.563795+00:00
MICRON TECHNOLOGY,Computer Hardware,United States of America,"25,111.00 M$","43,000 employees",+5%,63%,37.84,GHG emissions 2.00M tons of GHG emissions,Taxes 17.0M days of primary education,1.12.0,https://uprightplatform.com/company/d70049ed-f886-4b6c-a2e2-ff8cb5360e9f/Micron%20Technology/,2026-09-13T02:04:46.240627+00:00
MARRIOTT,"Leisure, Sports and Recreation",United States of America,"25,100.00 M$","148,000 employees",-31%,81%,19.28,GHG emissions 5.16M tons of GHG emissions,Taxes 31.1M days of primary education,1.12.0,https://uprightplatform.com/company/83d79e51-1234-4827-a0cf-8b0dd752f22e/Marriott/,2026-09-13T02:04:49.814187+00:00
CONSTELLATION ENERGY,Energy and Environmental,United States of America,"24,918.00 M$","13,871 employees",+43%,29%,71.96,GHG emissions 3.11M tons of GHG emissions,Societal infrastructure 111M long-haul train rides,1.12.0,https://uprightplatform.com/company/dbb6f118-1c1d-44a5-a280-3df0c09e6e21/Constellation%20Energy/,2026-09-13T02:04:53.390438+00:00
CARRIER,Construction and Building Materials,United States of America,"24,809.00 M$","48,000 employees",+10%,58%,42.20,GHG emissions 4.15M tons of GHG emissions,Societal infrastructure 55.5M long-haul train rides,1.12.0,https://uprightplatform.com/company/d49730cc-cd49-43a9-978e-107db8922204/Carrier/,2026-09-13T02:04:57.229308+00:00
NEXTERA ENERGY,Energy and Environmental,United States of America,"24,753.00 M$","16,800 employees",+11%,58%,42.76,GHG emissions 7.97M tons of GHG emissions,Societal infrastructure 122M long-haul train rides,1.12.0,https://uprightplatform.com/company/22fbe23c-347b-4825-b3ea-c3a84247e9e1/NextEra%20Energy/,2026-09-13T02:05:00.690163+00:00
UNION PACIFIC,Transportation,United States of America,"24,250.00 M$","29,711 employees",-28%,80%,20.50,GHG emissions 6.74M tons of GHG emissions,Societal infrastructure 68.7M long-haul train rides,1.12.0,https://uprightplatform.com/company/9c4d1816-e00b-4126-9d62-7f4429f25641/Union%20Pacific/,2026-09-13T02:05:03.812279+00:00
