company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
VERISK ANALYTICS,Corporate Services,United States of America,"2,681.40 M$","7,800 employees",-30%,81%,19.73,Scarce human capital 2.18k scarce worker years,Taxes 1.45M days of primary education,1.12.0,https://uprightplatform.com/company/372590bf-cc7c-490c-b920-62a2ee1d8106/Verisk%20Analytics/,2026-09-13T02:22:23.182264+00:00
NORDSON,Industrial Manufacturing and Services,United States of America,"2,651.35 M$","7,900 employees",-5%,70%,30.91,GHG emissions 362k tons of GHG emissions,Taxes 2.03M days of primary education,1.12.0,https://uprightplatform.com/company/c96518d3-3a8f-417e-b1a5-213ffb35dda9/Nordson/,2026-09-13T02:22:26.799294+00:00
BIO-RAD LABORATORIES,Industrial Manufacturing and Services,United States of America,"2,554.20 M$","7,700 employees",+63%,10%,90.87,Scarce human capital 1.73k scarce worker years,Physical diseases 19.8k life years,1.12.0,https://uprightplatform.com/company/26445ad7-b492-4a7c-a4ab-9eba4f17d74d/Bio-Rad%20Laboratories/,2026-09-13T02:22:29.927537+00:00
FACTSET RESEARCH SYSTEMS,Corporate Services,Singapore,"2,401.06 M$","12,840 employees",+26%,45%,55.29,Scarce human capital 2.36k scarce worker years,Taxes 1.65M days of primary education,1.12.0,https://uprightplatform.com/company/11b03530-ec7c-4d4e-aaad-6c415463692c/Factset%20Research%20Systems/,2026-09-13T02:22:33.289827+00:00
HEALTHPEAK PROPERTIES,Real Estate,United States of America,"2,181.00 M$",387 employees,+32%,40%,60.42,GHG emissions 211k tons of GHG emissions,Taxes 1.98M days of primary education,1.12.0,https://uprightplatform.com/company/6511fcdf-3443-42be-926e-6c3882a32921/Healthpeak%20Properties/,2026-09-13T02:22:36.871535+00:00
KIMCO REALTY,Real Estate,United States of America,"2,123.06 M$",717 employees,+0%,66%,34.53,GHG emissions 176k tons of GHG emissions,Taxes 1.59M days of primary education,1.12.0,https://uprightplatform.com/company/59b8c35c-e971-453b-997d-546d364c8af9/Kimco%20Realty/,2026-09-13T02:22:40.479550+00:00
TYLER TECHNOLOGIES,Computer Software,United States of America,"2,077.61 M$","7,462 employees",+49%,22%,78.67,Scarce human capital 1.84k scarce worker years,Taxes 2.18M days of primary education,1.12.0,https://uprightplatform.com/company/6135af6c-307b-4fad-95a1-e0742130b0c2/Tyler%20Technologies/,2026-09-13T02:22:43.658425+00:00
APA GROUP,Energy and Environmental,Australia,"1,987.94 M$","2,271 employees",-27%,80%,20.99,GHG emissions 719k tons of GHG emissions,Societal infrastructure 8.79M long-haul train rides,1.12.0,https://uprightplatform.com/company/97d30c8f-1ec6-44c5-b462-2cb366b15f7c/Apa%20Group/,2026-09-13T02:22:47.560144+00:00
ESSEX PROPERTY,Real Estate,United States of America,"1,669.39 M$","1,715 employees",+10%,59%,41.92,GHG emissions 255k tons of GHG emissions,Taxes 1.88M days of primary education,1.12.0,https://uprightplatform.com/company/f451ccb6-0ce7-440d-9b06-78ed946a6010/Essex%20Property/,2026-09-13T02:22:50.744615+00:00
UDR,Real Estate,United States of America,"1,620.66 M$","1,397 employees",+41%,30%,70.60,GHG emissions 245k tons of GHG emissions,Societal infrastructure 6.64M long-haul train rides,1.12.0,https://uprightplatform.com/company/a0118dee-3f0b-49aa-b0d1-562d0429e2f4/Udr/,2026-09-13T02:22:54.137945+00:00
