company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
WALMART,Retail,United States of America,"648,125.00 M$","2,100,000 employees",,77%,23.55,GHG emissions 110M tons of GHG emissions,Taxes 597M days of primary education,1.12.0,https://uprightplatform.com/company/d093d98d-7c71-4597-8233-ac1ab7a1e8fc/Walmart/,2026-09-13T01:56:39.106536+00:00
AMAZON,Retail,United States of America,"742,776.00 M$","1,575,000 employees",-5%,69%,31.72,Scarce human capital 508k scarce worker years,Taxes 646M days of primary education,1.12.0,https://uprightplatform.com/company/5f9171f9-3030-4773-94eb-853601d02f99/Amazon/,2026-09-13T01:56:41.946603+00:00
UNITEDHEALTH,Insurance,United States of America,"400,278.00 M$","400,000 employees",+57%,15%,85.62,Scarce human capital 343k scarce worker years,Physical diseases 2.13M life years,1.12.0,https://uprightplatform.com/company/624a39cb-b949-46aa-a5a7-9b16cbd95feb/UnitedHealth/,2026-09-13T01:56:44.782978+00:00
APPLE,Consumer Product Manufacturing,United States of America,"416,161.00 M$","166,000 employees",+20%,50%,50.72,Scarce human capital 273k scarce worker years,Taxes 345M days of primary education,1.12.0,https://uprightplatform.com/company/d1df56f3-4ce3-4167-a713-c6aeba7e26f1/Apple/,2026-09-13T01:56:47.722705+00:00
CVS HEALTH,Hospitals and Healthcare,United States of America,"372,809.00 M$","300,000 employees",+56%,16%,84.39,Scarce human capital 322k scarce worker years,Physical diseases 4.28M life years,1.12.0,https://uprightplatform.com/company/a31e688e-36ab-4f7c-9c89-c80b03c605d3/CVS%20Health/,2026-09-13T01:56:50.600380+00:00
ALPHABET,Computer Software,United States of America,"350,018.00 M$","187,103 employees",+52%,20%,80.87,Scarce human capital 326k scarce worker years,Distributing knowledge 95.1k days of BBC news,1.12.0,https://uprightplatform.com/company/c4c9afcf-6eff-4af6-a659-350c0fc469a2/Alphabet/,2026-09-13T01:56:53.452457+00:00
"CENCORA, INC",Pharmaceuticals and Biotechnology,United States of America,"325,777.78 M$","51,000 employees",+37%,35%,65.69,Scarce human capital 234k scarce worker years,Physical diseases 2.53M life years,1.12.0,https://uprightplatform.com/company/69f5685c-206e-4bc2-8313-ad3df05bba84/Cencora%2C%20Inc/,2026-09-13T01:56:56.752359+00:00
JPMORGAN CHASE,Banks,‌,‌,‌,-5%,,,Scarce human capital 268k scarce worker years,Societal infrastructure 253M long-haul train rides,1.12.0,https://uprightplatform.com/company/ff302c8b-a4be-41ac-8380-1f08da896f27/JPMorgan%20Chase/,2026-09-13T01:57:01.656314+00:00
CIGNA,Insurance,United States of America,"247,121.00 M$","73,500 employees",+60%,12%,88.39,Scarce human capital 199k scarce worker years,Physical diseases 2.71M life years,1.12.0,https://uprightplatform.com/company/43769174-532f-4aad-84a6-2745984ced39/Cigna/,2026-09-13T01:57:04.745642+00:00
MICROSOFT,Computer Software,United States of America,"245,122.00 M$","221,000 employees",+35%,37%,63.43,Scarce human capital 239k scarce worker years,Taxes 274M days of primary education,1.12.0,https://uprightplatform.com/company/7f880866-d248-44aa-beac-dd2256fe8b8c/Microsoft/,2026-09-13T01:57:08.014882+00:00
