company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
NIKE,Consumer Product Manufacturing,United States of America,"46,513.00 M$","77,800 employees",-22%,68%,32.85,GHG emissions 8.76M tons of GHG emissions,Physical diseases 204k life years,1.12.0,https://uprightplatform.com/company/53a9f70a-8e65-430e-bd73-356caeb57fc7/Nike/,2026-09-13T02:01:13.649374+00:00
COCA-COLA COMPANY,Food and Beverage,United States of America,"47,061.00 M$","69,700 employees",-227%,100%,0.54,Physical diseases 605k life years,Taxes 29.2M days of primary education,1.12.0,https://uprightplatform.com/company/542259b1-75ad-4c9b-88c1-24c3623d7155/Coca-Cola%20Company/,2026-09-13T02:01:18.332296+00:00
AMERICAN INTERNATIONAL GROUP,Insurance,United States of America,"46,802.00 M$","25,200 employees",-7%,71%,29.90,Scarce human capital 35.7k scarce worker years,Societal infrastructure 32.6M long-haul train rides,1.12.0,https://uprightplatform.com/company/ebb4e522-fed4-49d3-af07-219676214a5b/American%20International%20Group/,2026-09-13T02:01:22.976837+00:00
TRAVELERS,Financial Services,United States of America,"46,423.00 M$","34,000 employees",-13%,73%,27.00,Scarce human capital 31.1k scarce worker years,Societal infrastructure 41.4M long-haul train rides,1.12.0,https://uprightplatform.com/company/fc6c3a50-e4da-4d7d-8d31-0f861aa1ca08/Travelers/,2026-09-13T02:01:26.346679+00:00
NETFLIX,Media,United States of America,"45,183.04 M$","16,000 employees",+4%,64%,36.82,Scarce human capital 25.2k scarce worker years,Taxes 38.9M days of primary education,1.12.0,https://uprightplatform.com/company/774d99c3-fa3e-4cda-99e7-faa8ec9bccc9/Netflix/,2026-09-13T02:01:29.559595+00:00
ELI LILLY,Pharmaceuticals and Biotechnology,United States of America,"45,043.00 M$","47,000 employees",+45%,26%,74.84,Physical diseases 177k life years,Physical diseases 904k life years,1.12.0,https://uprightplatform.com/company/926e79ad-81e3-453c-821b-072045d235f1/Eli%20Lilly/,2026-09-13T02:01:33.173001+00:00
BRISTOL-MYERS SQUIBB,Pharmaceuticals and Biotechnology,United States of America,"45,006.00 M$","34,100 employees",+40%,32%,68.92,Physical diseases 263k life years,Physical diseases 1.00M life years,1.12.0,https://uprightplatform.com/company/4a06a7c7-e370-4dca-9295-583006daafde/Bristol-Myers%20Squibb/,2026-09-13T02:01:36.466608+00:00
QUALCOMM,Media,United States of America,"44,867.00 M$","52,000 employees",+21%,50%,50.96,Scarce human capital 31.6k scarce worker years,Taxes 39.4M days of primary education,1.12.0,https://uprightplatform.com/company/3ddd740a-c6d1-4f91-800a-1e78297b443f/Qualcomm/,2026-09-13T02:01:39.785827+00:00
DOW,Chemicals,United States of America,"42,964.00 M$","35,900 employees",-127%,98%,2.74,GHG emissions 10.8M tons of GHG emissions,Taxes 28.8M days of primary education,1.12.0,https://uprightplatform.com/company/157c9128-c0f4-4d26-bc0b-a9965ccec60a/Dow/,2026-09-13T02:01:43.024641+00:00
THERMO FISHER SCIENTIFIC,Hospitals and Healthcare,United States of America,"42,879.00 M$","125,000 employees",+49%,22%,78.89,Scarce human capital 28.5k scarce worker years,Physical diseases 328k life years,1.12.0,https://uprightplatform.com/company/7c214549-9d26-4848-8a3b-9f894757142e/Thermo%20Fisher%20Scientific/,2026-09-13T02:01:46.900579+00:00
