company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
SYNCHRONY FINANCIAL,category_total,Society,Society,-0.3,+9.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,category_total,Knowledge,Knowledge,-5.3,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,category_total,Health,Health,-0.5,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,category_total,Environment,Environment,-2.3,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Society,Taxes,,+3.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Society,Jobs,,+1.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Society,Societal infrastructure,,+4.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Society,Equality & human rights,-0.3,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Society,Societal stability,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Knowledge,Scarce human capital,-5.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Knowledge,Creating knowledge,,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Knowledge,Distributing knowledge,,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Health,Physical diseases,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Health,Mental diseases,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Health,Nutrition,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Health,Relationships,,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Health,Meaning & joy,-0.1,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Environment,GHG emissions,-1.3,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
SYNCHRONY FINANCIAL,submetric,Environment,Non-GHG emissions,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/
