company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
LABCORP,Hospitals and Healthcare,United States of America,"13,765.30 M$","70,000 employees",+63%,10%,90.72,Scarce human capital 9.46k scarce worker years,Physical diseases 124k life years,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/,2026-09-13T02:11:35.700394+00:00
SEMPRA ENERGY,Energy and Environmental,United States of America,"13,711.00 M$","16,773 employees",+5%,63%,37.36,GHG emissions 3.67M tons of GHG emissions,Societal infrastructure 59.0M long-haul train rides,1.12.0,https://uprightplatform.com/company/d045cc2c-a7cb-41ba-968b-0ccd9a153cf9/Sempra%20Energy/,2026-09-13T02:11:42.624822+00:00
NXP SEMICONDUCTORS,Computer Hardware,Netherlands,"13,276.00 M$","33,100 employees",+10%,59%,41.57,GHG emissions 1.49M tons of GHG emissions,Taxes 10.1M days of primary education,1.12.0,https://uprightplatform.com/company/e9c606be-00ed-456a-966b-bcdba0bfb97d/NXP%20Semiconductors/,2026-09-13T02:11:46.289375+00:00
LAS VEGAS SANDS,"Leisure, Sports and Recreation",United States of America,"13,017.00 M$","39,900 employees",-139%,98%,2.03,Physical diseases 86.9k life years,Taxes 14.1M days of primary education,1.12.0,https://uprightplatform.com/company/4d029716-dd40-4dbc-bb71-ce2c86acb763/Las%20Vegas%20Sands/,2026-09-13T02:11:54.524762+00:00
EVERSOURCE ENERGY,Energy and Environmental,United States of America,"12,991.14 M$","10,680 employees",+29%,42%,58.61,GHG emissions 3.79M tons of GHG emissions,Societal infrastructure 86.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/0e19247f-e6c8-433c-a7d8-3af21ae2fdec/Eversource%20Energy/,2026-09-13T02:11:57.784491+00:00
ENTERGY,Energy and Environmental,United States of America,"12,946.69 M$","12,267 employees",-30%,81%,19.70,GHG emissions 6.36M tons of GHG emissions,Societal infrastructure 55.7M long-haul train rides,1.12.0,https://uprightplatform.com/company/72ab6e80-c4b0-48c2-9ec1-8e081481ca8c/Entergy/,2026-09-13T02:12:01.182626+00:00
HENRY SCHEIN,Hospitals and Healthcare,United States of America,"12,938.00 M$","25,000 employees",+43%,28%,72.58,GHG emissions 1.07M tons of GHG emissions,Physical diseases 111k life years,1.12.0,https://uprightplatform.com/company/c1224792-32c0-4fcd-8a7d-e639ad1fe7ca/Henry%20Schein/,2026-09-13T02:12:04.495629+00:00
AIR PRODUCTS & CHEMICALS,Chemicals,United States of America,"12,600.00 M$","23,000 employees",-110%,96%,4.03,GHG emissions 3.94M tons of GHG emissions,Societal infrastructure 14.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/39fd1fa4-6267-40f6-9188-259f9a9bad2c/Air%20Products%20%26%20Chemicals/,2026-09-13T02:12:08.154119+00:00
ASSURANT,Insurance,United States of America,"12,576.30 M$","14,200 employees",+27%,44%,56.61,Scarce human capital 10.1k scarce worker years,Societal infrastructure 14.1M long-haul train rides,1.12.0,https://uprightplatform.com/company/40abdac2-7c84-4f8b-8c64-f1d4e7948200/Assurant/,2026-09-13T02:12:11.445667+00:00
HESS,Energy and Environmental,United States of America,"12,499.00 M$","1,797 employees",-74%,91%,9.13,GHG emissions 4.72M tons of GHG emissions,Societal infrastructure 42.4M long-haul train rides,1.12.0,https://uprightplatform.com/company/52453e24-4f49-4175-a3f4-c3e66f03359b/Hess/,2026-09-13T02:12:14.680935+00:00
