company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
BIOGEN,Pharmaceuticals and Biotechnology,United States of America,"9,890.60 M$","7,570 employees",+44%,27%,73.69,Scarce human capital 8.46k scarce worker years,Physical diseases 122k life years,1.12.0,https://uprightplatform.com/company/ffa8c820-cb79-4ee1-aa82-01e668dadee0/Biogen/,2026-09-13T02:15:33.012472+00:00
FIDELITY NATIONAL INFORMATION SERVICES,Financial Services,United States of America,"9,821.00 M$","50,000 employees",+34%,38%,62.82,Scarce human capital 10.1k scarce worker years,Taxes 8.20M days of primary education,1.12.0,https://uprightplatform.com/company/6c841aa8-1e0e-4a81-beb5-706c4e38196b/Fidelity%20National%20Information%20Services/,2026-09-13T02:15:36.292145+00:00
M&T BANK,Banks,United States of America,"9,690.00 M$","22,590 employees",+20%,50%,50.41,Scarce human capital 8.47k scarce worker years,Societal infrastructure 15.8M long-haul train rides,1.12.0,https://uprightplatform.com/company/06986cf6-1870-437d-a49d-7230571387c9/M%26T%20Bank/,2026-09-13T02:15:40.920927+00:00
WABTEC,Transportation,United States of America,"9,677.00 M$","29,000 employees",+36%,36%,64.46,GHG emissions 933k tons of GHG emissions,Societal infrastructure 20.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/3be6d4d2-dc09-4f10-9ddc-66b880078b05/Wabtec/,2026-09-13T02:15:43.994481+00:00
NORWEGIAN CRUISE LINE,"Leisure, Sports and Recreation",United States of America,"9,560.99 M$","36,500 employees",-54%,88%,12.40,GHG emissions 2.08M tons of GHG emissions,Taxes 9.40M days of primary education,1.12.0,https://uprightplatform.com/company/9ce776cd-81eb-48a0-9b8c-b1cf06f3c5f1/Norwegian%20Cruise%20Line/,2026-09-13T02:15:47.323422+00:00
CONSTELLATION BRANDS,Food and Beverage,United States of America,"9,383.00 M$","10,600 employees",-233%,100%,0.47,Physical diseases 223k life years,Taxes 11.1M days of primary education,1.12.0,https://uprightplatform.com/company/cab2055f-bb4d-4c7f-b6da-7e0125715a02/Constellation%20Brands/,2026-09-13T02:15:50.970757+00:00
QUEST DIAGNOSTICS,Hospitals and Healthcare,United States of America,"9,287.00 M$","57,000 employees",+62%,10%,90.18,Scarce human capital 7.99k scarce worker years,Physical diseases 73.3k life years,1.12.0,https://uprightplatform.com/company/b4d283be-3c3c-4c77-9a1a-b470ec7fa463/Quest%20Diagnostics/,2026-09-13T02:15:54.254479+00:00
ZOETIS,Pharmaceuticals and Biotechnology,United States of America,"9,286.00 M$","13,800 employees",-5%,69%,31.02,GHG emissions 1.54M tons of GHG emissions,Physical diseases 51.5k life years,1.12.0,https://uprightplatform.com/company/116fa2f7-8a22-4c66-8041-380dca7f2974/Zoetis/,2026-09-13T02:15:58.872196+00:00
EQUINIX,Real Estate,United States of America,"9,217.00 M$","13,606 employees",+35%,37%,63.80,Scarce human capital 6.81k scarce worker years,Knowledge infrastructure 3.97M personal computers,1.12.0,https://uprightplatform.com/company/5ba187dc-a09b-4d1b-8cca-4f5bf5f1d741/Equinix/,2026-09-13T02:16:02.162951+00:00
WILLIS TOWERS WATSON,Insurance,United States of America,"9,202.00 M$","48,000 employees",+24%,46%,54.36,Scarce human capital 7.45k scarce worker years,Taxes 6.34M days of primary education,1.12.0,https://uprightplatform.com/company/b217d61e-a5af-42cb-92c6-5525422ccb8a/Willis%20Towers%20Watson/,2026-09-13T02:16:05.750258+00:00
