company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
KELLANOVA,Food and Beverage,United States of America,"12,269.00 M$","24,000 employees",-81%,93%,7.63,Physical diseases 100k life years,Nutrition 3.38bn bananas,1.12.0,https://uprightplatform.com/company/c09b77af-7cbc-44a6-b8bc-b606ef32743c/Kellanova/,2026-09-13T02:12:33.090916+00:00
NORFOLK SOUTHERN RAILWAY,Transportation,United States of America,"12,230.00 M$","20,300 employees",-29%,80%,20.25,GHG emissions 4.19M tons of GHG emissions,Societal infrastructure 37.4M long-haul train rides,1.12.0,https://uprightplatform.com/company/64a4b7d8-0b79-4382-92bb-397f6182e72e/Norfolk%20Southern%20Railway/,2026-09-13T02:12:36.178000+00:00
DAVITA,Hospitals and Healthcare,‌,‌,‌,+68%,6%,94.56,Scarce human capital 8.09k scarce worker years,Physical diseases 219k life years,1.12.0,https://uprightplatform.com/company/cf0f701b-f0f9-4440-bd4d-7cb111cb18a4/DaVita/,2026-09-13T02:12:39.264574+00:00
HORMEL FOODS,Food and Beverage,United States of America,"12,058.59 M$","20,000 employees",-32%,81%,19.16,Physical diseases 78.6k life years,Nutrition 6.10bn bananas,1.12.0,https://uprightplatform.com/company/72d34534-7157-4451-9a8d-dd0cd3510140/Hormel%20Foods/,2026-09-13T02:12:42.686037+00:00
HILTON WORLDWIDE,"Leisure, Sports and Recreation",United States of America,"12,039.00 M$","182,000 employees",-61%,89%,11.09,GHG emissions 2.56M tons of GHG emissions,Taxes 15.2M days of primary education,1.12.0,https://uprightplatform.com/company/6aa08d95-cfbd-43eb-8a63-3b4100fe85f1/Hilton%20Worldwide/,2026-09-13T02:12:46.307873+00:00
J. B. HUNT,Transportation,United States of America,"11,999.10 M$","33,646 employees",-37%,83%,17.20,GHG emissions 3.20M tons of GHG emissions,Societal infrastructure 29.3M long-haul train rides,1.12.0,https://uprightplatform.com/company/09493926-ccfe-4187-8966-658e1556e954/J.%20B.%20Hunt/,2026-09-13T02:12:49.805132+00:00
CONAGRA BRANDS,Food and Beverage,United States of America,"11,612.80 M$","18,300 employees",+8%,60%,40.16,Physical diseases 58.4k life years,Nutrition 8.75bn bananas,1.12.0,https://uprightplatform.com/company/923ab1fd-d57d-473a-b7db-28058318424c/Conagra%20Brands/,2026-09-13T02:12:53.481871+00:00
CAESARS ENTERTAINMENT,"Leisure, Sports and Recreation",United States of America,"11,528.00 M$","59,520 employees",-134%,98%,2.26,Mental diseases 89.6k life years,Taxes 10.3M days of primary education,1.12.0,https://uprightplatform.com/company/a16ec7ef-132c-4c76-986e-9c85a66e4a6e/Caesars%20Entertainment/,2026-09-13T02:12:56.813879+00:00
INTERNATIONAL FLAVORS & FRAGRANCES,Consumer Product Manufacturing,United States of America,"11,479.00 M$","22,400 employees",-7%,71%,29.96,GHG emissions 1.55M tons of GHG emissions,Taxes 7.66M days of primary education,1.12.0,https://uprightplatform.com/company/cdc9d8e2-956f-4ac2-bfb4-940424d5c80a/International%20Flavors%20%26%20Fragrances/,2026-09-13T02:13:01.409699+00:00
VERTEX PHARMACEUTICALS,Pharmaceuticals and Biotechnology,United States of America,"11,418.80 M$","6,100 employees",+30%,42%,58.66,Physical diseases 49.7k life years,Physical diseases 182k life years,1.12.0,https://uprightplatform.com/company/00cb2302-e758-4d5c-bb09-5a85296a8f59/Vertex%20Pharmaceuticals/,2026-09-13T02:13:05.579982+00:00
