company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
HEWLETT PACKARD,Computer Hardware,United States of America,"30,127.00 M$","61,000 employees",+30%,42%,58.79,Scarce human capital 22.9k scarce worker years,Taxes 27.1M days of primary education,1.12.0,https://uprightplatform.com/company/9bd805eb-55c6-494e-8057-66b66896a4d0/Hewlett%20Packard/,2026-09-13T02:03:41.607457+00:00
PARAMOUNT GLOBAL,Media,United States of America,"29,213.00 M$","18,600 employees",+40%,32%,68.58,Physical diseases 89.7k life years,Taxes 26.8M days of primary education,1.12.0,https://uprightplatform.com/company/14ac551e-9ede-43ef-9cbb-4eff3436feef/Paramount%20Global/,2026-09-13T02:03:44.948738+00:00
GILEAD SCIENCES,Pharmaceuticals and Biotechnology,United States of America,"29,087.00 M$","17,600 employees",+69%,5%,95.28,Physical diseases 116k life years,Physical diseases 1.11M life years,1.12.0,https://uprightplatform.com/company/047032f6-9b32-4a33-a874-0983d8317c4a/Gilead%20Sciences/,2026-09-13T02:03:48.219641+00:00
MASTERCARD,Financial Services,United States of America,"28,167.00 M$","33,400 employees",+23%,47%,53.08,Scarce human capital 26.8k scarce worker years,Taxes 20.2M days of primary education,1.12.0,https://uprightplatform.com/company/d3d6cfd5-eccf-4bb5-af7d-d4b627e77d54/Mastercard/,2026-09-13T02:03:52.060985+00:00
BAKER HUGHES,Energy and Environmental,United States of America,"27,829.00 M$","58,000 employees",-49%,87%,13.56,GHG emissions 9.36M tons of GHG emissions,Societal infrastructure 88.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/1017a5ad-036a-416f-b66e-c93a2908dd6c/Baker%20Hughes/,2026-09-13T02:03:55.395719+00:00
APPLIED MATERIALS,Computer Hardware,United States of America,"27,176.00 M$","36,500 employees",+19%,51%,49.25,GHG emissions 2.24M tons of GHG emissions,Taxes 22.0M days of primary education,1.12.0,https://uprightplatform.com/company/ce7fd35b-f673-40fb-852c-1c2b5926cf93/Applied%20Materials/,2026-09-13T02:03:58.723150+00:00
KRAFT HEINZ,Food and Beverage,United States of America,"26,640.00 M$","3,600 employees",-49%,87%,13.52,Physical diseases 163k life years,Nutrition 6.80bn bananas,1.12.0,https://uprightplatform.com/company/27573c84-743d-43f7-9299-d95ee7f097d7/Kraft%20Heinz/,2026-09-13T02:04:03.003584+00:00
EATON,Industrial Manufacturing and Services,United States of America,"26,633.00 M$","94,000 employees",+19%,51%,49.18,GHG emissions 3.28M tons of GHG emissions,Societal infrastructure 41.5M long-haul train rides,1.12.0,https://uprightplatform.com/company/7c7f76a3-79ea-41c1-904c-d405cc9e6fc0/Eaton/,2026-09-13T02:04:06.282972+00:00
HARTFORD FINANCIAL SERVICES,Insurance,United States of America,"26,535.00 M$","19,100 employees",-13%,74%,26.88,Scarce human capital 19.2k scarce worker years,Societal infrastructure 19.3M long-haul train rides,1.12.0,https://uprightplatform.com/company/1a94d3da-7a05-4d98-9a82-f4512be30e99/Hartford%20Financial%20Services/,2026-09-13T02:04:09.593759+00:00
CHARLES SCHWAB,Financial Services,United States of America,"25,999.00 M$","32,600 employees",-21%,77%,23.41,Scarce human capital 31.3k scarce worker years,Taxes 12.8M days of primary education,1.12.0,https://uprightplatform.com/company/c3263d8e-6802-4882-bde0-7161d1f22784/Charles%20Schwab/,2026-09-13T02:04:13.013634+00:00
