company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
SYNCHRONY FINANCIAL,Financial Services,United States of America,"18,986.00 M$","20,000 employees",+24%,47%,53.60,Scarce human capital 16.4k scarce worker years,Societal infrastructure 26.7M long-haul train rides,1.12.0,https://uprightplatform.com/company/7eee08a2-265b-4d47-9230-13965a9d0a49/Synchrony%20Financial/,2026-09-13T02:07:26.019516+00:00
AFLAC,Insurance,United States of America,"18,927.00 M$","12,785 employees",+53%,18%,82.04,Scarce human capital 13.8k scarce worker years,Physical diseases 58.6k life years,1.12.0,https://uprightplatform.com/company/c92b0ce9-0202-441c-a05a-6bd3509260c8/Aflac/,2026-09-13T02:07:29.586193+00:00
NEWMONT CORPORATION,Mining and Metals,United States of America,N/A,N/A,-101%,,,GHG emissions 2.59M tons of GHG emissions,Taxes 12.2M days of primary education,1.12.0,https://uprightplatform.com/company/f305d20a-cdaf-4f9c-ace3-c8334fc57faf/Newmont%20Corporation/,2026-09-13T02:07:32.787480+00:00
INTERNATIONAL PAPER,Industrial Manufacturing and Services,United States of America,"18,619.00 M$","37,000 employees",-52%,88%,12.90,GHG emissions 3.38M tons of GHG emissions,Taxes 12.3M days of primary education,1.12.0,https://uprightplatform.com/company/84a2be9d-e62d-4c64-afd5-8c64af696969/International%20Paper/,2026-09-13T02:07:37.459509+00:00
TRANE TECHNOLOGIES,Construction and Building Materials,Ireland,"18,227.20 M$","45,000 employees",+27%,44%,56.11,GHG emissions 2.96M tons of GHG emissions,Societal infrastructure 51.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/e45a9371-318b-4a61-958c-47e573ad382f/Trane%20Technologies/,2026-09-13T02:07:40.751819+00:00
PULTEGROUP,Construction and Building Materials,United States of America,"17,947.00 M$","6,506 employees",+12%,57%,43.30,GHG emissions 4.31M tons of GHG emissions,Societal infrastructure 67.3M long-haul train rides,1.12.0,https://uprightplatform.com/company/9b086eb3-5795-4162-a2fb-d69e8cf813de/PulteGroup/,2026-09-13T02:07:43.888365+00:00
AMERIPRISE FINANCIAL,Financial Services,United States of America,"17,926.00 M$","13,600 employees",+11%,58%,42.84,Scarce human capital 18.2k scarce worker years,Distributing knowledge 776 days of BBC news,1.12.0,https://uprightplatform.com/company/f05ab590-85c5-4fc6-a083-83af1a4cf774/Ameriprise%20Financial/,2026-09-13T02:07:47.335802+00:00
DISCOVER FINANCIAL,Financial Services,United States of America,"17,910.00 M$","21,000 employees",+29%,43%,57.91,Scarce human capital 14.5k scarce worker years,Societal infrastructure 26.7M long-haul train rides,1.12.0,https://uprightplatform.com/company/73248c89-d5bc-43c6-94b6-ecd12555daa9/Discover%20Financial/,2026-09-13T02:07:50.693247+00:00
C. H. ROBINSON WORLDWIDE,Transportation,United States of America,"17,725.00 M$","13,166 employees",-13%,74%,26.74,GHG emissions 3.20M tons of GHG emissions,Societal infrastructure 30.6M long-haul train rides,1.12.0,https://uprightplatform.com/company/386a61cb-6f95-46d5-9cf5-7e6ef16fe5a2/C.%20H.%20Robinson%20Worldwide/,2026-09-13T02:07:54.005615+00:00
PPG INDUSTRIES,Chemicals,United States of America,"17,723.00 M$","46,000 employees",-62%,90%,10.96,GHG emissions 4.74M tons of GHG emissions,Societal infrastructure 20.3M long-haul train rides,1.12.0,https://uprightplatform.com/company/10fd1ecc-0cf7-4f13-89e1-7e0a2e4d3189/PPG%20Industries/,2026-09-13T02:07:57.271399+00:00
