company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
BANK OF NEW YORK MELLON,Banks,United States of America,"17,502.00 M$","49,900 employees",-11%,73%,27.93,Scarce human capital 18.0k scarce worker years,Taxes 8.72M days of primary education,1.12.0,https://uprightplatform.com/company/96fb2aa8-a5b0-468f-8217-8fb3388ca2b2/Bank%20of%20New%20York%20Mellon/,2026-09-13T02:08:12.907638+00:00
EMERSON ELECTRIC,Industrial Manufacturing and Services,United States of America,"17,492.00 M$","73,000 employees",+2%,65%,35.80,GHG emissions 2.47M tons of GHG emissions,Taxes 14.0M days of primary education,1.12.0,https://uprightplatform.com/company/30ab9580-6e60-46f5-bacf-21138a2200ad/Emerson%20Electric/,2026-09-13T02:08:16.504122+00:00
LAM RESEARCH,Computer Hardware,United States of America,"17,400.00 M$","19,000 employees",+13%,56%,44.85,GHG emissions 1.07M tons of GHG emissions,Taxes 12.2M days of primary education,1.12.0,https://uprightplatform.com/company/4db669f1-6ccd-446b-bcc2-8249df8ac08d/Lam%20Research/,2026-09-13T02:08:19.794362+00:00
MGM RESORTS,"Leisure, Sports and Recreation",United States of America,"17,241.00 M$","45,000 employees",-83%,93%,7.32,Physical diseases 154k life years,Taxes 22.9M days of primary education,1.12.0,https://uprightplatform.com/company/48cb56ee-603b-4216-8c39-232ed5da760e/MGM%20Resorts/,2026-09-13T02:08:23.156916+00:00
CORTEVA,Chemicals,United States of America,"17,226.00 M$","22,500 employees",+14%,56%,44.94,"Biodiversity 4,910,000 square meters of felled forest",Nutrition 12.5bn bananas,1.12.0,https://uprightplatform.com/company/8510d2c2-ba44-48bc-91ac-b7028088227b/Corteva/,2026-09-13T02:08:26.728738+00:00
KINDER MORGAN,Energy and Environmental,United States of America,"16,937.00 M$","11,028 employees",-73%,91%,9.18,GHG emissions 7.25M tons of GHG emissions,Societal infrastructure 71.8M long-haul train rides,1.12.0,https://uprightplatform.com/company/ccdf9f73-7d70-4385-8553-9a5d4b8df641/Kinder%20Morgan/,2026-09-13T02:08:30.004247+00:00
BOSTON SCIENTIFIC,Pharmaceuticals and Biotechnology,United States of America,"16,747.00 M$","53,000 employees",+56%,16%,84.34,Scarce human capital 9.77k scarce worker years,Physical diseases 167k life years,1.12.0,https://uprightplatform.com/company/d5f915bd-2413-4676-bae2-5d588ad3ec39/Boston%20Scientific/,2026-09-13T02:08:33.342008+00:00
MYLAN,Pharmaceuticals and Biotechnology,United States of America,"16,728.30 M$","38,000 employees",+48%,23%,77.20,Physical diseases 63.1k life years,Physical diseases 297k life years,1.12.0,https://uprightplatform.com/company/794fdd2b-df0b-4a5b-8267-267114c8afe3/Mylan/,2026-09-13T02:08:36.715537+00:00
TEXAS INSTRUMENTS,Computer Hardware,United States of America,"16,675.00 M$","34,000 employees",+16%,54%,46.83,GHG emissions 1.24M tons of GHG emissions,Taxes 12.2M days of primary education,1.12.0,https://uprightplatform.com/company/09305768-bbaf-4812-bd48-2b27310dcaff/Texas%20Instruments/,2026-09-13T02:08:40.062528+00:00
RAYMOND JAMES FINANCIAL,Financial Services,United States of America,"16,053.00 M$","19,000 employees",+8%,61%,39.62,Scarce human capital 17.5k scarce worker years,Distributing knowledge 853 days of BBC news,1.12.0,https://uprightplatform.com/company/67b2a6cf-0e90-43f2-ab56-5b493589529f/Raymond%20James%20Financial/,2026-09-13T02:08:43.383081+00:00
