company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
PROGRESSIVE,Insurance,United States of America,"75,372.00 M$","66,300 employees",-64%,90%,10.60,GHG emissions 8.20M tons of GHG emissions,Societal infrastructure 69.1M long-haul train rides,1.12.0,https://uprightplatform.com/company/87272392-b279-4c12-a789-4c006014132f/Progressive/,2026-09-13T01:59:42.873693+00:00
AMERICAN EXPRESS,Financial Services,United States of America,"74,201.00 M$","75,100 employees",+10%,59%,41.70,Scarce human capital 58.9k scarce worker years,Societal infrastructure 75.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/ca42e102-6df6-46ce-b1dd-462f01a8c980/American%20Express/,2026-09-13T01:59:47.452826+00:00
METLIFE,Insurance,United States of America,"70,986.00 M$","45,000 employees",+20%,50%,50.36,Scarce human capital 57.6k scarce worker years,Societal infrastructure 63.0M long-haul train rides,1.12.0,https://uprightplatform.com/company/283328d5-6c84-4d45-85ab-a763d9078d85/MetLife/,2026-09-13T01:59:50.848211+00:00
PRUDENTIAL FINANCIAL,Insurance,United States of America,"70,405.00 M$","38,196 employees",+13%,56%,44.68,Scarce human capital 61.4k scarce worker years,Societal infrastructure 64.0M long-haul train rides,1.12.0,https://uprightplatform.com/company/12faac26-5992-400d-838b-03e671613945/Prudential%20Financial/,2026-09-13T01:59:54.279850+00:00
MERCK & CO,Pharmaceuticals and Biotechnology,United States of America,"65,011.00 M$","72,000 employees",+58%,14%,86.06,Physical diseases 316k life years,Physical diseases 2.05M life years,1.12.0,https://uprightplatform.com/company/e5d1f66c-f4bd-4b01-aff9-923df382e45e/Merck%20%26%20Co/,2026-09-13T01:59:57.547462+00:00
CATERPILLAR,Construction and Building Materials,United States of America,"64,809.00 M$","113,200 employees",-29%,80%,20.30,GHG emissions 15.4M tons of GHG emissions,Societal infrastructure 153M long-haul train rides,1.12.0,https://uprightplatform.com/company/78b09433-547b-4f3c-8f5f-2107b656d786/Caterpillar/,2026-09-13T02:00:00.762992+00:00
ALLSTATE,Insurance,United States of America,"64,106.00 M$","55,000 employees",-16%,75%,25.62,Scarce human capital 50.3k scarce worker years,Societal infrastructure 51.8M long-haul train rides,1.12.0,https://uprightplatform.com/company/9970072d-ed7b-46ba-b3d9-6789ed06096d/Allstate/,2026-09-13T02:00:04.373106+00:00
PFIZER,Pharmaceuticals and Biotechnology,United States of America,"62,580.00 M$","75,000 employees",+60%,12%,88.03,Physical diseases 284k life years,Physical diseases 2.22M life years,1.12.0,https://uprightplatform.com/company/f50c4614-23dd-483b-9017-752a82e67179/Pfizer/,2026-09-13T02:00:07.707255+00:00
CHUBB,Insurance,Switzerland,"57,213.00 M$","43,000 employees",-4%,69%,31.75,Scarce human capital 42.2k scarce worker years,Societal infrastructure 40.8M long-haul train rides,1.12.0,https://uprightplatform.com/company/7453a47e-3033-4b87-b41d-c7690747005f/Chubb/,2026-09-13T02:00:10.834267+00:00
CONOCOPHILLIPS,Energy and Environmental,United States of America,"56,953.00 M$","11,800 employees",-112%,97%,3.84,GHG emissions 25.1M tons of GHG emissions,Societal infrastructure 168M long-haul train rides,1.12.0,https://uprightplatform.com/company/40ff0fbd-fac1-4548-bbca-4ac3e68eb1f9/ConocoPhillips/,2026-09-13T02:00:14.137161+00:00
