company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
GEN DIGITAL INC,category_total,Society,Society,-0.4,+13.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,category_total,Knowledge,Knowledge,-6.9,+6.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,category_total,Health,Health,-1.0,+1.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,category_total,Environment,Environment,-4.3,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Society,Taxes,,+6.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Society,Jobs,,+3.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Society,Societal infrastructure,,+0.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Society,Equality & human rights,-0.3,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Society,Societal stability,-0.1,+3.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Knowledge,Scarce human capital,-6.9,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Knowledge,Knowledge infrastructure,,+4.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Knowledge,Creating knowledge,,+0.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Knowledge,Distributing knowledge,,+1.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Health,Physical diseases,-0.4,+0.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Health,Mental diseases,-0.4,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Health,Nutrition,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Health,Relationships,-0.0,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Health,Meaning & joy,-0.0,+1.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Environment,GHG emissions,-1.8,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Environment,Non-GHG emissions,-0.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Environment,Scarce natural resources,-0.6,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Environment,Biodiversity,-0.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GEN DIGITAL INC,submetric,Environment,Waste,-1.0,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/
GENERAC,category_total,Society,Society,-0.2,+17.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,category_total,Knowledge,Knowledge,-2.1,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,category_total,Health,Health,-1.5,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,category_total,Environment,Environment,-13.1,+3.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Society,Taxes,,+4.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Society,Jobs,,+2.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Society,Societal infrastructure,,+10.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Society,Equality & human rights,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Society,Societal stability,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Knowledge,Scarce human capital,-2.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Knowledge,Creating knowledge,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Knowledge,Distributing knowledge,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Health,Physical diseases,-1.3,+0.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Health,Mental diseases,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Health,Nutrition,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Health,Relationships,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Health,Meaning & joy,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Environment,GHG emissions,-6.8,+3.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Environment,Non-GHG emissions,-2.2,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Environment,Scarce natural resources,-1.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Environment,Biodiversity,-1.8,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
GENERAC,submetric,Environment,Waste,-1.2,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/
PENTAIR,category_total,Society,Society,-0.3,+14.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/81e38bda-b127-4edc-85c7-e0e2d7e2880d/Pentair/
PENTAIR,category_total,Knowledge,Knowledge,-2.2,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/81e38bda-b127-4edc-85c7-e0e2d7e2880d/Pentair/
