company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
TJX COMPANIES,Retail,United States of America,"56,360.00 M$","364,000 employees",-48%,87%,13.84,GHG emissions 10.3M tons of GHG emissions,Taxes 53.9M days of primary education,1.12.0,https://uprightplatform.com/company/ae700c46-f731-4467-8547-a0c727fb9ab7/TJX%20companies/,2026-09-13T02:00:29.065699+00:00
ABBVIE,Pharmaceuticals and Biotechnology,United States of America,"56,334.00 M$","55,000 employees",+34%,38%,62.98,Physical diseases 299k life years,Physical diseases 1.01M life years,1.12.0,https://uprightplatform.com/company/17a459b4-cef9-4524-ab8a-74b857ba320e/AbbVie/,2026-09-13T02:00:32.394118+00:00
CHARTER COMMUNICATIONS,Telecommunications,United States of America,"55,085.00 M$","94,500 employees",+38%,34%,66.56,Scarce human capital 40.3k scarce worker years,Taxes 57.1M days of primary education,1.12.0,https://uprightplatform.com/company/33d0a32b-fdff-4cb9-ae22-4a07be599d30/Charter%20Communications/,2026-09-13T02:00:35.769268+00:00
AMERICAN AIRLINES,Transportation,United States of America,"54,211.00 M$","138,100 employees",-141%,99%,1.94,GHG emissions 19.6M tons of GHG emissions,Taxes 54.9M days of primary education,1.12.0,https://uprightplatform.com/company/f32519e6-0f0b-4745-b192-1a6148fada5f/American%20Airlines/,2026-09-13T02:00:38.960084+00:00
CAPITAL ONE,Financial Services,United States of America,"53,938.00 M$","76,500 employees",+31%,41%,59.93,Scarce human capital 38.6k scarce worker years,Societal infrastructure 80.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/293f469c-9855-4f7a-be55-240411736a1e/Capital%20One/,2026-09-13T02:00:42.064967+00:00
HP INC.,Computer Hardware,United States of America,"53,559.00 M$","58,000 employees",+22%,48%,52.12,Scarce human capital 34.2k scarce worker years,Taxes 44.3M days of primary education,1.12.0,https://uprightplatform.com/company/811cacb6-0267-43d5-9c84-23409607a2b0/HP%20Inc./,2026-09-13T02:00:45.389369+00:00
TYSON FOODS,Food and Beverage,United States of America,"53,309.00 M$","139,000 employees",-70%,91%,9.55,Physical diseases 489k life years,Nutrition 35.2bn bananas,1.12.0,https://uprightplatform.com/company/376411c8-193f-4425-8c82-4d669c156e26/Tyson%20Foods/,2026-09-13T02:00:48.648962+00:00
CISCO SYSTEMS,Computer Hardware,United States of America,"53,161.00 M$","84,900 employees",+45%,26%,74.89,Scarce human capital 45.5k scarce worker years,Taxes 52.5M days of primary education,1.12.0,https://uprightplatform.com/company/31d43c04-a2db-4499-97e8-c5a565c4a966/Cisco%20Systems/,2026-09-13T02:00:51.814998+00:00
INTEL,Computer Hardware,United States of America,"52,853.00 M$","85,100 employees",+14%,55%,45.14,GHG emissions 4.14M tons of GHG emissions,Knowledge infrastructure 13.4M personal computers,1.12.0,https://uprightplatform.com/company/f5b17b4b-ef15-4bf5-876c-3b164f4fb53f/Intel/,2026-09-13T02:00:56.427466+00:00
JOHN DEERE,Agriculture and Forestry,United States of America,"51,716.00 M$","75,800 employees",-31%,81%,19.29,GHG emissions 11.3M tons of GHG emissions,Taxes 37.5M days of primary education,1.12.0,https://uprightplatform.com/company/283dfdb7-ca25-4ca5-ac36-8898aeac2e73/John%20Deere/,2026-09-13T02:00:59.232713+00:00
