company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
BLACKROCK,Financial Services,United States of America,"24,216.00 M$","24,600 employees",+3%,64%,36.69,Scarce human capital 25.0k scarce worker years,Taxes 13.8M days of primary education,1.12.0,https://uprightplatform.com/company/3538aceb-6fb1-4e94-bf4e-2af48bea6390/BlackRock/,2026-09-13T02:05:18.753471+00:00
EOG RESOURCES,Energy and Environmental,United States of America,"23,698.00 M$","3,400 employees",-101%,96%,4.96,GHG emissions 10.2M tons of GHG emissions,Societal infrastructure 83.4M long-haul train rides,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/,2026-09-13T02:05:22.182462+00:00
QUANTA SERVICES,Construction and Building Materials,United States of America,"23,673.00 M$","58,400 employees",+38%,34%,66.27,GHG emissions 5.51M tons of GHG emissions,Societal infrastructure 112M long-haul train rides,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/,2026-09-13T02:05:25.627122+00:00
EXELON,Energy and Environmental,United States of America,"23,028.00 M$","19,962 employees",+28%,43%,57.41,GHG emissions 4.25M tons of GHG emissions,Societal infrastructure 88.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/,2026-09-13T02:05:28.897018+00:00
JOHNSON CONTROLS,Industrial Manufacturing and Services,Ireland,"22,952.00 M$","94,000 employees",+66%,7%,93.20,GHG emissions 1.89M tons of GHG emissions,Societal infrastructure 65.4M long-haul train rides,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/,2026-09-13T02:05:33.564750+00:00
STATE STREET,Financial Services,United States of America,"22,054.00 M$","51,564 employees",+11%,58%,42.64,Scarce human capital 23.2k scarce worker years,Taxes 14.3M days of primary education,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/,2026-09-13T02:05:38.211725+00:00
ONEOK,Energy and Environmental,United States of America,"21,698.00 M$","5,177 employees",-76%,92%,8.83,GHG emissions 8.96M tons of GHG emissions,Societal infrastructure 80.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/7a0a6b9d-e028-4f8a-8701-52831c2080b2/Oneok/,2026-09-13T02:05:41.542647+00:00
HALLIBURTON,Energy and Environmental,United States of America,"21,690.00 M$","47,885 employees",-64%,90%,10.43,GHG emissions 7.74M tons of GHG emissions,Societal infrastructure 61.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/58c6bc95-5608-45a7-9736-2218ea776c0b/Halliburton/,2026-09-13T02:05:44.682906+00:00
ADOBE,Computer Software,United States of America,"21,505.00 M$","31,020 employees",+32%,40%,60.79,Scarce human capital 19.4k scarce worker years,Taxes 21.6M days of primary education,1.12.0,https://uprightplatform.com/company/867310fe-b675-457f-9fc8-70ba403da368/Adobe/,2026-09-13T02:05:47.969929+00:00
INGERSOLL RAND,Construction and Building Materials,Ireland,"21,321.90 M$","44,000 employees",-15%,75%,25.68,GHG emissions 4.55M tons of GHG emissions,Societal infrastructure 40.5M long-haul train rides,1.12.0,https://uprightplatform.com/company/5745ef42-3dc2-4052-8f73-7974cad2d344/Ingersoll%20Rand/,2026-09-13T02:05:51.220820+00:00
