company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
LABCORP,category_total,Society,Society,-1.2,+14.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,category_total,Knowledge,Knowledge,-4.2,+5.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,category_total,Health,Health,-1.1,+12.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,category_total,Environment,Environment,-5.3,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Society,Taxes,,+6.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Society,Jobs,,+6.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Society,Societal infrastructure,,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Society,Equality & human rights,-1.2,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Society,Societal stability,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Knowledge,Scarce human capital,-4.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Knowledge,Creating knowledge,,+5.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Knowledge,Distributing knowledge,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Health,Physical diseases,-0.9,+11.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Health,Mental diseases,-0.2,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Health,Nutrition,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Health,Relationships,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Health,Meaning & joy,,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Environment,GHG emissions,-1.9,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Environment,Non-GHG emissions,-0.8,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Environment,Scarce natural resources,-0.8,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Environment,Biodiversity,-0.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
LABCORP,submetric,Environment,Waste,-1.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/90d88dfa-bdb5-4290-8365-e3cf59f99459/LabCorp/
SEMPRA ENERGY,category_total,Society,Society,-1.0,+22.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/d045cc2c-a7cb-41ba-968b-0ccd9a153cf9/Sempra%20Energy/
SEMPRA ENERGY,category_total,Knowledge,Knowledge,-3.3,+0.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/d045cc2c-a7cb-41ba-968b-0ccd9a153cf9/Sempra%20Energy/
