company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
ADVANCED MICRO DEVICES,category_total,Society,Society,-0.5,+10.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,category_total,Knowledge,Knowledge,-4.5,+5.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,category_total,Health,Health,-3.1,+2.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,category_total,Environment,Environment,-8.0,+1.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Society,Taxes,,+5.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Society,Jobs,,+3.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Society,Societal infrastructure,,+1.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Society,Equality & human rights,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Society,Societal stability,-0.4,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Knowledge,Scarce human capital,-4.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Knowledge,Knowledge infrastructure,,+4.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
ADVANCED MICRO DEVICES,submetric,Knowledge,Creating knowledge,,+0.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/ef1f62a1-3ab2-4897-9e1c-737414d9bd48/Advanced%20Micro%20Devices/
