company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
PARKER HANNIFIN,Industrial Manufacturing and Services,United States of America,"20,461.42 M$","57,950 employees",-2%,68%,32.92,GHG emissions 2.86M tons of GHG emissions,Taxes 15.1M days of primary education,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/,2026-09-13T02:06:08.154955+00:00
WASTE MANAGEMENT,Energy and Environmental,United States of America,"20,426.00 M$","48,000 employees",+47%,24%,76.60,GHG emissions 3.30M tons of GHG emissions,Societal infrastructure 49.1M long-haul train rides,1.12.0,https://uprightplatform.com/company/6e7df0f5-76c9-484f-94ae-2dde84fc9b92/Waste%20Management/,2026-09-13T02:06:11.829845+00:00
WESTROCK,Industrial Manufacturing and Services,United States of America,"20,310.00 M$","57,560 employees",-73%,91%,9.18,GHG emissions 4.21M tons of GHG emissions,Taxes 14.3M days of primary education,1.12.0,https://uprightplatform.com/company/21e3b229-603b-46e8-b115-a77538b41f5e/WestRock/,2026-09-13T02:06:15.006956+00:00
BECTON DICKINSON,Hospitals and Healthcare,United States of America,"20,178.00 M$","74,000 employees",+53%,18%,82.32,Scarce human capital 12.6k scarce worker years,Physical diseases 170k life years,1.12.0,https://uprightplatform.com/company/d18ee84e-653a-4343-8f49-6636bbc77956/Becton%20Dickinson/,2026-09-13T02:06:18.325837+00:00
COLGATE-PALMOLIVE,Consumer Product Manufacturing,United States of America,N/A,N/A,+12%,,,GHG emissions 2.72M tons of GHG emissions,Physical diseases 160k life years,1.12.0,https://uprightplatform.com/company/43570f21-cf1f-456f-816d-b331d1ce86c2/Colgate-Palmolive/,2026-09-13T02:06:21.448866+00:00
GENERAL MILLS,Food and Beverage,United States of America,"19,857.00 M$","34,000 employees",-24%,78%,22.28,Physical diseases 106k life years,Nutrition 10.6bn bananas,1.12.0,https://uprightplatform.com/company/66abc510-d62f-455c-ac69-9949a213a790/General%20Mills/,2026-09-13T02:06:24.540397+00:00
APTIV,Automotive,Switzerland,"19,725.00 M$","141,000 employees",+25%,46%,54.80,GHG emissions 2.94M tons of GHG emissions,Societal infrastructure 45.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/674f3707-29c2-4c00-8d31-cf7516f9fd5e/Aptiv/,2026-09-13T02:06:27.841043+00:00
PIONEER NATURAL RESOURCES,Energy and Environmental,United States of America,"19,374.00 M$","2,213 employees",-99%,95%,5.12,GHG emissions 8.33M tons of GHG emissions,Societal infrastructure 54.7M long-haul train rides,1.12.0,https://uprightplatform.com/company/b5f9d55b-9aad-4e94-97f0-63c6eceeeaa9/Pioneer%20Natural%20Resources/,2026-09-13T02:06:31.128403+00:00
EDISON,Energy and Environmental,United States of America,"19,317.00 M$","13,725 employees",+47%,24%,76.15,GHG emissions 3.34M tons of GHG emissions,Societal infrastructure 112M long-haul train rides,1.12.0,https://uprightplatform.com/company/8e7ab906-5613-4356-87c4-eea128f0b6aa/Edison/,2026-09-13T02:06:34.716531+00:00
AUTOMATIC DATA PROCESSING,Computer Software,United States of America,"19,203.00 M$","67,000 employees",+53%,18%,82.05,Scarce human capital 15.2k scarce worker years,Taxes 17.3M days of primary education,1.12.0,https://uprightplatform.com/company/b3aead16-d78e-4f4d-b3bb-e976639e8d1b/Automatic%20Data%20Processing/,2026-09-13T02:06:38.194330+00:00
