company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
ARISTA NETWORKS,Computer Hardware,United States of America,"5,860.17 M$","4,412 employees",+46%,25%,75.52,Scarce human capital 4.86k scarce worker years,Taxes 6.21M days of primary education,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/,2026-09-13T02:18:52.094157+00:00
EQT CORPORATION,Energy and Environmental,United States of America,"5,660.12 M$","1,461 employees",-84%,93%,7.22,GHG emissions 2.55M tons of GHG emissions,Societal infrastructure 24.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/,2026-09-13T02:18:55.309015+00:00
PAYCHEX,Financial Services,United States of America,"5,571.70 M$","19,000 employees",+35%,36%,64.04,Scarce human capital 4.99k scarce worker years,Taxes 4.71M days of primary education,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/,2026-09-13T02:18:59.909938+00:00
JUNIPER NETWORKS,Holding Companies,United States of America,"5,564.50 M$","11,271 employees",+38%,34%,66.73,Scarce human capital 4.92k scarce worker years,Taxes 6.19M days of primary education,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/,2026-09-13T02:19:03.493073+00:00
GLOBE LIFE AND ACCIDENT INSURANCE,Insurance,United States of America,"5,542.35 M$","3,636 employees",+14%,55%,45.12,Scarce human capital 4.62k scarce worker years,Societal infrastructure 4.34M long-haul train rides,1.12.0,https://uprightplatform.com/company/e2b0b6aa-56f2-46c3-9f83-4096d1c94302/Globe%20Life%20And%20Accident%20Insurance/,2026-09-13T02:19:06.870811+00:00
HOST HOTELS & RESORTS,Real Estate,United States of America,"5,524.00 M$",163 employees,-50%,87%,13.30,GHG emissions 1.17M tons of GHG emissions,Taxes 6.55M days of primary education,1.12.0,https://uprightplatform.com/company/9f0d6b15-f04d-4eb9-8662-f8a04bf55a0e/Host%20Hotels%20%26%20Resorts/,2026-09-13T02:19:10.118806+00:00
MARATHON OIL,Energy and Environmental,United States of America,"5,486.00 M$","1,531 employees",-85%,93%,7.10,GHG emissions 2.11M tons of GHG emissions,Societal infrastructure 16.5M long-haul train rides,1.12.0,https://uprightplatform.com/company/4df075cc-0d6d-4c68-94d0-658e91faef58/Marathon%20Oil/,2026-09-13T02:19:13.215013+00:00
DIGITAL REALTY,Real Estate,United States of America,"5,477.06 M$","3,936 employees",+45%,26%,74.42,Scarce human capital 5.37k scarce worker years,Taxes 6.21M days of primary education,1.12.0,https://uprightplatform.com/company/4d84cfbd-fedc-40dc-a76e-1017a1f96a35/Digital%20Realty/,2026-09-13T02:19:16.623879+00:00
ZEBRA TECHNOLOGIES,Computer Hardware,United States of America,"5,396.00 M$","10,700 employees",+18%,52%,48.97,GHG emissions 497k tons of GHG emissions,Taxes 4.50M days of primary education,1.12.0,https://uprightplatform.com/company/50bcace4-b5be-46d6-b5be-8af4447669fd/Zebra%20Technologies/,2026-09-13T02:19:19.983922+00:00
ROBERT HALF,Corporate Services,United States of America,"5,378.51 M$","14,700 employees",+48%,23%,77.32,Scarce human capital 4.79k scarce worker years,Taxes 6.03M days of primary education,1.12.0,https://uprightplatform.com/company/740e7d1d-8514-4226-ab5d-a69d060d93dd/Robert%20Half/,2026-09-13T02:19:24.458306+00:00
