company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
WELLTOWER,Real Estate,United States of America,"6,569.28 M$",533 employees,+61%,12%,88.86,GHG emissions 578k tons of GHG emissions,Societal infrastructure 15.2M long-haul train rides,1.12.0,https://uprightplatform.com/company/b9c97c5b-2b1d-444b-ac93-549176ea36a6/Welltower/,2026-09-13T02:18:05.293541+00:00
NASDAQ,Financial Services,United States of America,"6,564.00 M$","9,492 employees",+23%,48%,52.96,Scarce human capital 6.70k scarce worker years,Taxes 3.59M days of primary education,1.12.0,https://uprightplatform.com/company/ad8d405a-80cc-41b2-b6c1-e3f9a3c279cd/Nasdaq/,2026-09-13T02:18:08.538411+00:00
T. ROWE PRICE,Financial Services,United States of America,"6,460.50 M$","8,158 employees",-35%,82%,18.07,Scarce human capital 10.1k scarce worker years,Taxes 3.45M days of primary education,1.12.0,https://uprightplatform.com/company/077850ba-b1be-4bdb-b788-51a24a5316e5/T.%20Rowe%20Price/,2026-09-13T02:18:11.716847+00:00
ON SEMICONDUCTOR,Computer Hardware,United States of America,"6,398.80 M$","26,400 employees",+12%,57%,43.62,GHG emissions 516k tons of GHG emissions,Taxes 5.16M days of primary education,1.12.0,https://uprightplatform.com/company/4f44c6e6-ac68-40d1-ac2c-5d1d22932f7d/On%20Semiconductor/,2026-09-13T02:18:14.989217+00:00
INVESCO,Financial Services,United States of America,"6,377.10 M$","7,499 employees",+5%,63%,37.39,Scarce human capital 5.28k scarce worker years,Societal infrastructure 6.17M long-haul train rides,1.12.0,https://uprightplatform.com/company/34ebed8e-0bab-4881-afe8-75331e28ba4f/Invesco/,2026-09-13T02:18:18.315716+00:00
SIMON PROPERTY,Real Estate,United States of America,"6,364.50 M$","2,400 employees",+6%,62%,38.54,GHG emissions 833k tons of GHG emissions,Jobs 44.7k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/8aa6a9a2-657e-4674-95a3-d7854ed7329f/Simon%20Property/,2026-09-13T02:18:21.598784+00:00
FORTIVE,Industrial Manufacturing and Services,United States of America,"6,195.20 M$","18,000 employees",+32%,40%,60.89,Scarce human capital 3.53k scarce worker years,Taxes 5.47M days of primary education,1.12.0,https://uprightplatform.com/company/b6db51ca-cf28-4d52-951c-ec7a7a278664/Fortive/,2026-09-13T02:18:24.701962+00:00
IRON MOUNTAIN,Corporate Services,United States of America,"5,988.46 M$","27,000 employees",+45%,26%,74.09,Scarce human capital 3.20k scarce worker years,Jobs 52.6k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/71cd85f6-eb95-4f64-bd53-13503de00f48/Iron%20Mountain/,2026-09-13T02:18:27.920979+00:00
MOODY'S,Financial Services,United States of America,"5,916.00 M$","15,913 employees",+29%,42%,58.57,Scarce human capital 5.28k scarce worker years,Taxes 3.89M days of primary education,1.12.0,https://uprightplatform.com/company/897349b3-a402-4509-bf93-60f827af6d98/Moody's/,2026-09-13T02:18:31.267563+00:00
EDWARDS LIFESCIENCES,Hospitals and Healthcare,United States of America,"5,883.80 M$","15,800 employees",+53%,18%,82.34,Physical diseases 16.3k life years,Physical diseases 41.0k life years,1.12.0,https://uprightplatform.com/company/4b1d8ade-fba7-47e5-9309-fd76a074c260/Edwards%20Lifesciences/,2026-09-13T02:18:34.366229+00:00
