company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
ARISTA NETWORKS,category_total,Society,Society,-0.2,+11.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,category_total,Knowledge,Knowledge,-5.0,+7.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,category_total,Health,Health,-1.4,+1.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,category_total,Environment,Environment,-4.7,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Society,Taxes,,+6.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Society,Jobs,,+3.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Society,Societal infrastructure,,+1.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Society,Equality & human rights,-0.1,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Society,Societal stability,-0.1,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Knowledge,Scarce human capital,-5.0,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Knowledge,Knowledge infrastructure,,+5.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Knowledge,Creating knowledge,,+1.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Knowledge,Distributing knowledge,,+0.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Health,Physical diseases,-0.4,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Health,Mental diseases,-0.8,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Health,Nutrition,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Health,Relationships,-0.0,+0.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Health,Meaning & joy,-0.1,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Environment,GHG emissions,-2.2,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Environment,Non-GHG emissions,-0.6,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Environment,Scarce natural resources,-0.8,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Environment,Biodiversity,-0.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
ARISTA NETWORKS,submetric,Environment,Waste,-0.8,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/e933fd97-7cbc-461c-b4ef-ae9a35e24da0/Arista%20Networks/
EQT CORPORATION,category_total,Society,Society,-3.2,+21.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,category_total,Knowledge,Knowledge,-2.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,category_total,Health,Health,-3.1,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,category_total,Environment,Environment,-33.2,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Society,Taxes,,+3.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Society,Jobs,,+2.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Society,Societal infrastructure,,+15.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Society,Equality & human rights,-0.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Society,Societal stability,-2.8,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Knowledge,Scarce human capital,-2.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Knowledge,Creating knowledge,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Knowledge,Distributing knowledge,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Health,Physical diseases,-2.6,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Health,Mental diseases,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Health,Nutrition,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Health,Relationships,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Health,Meaning & joy,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Environment,GHG emissions,-18.8,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Environment,Non-GHG emissions,-5.0,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Environment,Scarce natural resources,-1.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Environment,Biodiversity,-5.6,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
EQT CORPORATION,submetric,Environment,Waste,-2.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/cbf40fe8-2a48-4ec1-bdb2-926354e1d169/EQT%20Corporation/
PAYCHEX,category_total,Society,Society,-0.3,+10.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,category_total,Knowledge,Knowledge,-5.5,+2.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,category_total,Health,Health,-0.8,+1.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,category_total,Environment,Environment,-2.7,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Society,Taxes,,+4.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Society,Jobs,,+2.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Society,Societal infrastructure,,+2.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Society,Equality & human rights,-0.2,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Society,Societal stability,-0.1,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Knowledge,Scarce human capital,-5.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Knowledge,Knowledge infrastructure,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Knowledge,Creating knowledge,,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Knowledge,Distributing knowledge,,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Health,Physical diseases,-0.4,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Health,Mental diseases,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Health,Nutrition,,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Health,Relationships,-0.0,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Health,Meaning & joy,-0.1,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Environment,GHG emissions,-1.4,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Environment,Non-GHG emissions,-0.3,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Environment,Scarce natural resources,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Environment,Biodiversity,-0.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
PAYCHEX,submetric,Environment,Waste,-0.4,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/17e8111b-8852-48e7-afef-548847fd3125/Paychex/
JUNIPER NETWORKS,category_total,Society,Society,-0.3,+11.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,category_total,Knowledge,Knowledge,-5.4,+5.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,category_total,Health,Health,-1.1,+1.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,category_total,Environment,Environment,-5.1,+1.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Society,Taxes,,+6.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Society,Jobs,,+3.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Society,Societal infrastructure,,+1.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Society,Equality & human rights,-0.1,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Society,Societal stability,-0.3,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Knowledge,Scarce human capital,-5.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Knowledge,Knowledge infrastructure,,+2.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Knowledge,Creating knowledge,,+1.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Knowledge,Distributing knowledge,,+1.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Health,Physical diseases,-0.5,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
JUNIPER NETWORKS,submetric,Health,Mental diseases,-0.4,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/910efc8e-9778-4d7d-882e-30e6e6343936/Juniper%20Networks/
