company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
BOSTON PROPERTIES,Real Estate,United States of America,"3,200.00 M$",836 employees,+4%,64%,36.74,GHG emissions 450k tons of GHG emissions,Taxes 3.45M days of primary education,1.12.0,https://uprightplatform.com/company/3adf7057-5062-4cea-9ffc-1fc5f7d58366/Boston%20Properties/,2026-09-13T02:21:18.089505+00:00
WATERS,Hospitals and Healthcare,United States of America,"3,046.06 M$","7,600 employees",+39%,33%,67.37,Scarce human capital 1.71k scarce worker years,Taxes 2.57M days of primary education,1.12.0,https://uprightplatform.com/company/f24b7cbd-1e4f-46d5-83a8-6d1ff53b6a9a/Waters/,2026-09-13T02:21:21.460809+00:00
AVALONBAY COMMUNITIES,Real Estate,United States of America,"3,040.73 M$","3,011 employees",+37%,35%,65.78,GHG emissions 372k tons of GHG emissions,Societal infrastructure 9.53M long-haul train rides,1.12.0,https://uprightplatform.com/company/c3196a05-c052-4079-9e4d-6e370670fe92/AvalonBay%20Communities/,2026-09-13T02:21:25.136567+00:00
ALEXANDRIA REAL ESTATE EQUITIES,Real Estate,United States of America,"3,038.95 M$",514 employees,+41%,31%,69.97,Scarce human capital 2.73k scarce worker years,Physical diseases 22.5k life years,1.12.0,https://uprightplatform.com/company/ffe88ca4-1165-4c63-a680-38de4e770753/Alexandria%20Real%20Estate%20Equities/,2026-09-13T02:21:28.753251+00:00
F5 NETWORKS,Corporate Services,United States of America,"3,024.66 M$","6,557 employees",+46%,25%,75.47,Scarce human capital 3.33k scarce worker years,Taxes 3.45M days of primary education,1.12.0,https://uprightplatform.com/company/f0baf061-6ec1-40f6-8e23-d94dad9e1600/F5%20Networks/,2026-09-13T02:21:32.040584+00:00
MSCI,Corporate Services,United States of America,"2,986.72 M$","6,208 employees",+28%,43%,57.65,Scarce human capital 3.10k scarce worker years,Taxes 1.98M days of primary education,1.12.0,https://uprightplatform.com/company/ccaf6862-0f0f-4a12-8575-997642608c71/MSCI/,2026-09-13T02:21:39.149697+00:00
TELEFLEX,Hospitals and Healthcare,United States of America,"2,974.50 M$","14,100 employees",+52%,19%,81.65,Scarce human capital 2.07k scarce worker years,Physical diseases 26.6k life years,1.12.0,https://uprightplatform.com/company/0e23fab0-6601-4726-8552-7511d5396d22/Teleflex/,2026-09-13T02:21:42.804524+00:00
EQUITY RESIDENTIAL,Real Estate,United States of America,"2,873.96 M$","2,500 employees",+6%,62%,38.47,GHG emissions 443k tons of GHG emissions,Taxes 3.26M days of primary education,1.12.0,https://uprightplatform.com/company/799450b0-cdb5-4984-becf-7d0fa5501a93/Equity%20Residential/,2026-09-13T02:21:46.226523+00:00
ETSY,Retail,United States of America,"2,838.41 M$","2,400 employees",-40%,84%,16.15,GHG emissions 398k tons of GHG emissions,Taxes 2.94M days of primary education,1.12.0,https://uprightplatform.com/company/90556204-3e90-4ebf-b57c-dc11dd537b05/Etsy/,2026-09-13T02:21:50.333081+00:00
SBA COMMUNICATIONS,Real Estate,United States of America,"2,724.52 M$","1,720 employees",+43%,28%,72.78,Scarce human capital 1.75k scarce worker years,Taxes 2.83M days of primary education,1.12.0,https://uprightplatform.com/company/d009ca1d-2b41-445f-ae45-f3bbde03df80/Sba%20Communications/,2026-09-13T02:21:53.403904+00:00
