company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
ZIMMER BIOMET,Hospitals and Healthcare,United States of America,"7,394.00 M$","17,000 employees",+46%,25%,75.61,GHG emissions 555k tons of GHG emissions,Physical diseases 52.8k life years,1.12.0,https://uprightplatform.com/company/874d740e-6386-4edd-b32a-8bec8ad7731e/Zimmer%20Biomet/,2026-09-13T02:17:14.119402+00:00
REGIONS FINANCIAL,Banks,United States of America,"7,294.00 M$","19,642 employees",+18%,52%,48.96,Scarce human capital 6.01k scarce worker years,Societal infrastructure 10.0M long-haul train rides,1.12.0,https://uprightplatform.com/company/598133e3-c05d-4278-a188-1553600d4142/Regions%20Financial/,2026-09-13T02:17:17.468307+00:00
ELECTRONIC ARTS,Media,United States of America,"7,288.00 M$","13,400 employees",-21%,77%,23.27,Mental diseases 52.0k life years,Taxes 7.59M days of primary education,1.12.0,https://uprightplatform.com/company/5c0baa15-fce3-4de7-93ef-34573114f43d/Electronic%20Arts/,2026-09-13T02:17:20.903120+00:00
AUTODESK,Computer Software,United States of America,"7,206.00 M$","14,300 employees",+47%,24%,76.18,Scarce human capital 5.81k scarce worker years,Taxes 7.16M days of primary education,1.12.0,https://uprightplatform.com/company/a9c59a4c-a00d-4d92-b9e9-8de14a519c16/Autodesk/,2026-09-13T02:17:24.648244+00:00
BROADRIDGE FINANCIAL SOLUTIONS,Computer Software,United States of America,"7,055.70 M$","14,700 employees",+51%,20%,80.47,Scarce human capital 7.00k scarce worker years,Taxes 7.57M days of primary education,1.12.0,https://uprightplatform.com/company/7ae9fa5d-224c-4d54-ae45-97d05c178d3e/Broadridge%20Financial%20Solutions/,2026-09-13T02:17:28.094548+00:00
WEYERHAEUSER,Construction and Building Materials,United States of America,"7,036.00 M$","9,440 employees",-14%,74%,26.13,GHG emissions 880k tons of GHG emissions,Taxes 4.30M days of primary education,1.12.0,https://uprightplatform.com/company/30818d5d-cf90-43d3-90df-d38199a68418/Weyerhaeuser/,2026-09-13T02:17:31.729502+00:00
TAPESTRY,Consumer Product Manufacturing,United States of America,"7,010.70 M$","12,500 employees",-92%,94%,6.09,GHG emissions 1.41M tons of GHG emissions,Jobs 34.5k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/2c16d125-9823-4d58-be70-d3c8c540e509/Tapestry/,2026-09-13T02:17:36.328291+00:00
AGILENT TECHNOLOGIES,Hospitals and Healthcare,United States of America,"6,788.00 M$","18,000 employees",+47%,24%,76.39,Scarce human capital 3.85k scarce worker years,Physical diseases 34.2k life years,1.12.0,https://uprightplatform.com/company/e271a67f-955a-4917-b6c1-0ff3040e0cbf/Agilent%20Technologies/,2026-09-13T02:17:39.600433+00:00
CF INDUSTRIES,Chemicals,United States of America,"6,736.00 M$","2,800 employees",-46%,86%,14.42,GHG emissions 1.87M tons of GHG emissions,Nutrition 3.45bn bananas,1.12.0,https://uprightplatform.com/company/831fefe9-8df0-412b-82dd-e5e2bccc938b/CF%20Industries/,2026-09-13T02:17:43.885502+00:00
MCCORMICK,Food and Beverage,United States of America,"6,662.20 M$","13,800 employees",+14%,55%,45.33,GHG emissions 764k tons of GHG emissions,Nutrition 3.05bn bananas,1.12.0,https://uprightplatform.com/company/d44f2083-866a-49bb-9b3a-d50f69b0d68c/McCormick/,2026-09-13T02:17:47.226974+00:00
