company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
EOG RESOURCES,submetric,Society,Jobs,,+2.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Society,Societal infrastructure,,+12.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Society,Equality & human rights,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Society,Societal stability,-2.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Knowledge,Scarce human capital,-2.6,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Knowledge,Creating knowledge,,+1.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Knowledge,Distributing knowledge,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Health,Physical diseases,-4.7,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Health,Mental diseases,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Health,Nutrition,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Health,Relationships,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Health,Meaning & joy,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Environment,GHG emissions,-17.9,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Environment,Non-GHG emissions,-5.8,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Environment,Scarce natural resources,-1.0,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Environment,Biodiversity,-5.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
EOG RESOURCES,submetric,Environment,Waste,-2.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/48d34ee9-fda6-4dc6-b6c8-52aa2495f25a/EOG%20Resources/
QUANTA SERVICES,category_total,Society,Society,-0.8,+24.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,category_total,Knowledge,Knowledge,-2.4,+1.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,category_total,Health,Health,-1.7,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,category_total,Environment,Environment,-16.8,+8.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Society,Taxes,,+4.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Society,Jobs,,+3.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Society,Societal infrastructure,,+16.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Society,Equality & human rights,-0.3,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Society,Societal stability,-0.5,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Knowledge,Scarce human capital,-2.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Knowledge,Knowledge infrastructure,,+1.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Knowledge,Creating knowledge,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Knowledge,Distributing knowledge,,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Health,Physical diseases,-1.2,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Health,Mental diseases,-0.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Health,Nutrition,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Health,Relationships,,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Health,Meaning & joy,-0.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Environment,GHG emissions,-9.7,+5.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Environment,Non-GHG emissions,-2.2,+1.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Environment,Scarce natural resources,-0.9,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Environment,Biodiversity,-2.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
QUANTA SERVICES,submetric,Environment,Waste,-1.5,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/928c5e78-d306-4962-9d54-5933405022b1/Quanta%20Services/
EXELON,category_total,Society,Society,-1.4,+21.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,category_total,Knowledge,Knowledge,-3.4,+0.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,category_total,Health,Health,-1.5,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,category_total,Environment,Environment,-17.8,+10.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Society,Taxes,,+5.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Society,Jobs,,+3.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Society,Societal infrastructure,,+13.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Society,Equality & human rights,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Society,Societal stability,-1.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Knowledge,Scarce human capital,-3.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Knowledge,Knowledge infrastructure,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Knowledge,Creating knowledge,,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Knowledge,Distributing knowledge,,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Health,Physical diseases,-1.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
