company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
GEN DIGITAL INC,Computer Software,United States of America,"4,227.00 M$","3,500 employees",+44%,27%,73.00,Scarce human capital 4.78k scarce worker years,Taxes 4.61M days of primary education,1.12.0,https://uprightplatform.com/company/607b0a3e-f6f6-40eb-b515-22e191b7f141/Gen%20Digital%20Inc/,2026-09-13T02:20:33.696377+00:00
GENERAC,Electronics,United States of America,"4,124.70 M$","9,239 employees",+26%,45%,55.39,GHG emissions 675k tons of GHG emissions,Societal infrastructure 12.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/62197c2f-16c0-420d-b076-bdbb5773eada/Generac/,2026-09-13T02:20:36.997795+00:00
PENTAIR,Industrial Manufacturing and Services,United Kingdom,"4,093.10 M$","9,750 employees",+30%,42%,58.76,GHG emissions 540k tons of GHG emissions,Societal infrastructure 7.38M long-haul train rides,1.12.0,https://uprightplatform.com/company/81e38bda-b127-4edc-85c7-e0e2d7e2880d/Pentair/,2026-09-13T02:20:40.201361+00:00
HOLOGIC,Hospitals and Healthcare,United States of America,"4,030.40 M$","6,990 employees",+63%,10%,90.71,Scarce human capital 2.80k scarce worker years,Physical diseases 36.3k life years,1.12.0,https://uprightplatform.com/company/f635e9cb-feb0-406d-92ff-d0164768fc79/Hologic/,2026-09-13T02:20:43.521628+00:00
BROWN-FORMAN,Food and Beverage,United States of America,"3,910.00 M$","5,000 employees",-196%,100%,0.87,Physical diseases 82.7k life years,Taxes 5.27M days of primary education,1.12.0,https://uprightplatform.com/company/4a94f2ce-aa2e-4118-94d2-239d32af96b8/Brown-Forman/,2026-09-13T02:20:47.095884+00:00
METTLER-TOLEDO,Industrial Manufacturing and Services,United States of America,"3,788.31 M$","17,300 employees",+25%,46%,54.95,GHG emissions 376k tons of GHG emissions,Taxes 3.41M days of primary education,1.12.0,https://uprightplatform.com/company/3d5ef53e-acd2-4fff-bc4f-2e53b93ab072/Mettler-Toledo/,2026-09-13T02:20:50.704845+00:00
IDEXX LABORATORIES,Pharmaceuticals and Biotechnology,United States of America,"3,660.95 M$","11,000 employees",+43%,28%,72.21,GHG emissions 264k tons of GHG emissions,Taxes 3.22M days of primary education,1.12.0,https://uprightplatform.com/company/ca069db4-398f-406f-91c0-27e5bbbf05df/Idexx%20Laboratories/,2026-09-13T02:20:53.954823+00:00
MATCH,Media,United States of America,"3,487.20 M$","2,200 employees",+34%,38%,62.50,Meaning & joy 7.50bn social media use,Relationships 3.80bn phone calls,1.12.0,https://uprightplatform.com/company/83810226-b3d5-4d0f-9af0-0477af1b45fd/Match/,2026-09-13T02:20:57.626730+00:00
EXTRA SPACE STORAGE,Real Estate,United States of America,"3,377.54 M$","8,012 employees",+20%,50%,50.13,GHG emissions 308k tons of GHG emissions,Societal infrastructure 4.77M long-haul train rides,1.12.0,https://uprightplatform.com/company/13651c65-810d-4b1b-849c-5832d02488e1/Extra%20Space%20Storage/,2026-09-13T02:21:00.720716+00:00
IDEX,Industrial Manufacturing and Services,United States of America,"3,273.90 M$","9,000 employees",+18%,52%,49.00,GHG emissions 542k tons of GHG emissions,Societal infrastructure 5.51M long-haul train rides,1.12.0,https://uprightplatform.com/company/5c03c6ae-64cd-41f0-b2e7-2e7589381f80/Idex/,2026-09-13T02:21:04.113833+00:00
