company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
CENTERPOINT ENERGY,Energy and Environmental,United States of America,"8,836.00 M$","8,872 employees",+11%,58%,42.35,GHG emissions 2.96M tons of GHG emissions,Societal infrastructure 56.3M long-haul train rides,1.12.0,https://uprightplatform.com/company/b47c0ef2-154c-4252-b0cf-c992bf69a612/CenterPoint%20Energy/,2026-09-13T02:16:23.449312+00:00
FRANKLIN RESOURCES,Financial Services,United States of America,"8,770.70 M$","9,900 employees",+4%,64%,36.84,Scarce human capital 9.15k scarce worker years,Taxes 3.39M days of primary education,1.12.0,https://uprightplatform.com/company/aff1e0af-db6e-4142-a2ef-2bdb04015472/Franklin%20Resources/,2026-09-13T02:16:26.745480+00:00
FIFTH THIRD BANK,Banks,United States of America,"8,710.00 M$","18,724 employees",+12%,57%,43.37,Scarce human capital 7.88k scarce worker years,Societal infrastructure 11.6M long-haul train rides,1.12.0,https://uprightplatform.com/company/2f837249-9e74-4636-abdf-4c520dbcf570/Fifth%20Third%20Bank/,2026-09-13T02:16:30.137176+00:00
ROCKWELL AUTOMATION,Electronics,United States of America,"8,566.00 M$","26,000 employees",+29%,42%,58.53,Scarce human capital 6.16k scarce worker years,Taxes 8.20M days of primary education,1.12.0,https://uprightplatform.com/company/083ee122-8aa0-4888-b0bc-76caba256085/Rockwell%20Automation/,2026-09-13T02:16:33.449179+00:00
J.M. SMUCKER,Food and Beverage,United States of America,"8,529.20 M$","8,000 employees",-29%,80%,20.03,GHG emissions 1.05M tons of GHG emissions,Jobs 48.1k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/c9379651-dc8e-4a48-943e-2421da3c8a41/J.M.%20Smucker/,2026-09-13T02:16:36.878824+00:00
PROLOGIS,Real Estate,United States of America,"8,201.61 M$","2,703 employees",+5%,63%,37.90,GHG emissions 800k tons of GHG emissions,Taxes 8.28M days of primary education,1.12.0,https://uprightplatform.com/company/e3d46eb5-3cec-482b-9024-6e55950393df/Prologis/,2026-09-13T02:16:40.093074+00:00
YUM! BRANDS,"Leisure, Sports and Recreation",United States of America,"7,908.00 M$","35,000 employees",-47%,87%,13.98,Physical diseases 41.2k life years,Taxes 6.50M days of primary education,1.12.0,https://uprightplatform.com/company/94e84944-3d9c-47be-997c-48819e1f8769/Yum!%20Brands/,2026-09-13T02:16:44.769341+00:00
RALPH LAUREN,Consumer Product Manufacturing,United States of America,"7,833.10 M$","15,000 employees",-40%,84%,16.22,GHG emissions 1.16M tons of GHG emissions,Jobs 43.2k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/6610d979-4465-449b-ba8f-a8be97491b88/Ralph%20Lauren/,2026-09-13T02:16:48.150360+00:00
DOVER,Industrial Manufacturing and Services,United States of America,"7,829.06 M$","24,000 employees",+8%,61%,39.81,GHG emissions 1.21M tons of GHG emissions,Societal infrastructure 14.9M long-haul train rides,1.12.0,https://uprightplatform.com/company/430e4797-d74b-481c-8f58-1bf6ce47d336/Dover/,2026-09-13T02:16:52.815938+00:00
XYLEM,Real Estate,United States of America,"7,400.00 M$","23,000 employees",+48%,23%,77.65,GHG emissions 963k tons of GHG emissions,Societal infrastructure 22.8M long-haul train rides,1.12.0,https://uprightplatform.com/company/228a547f-eaa3-4523-ad43-404f48200e58/Xylem/,2026-09-13T02:16:56.467794+00:00
