company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
FORTINET,Corporate Services,United States of America,"5,304.80 M$","13,568 employees",+41%,30%,70.63,Scarce human capital 5.30k scarce worker years,Taxes 5.32M days of primary education,1.12.0,https://uprightplatform.com/company/12a18c72-e420-4016-ab7f-dbdae10d863f/Fortinet/,2026-09-13T02:19:43.068741+00:00
MODERNA,Pharmaceuticals and Biotechnology,United States of America,"5,153.00 M$","5,800 employees",+83%,1%,99.65,Scarce human capital 2.99k scarce worker years,Physical diseases 302k life years,1.12.0,https://uprightplatform.com/company/2d7c9b12-d093-4626-ba77-973053339a5e/Moderna/,2026-09-13T02:19:46.295193+00:00
ALBEMARLE,Chemicals,United States of America,"5,142.73 M$","8,300 employees",-43%,85%,15.10,GHG emissions 1.43M tons of GHG emissions,Societal infrastructure 6.51M long-haul train rides,1.12.0,https://uprightplatform.com/company/3771b586-44f2-47a8-843d-babd4f0e7118/Albemarle/,2026-09-13T02:19:49.513731+00:00
KEYSIGHT TECHNOLOGIES,Industrial Manufacturing and Services,United States of America,"4,979.00 M$","15,500 employees",+31%,40%,60.28,Scarce human capital 4.12k scarce worker years,Taxes 5.24M days of primary education,1.12.0,https://uprightplatform.com/company/ffe88211-1845-432a-9c5b-9b886f888aa4/Keysight%20Technologies/,2026-09-13T02:19:52.917780+00:00
VENTAS,Real Estate,United States of America,"4,801.60 M$",486 employees,+42%,30%,70.84,GHG emissions 436k tons of GHG emissions,Jobs 31.2k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/78da620f-641e-4f51-b371-dc3528809e26/Ventas/,2026-09-13T02:19:56.213809+00:00
AMERICAN WATER,Energy and Environmental,United States of America,"4,684.00 M$","6,700 employees",+67%,7%,93.84,GHG emissions 467k tons of GHG emissions,Societal infrastructure 19.3M long-haul train rides,1.12.0,https://uprightplatform.com/company/4929bbef-71ef-42c8-b63b-4c36d6022041/American%20Water/,2026-09-13T02:19:59.668544+00:00
CBOE GLOBAL MARKETS,Financial Services,United States of America,"4,531.80 M$","1,685 employees",-21%,77%,23.19,Scarce human capital 5.03k scarce worker years,Taxes 2.28M days of primary education,1.12.0,https://uprightplatform.com/company/b277c8e3-36a3-4c1a-a4a7-357d1f0cbbc1/Cboe%20Global%20Markets/,2026-09-13T02:20:02.999423+00:00
FMC,Chemicals,United States of America,"4,486.80 M$","5,700 employees",+10%,59%,41.41,GHG emissions 492k tons of GHG emissions,Nutrition 1.24bn bananas,1.12.0,https://uprightplatform.com/company/02f42aa0-66e2-4889-95b4-f1fbc1403558/Fmc/,2026-09-13T02:20:06.303438+00:00
ILLUMINA,Pharmaceuticals and Biotechnology,United States of America,"4,284.00 M$","8,970 employees",+56%,16%,84.56,Scarce human capital 3.08k scarce worker years,Physical diseases 33.2k life years,1.12.0,https://uprightplatform.com/company/5cd81143-a530-4e04-ae7f-075a8ba7807c/Illumina/,2026-09-13T02:20:09.453864+00:00
HASBRO,Consumer Product Manufacturing,United States of America,"4,250.80 M$","4,985 employees",+13%,56%,44.34,GHG emissions 366k tons of GHG emissions,Meaning & joy 105M roller coaster rides,1.12.0,https://uprightplatform.com/company/0ea73391-a4b7-4c8c-b70e-7d443c5fee73/Hasbro/,2026-09-13T02:20:12.745741+00:00
