company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
KROGER,Retail,United States of America,"147,225.00 M$","409,000 employees",-24%,79%,21.89,GHG emissions 24.8M tons of GHG emissions,Taxes 150M days of primary education,1.12.0,https://uprightplatform.com/company/78452f07-a1e1-470d-a1db-b4b60ea2d3c8/Kroger/,2026-09-13T01:58:10.623798+00:00
PHILLIPS 66,Energy and Environmental,United States of America,"145,496.00 M$","14,000 employees",-83%,93%,7.38,GHG emissions 52.6M tons of GHG emissions,Societal infrastructure 407M long-haul train rides,1.12.0,https://uprightplatform.com/company/abfe467a-546a-4c51-b9ef-02cb426ec2f9/Phillips%2066/,2026-09-13T01:58:14.211389+00:00
MARATHON PETROLEUM,Energy and Environmental,United States of America,"140,412.00 M$","18,300 employees",-104%,96%,4.52,GHG emissions 57.4M tons of GHG emissions,Societal infrastructure 494M long-haul train rides,1.12.0,https://uprightplatform.com/company/12adabe6-714a-4572-9ea5-02b1e8870d6e/Marathon%20Petroleum/,2026-09-13T01:58:17.833692+00:00
VERIZON COMMUNICATIONS,Telecommunications,United States of America,"134,788.00 M$","99,600 employees",+38%,34%,66.35,Scarce human capital 97.8k scarce worker years,Taxes 137M days of primary education,1.12.0,https://uprightplatform.com/company/3509b043-ed83-4121-bfae-8f2de5b94f8f/Verizon%20Communications/,2026-09-13T01:58:21.216629+00:00
NVIDIA,Computer Software,United States of America,"130,497.00 M$","36,000 employees",+14%,55%,45.41,Scarce human capital 84.5k scarce worker years,Taxes 109M days of primary education,1.12.0,https://uprightplatform.com/company/51da69d1-738a-4304-8a11-102f4e2c3b21/Nvidia/,2026-09-13T01:58:24.798691+00:00
GOLDMAN SACHS,Financial Services,United States of America,"126,853.00 M$","45,300 employees",-23%,78%,22.58,Scarce human capital 131k scarce worker years,Taxes 57.8M days of primary education,1.12.0,https://uprightplatform.com/company/b27d9528-b2f0-4898-9199-7645f344bf58/Goldman%20Sachs/,2026-09-13T01:58:28.344942+00:00
VALERO ENERGY,Energy and Environmental,United States of America,"123,974.00 M$","9,908 employees",-124%,97%,3.01,GHG emissions 49.1M tons of GHG emissions,Societal infrastructure 328M long-haul train rides,1.12.0,https://uprightplatform.com/company/76dfa3d7-e2bd-40a4-833b-95809cf82ccb/Valero%20Energy/,2026-09-13T01:58:32.767467+00:00
COMCAST,Telecommunications,United States of America,"123,731.00 M$","182,000 employees",+37%,35%,65.48,Scarce human capital 90.9k scarce worker years,Taxes 132M days of primary education,1.12.0,https://uprightplatform.com/company/89f6d844-6307-49dd-a145-1ad5714daa13/Comcast/,2026-09-13T01:58:36.213960+00:00
AT&T,Telecommunications,United States of America,"122,336.00 M$","139,970 employees",+35%,37%,63.22,Scarce human capital 101k scarce worker years,Taxes 139M days of primary education,1.12.0,https://uprightplatform.com/company/c8661ed0-239f-4a06-ac8e-0feb0879c27a/AT%26T/,2026-09-13T01:58:39.672155+00:00
HUMANA,Insurance,United States of America,"117,761.00 M$","65,680 employees",+33%,38%,62.07,Scarce human capital 87.8k scarce worker years,Physical diseases 817k life years,1.12.0,https://uprightplatform.com/company/2d84c046-a8c6-49f2-a398-24ff727ced28/Humana/,2026-09-13T01:58:42.929099+00:00
