company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
PARKER HANNIFIN,category_total,Society,Society,-0.3,+11.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,category_total,Knowledge,Knowledge,-2.3,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,category_total,Health,Health,-1.3,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,category_total,Environment,Environment,-11.0,+1.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Society,Taxes,,+4.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Society,Jobs,,+2.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Society,Societal infrastructure,,+4.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Society,Equality & human rights,-0.1,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Society,Societal stability,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Knowledge,Scarce human capital,-2.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Knowledge,Knowledge infrastructure,,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Knowledge,Creating knowledge,,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Knowledge,Distributing knowledge,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Health,Physical diseases,-1.0,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Health,Mental diseases,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Health,Nutrition,,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Health,Relationships,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Health,Meaning & joy,-0.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Environment,GHG emissions,-5.8,+0.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Environment,Non-GHG emissions,-1.9,+0.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Environment,Scarce natural resources,-0.8,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Environment,Biodiversity,-1.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
PARKER HANNIFIN,submetric,Environment,Waste,-1.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7ba00b8e-d681-47ab-8189-a1a8ddb8018e/Parker%20Hannifin/
WASTE MANAGEMENT,category_total,Society,Society,-0.2,+17.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/6e7df0f5-76c9-484f-94ae-2dde84fc9b92/Waste%20Management/
WASTE MANAGEMENT,category_total,Knowledge,Knowledge,-1.5,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/6e7df0f5-76c9-484f-94ae-2dde84fc9b92/Waste%20Management/
WASTE MANAGEMENT,category_total,Health,Health,-1.2,+3.4,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/6e7df0f5-76c9-484f-94ae-2dde84fc9b92/Waste%20Management/
