company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
MORGAN STANLEY,Financial Services,United States of America,"107,285.00 M$","80,000 employees",-5%,69%,31.24,Scarce human capital 112k scarce worker years,Taxes 45.8M days of primary education,1.12.0,https://uprightplatform.com/company/17ea051d-d7ce-49bf-a840-9d1bc9406a48/Morgan%20Stanley/,2026-09-13T01:58:57.764525+00:00
TARGET,Retail,United States of America,"106,566.00 M$","440,000 employees",-22%,78%,22.96,GHG emissions 18.0M tons of GHG emissions,Taxes 97.2M days of primary education,1.12.0,https://uprightplatform.com/company/770e928b-1477-4604-a251-4099b38ce486/Target/,2026-09-13T01:59:01.195193+00:00
TESLA,Automotive,United States of America,"94,827.00 M$","134,785 employees",+54%,17%,83.31,GHG emissions 10.9M tons of GHG emissions,Societal infrastructure 392M long-haul train rides,1.12.0,https://uprightplatform.com/company/cac88d31-47c6-4728-9fd4-c2a726ddea39/Tesla/,2026-09-13T01:59:04.512472+00:00
PEPSICO,Food and Beverage,United States of America,"91,854.00 M$","318,000 employees",-110%,96%,4.03,Physical diseases 792k life years,Taxes 56.3M days of primary education,1.12.0,https://uprightplatform.com/company/640d09ec-d35b-4560-b3df-59896905e599/PepsiCo/,2026-09-13T01:59:08.092230+00:00
WALT DISNEY,Media,United States of America,"91,361.00 M$","233,000 employees",+19%,51%,49.17,Scarce human capital 48.7k scarce worker years,Taxes 84.7M days of primary education,1.12.0,https://uprightplatform.com/company/3edfe7da-4942-405f-b22c-eb3d643ad3ba/Walt%20Disney/,2026-09-13T01:59:11.382964+00:00
UNITED PARCEL SERVICE,Consumer Services,United States of America,"91,070.00 M$","490,000 employees",-59%,89%,11.41,GHG emissions 26.2M tons of GHG emissions,Taxes 94.4M days of primary education,1.12.0,https://uprightplatform.com/company/1fd34172-70b0-443e-9d18-f34a4bc32303/United%20Parcel%20Service/,2026-09-13T01:59:14.908525+00:00
ARCHER DANIELS MIDLAND,Agriculture and Forestry,United States of America,"85,530.00 M$","42,383 employees",+1%,66%,34.70,GHG emissions 11.0M tons of GHG emissions,Nutrition 17.3bn bananas,1.12.0,https://uprightplatform.com/company/e884287f-b5da-4a64-9ea3-f59af33b3e1b/Archer%20Daniels%20Midland/,2026-09-13T01:59:18.088735+00:00
PROCTER & GAMBLE,Consumer Product Manufacturing,United States of America,"84,039.00 M$","109,000 employees",-21%,77%,23.32,GHG emissions 13.3M tons of GHG emissions,Physical diseases 346k life years,1.12.0,https://uprightplatform.com/company/e9d6e413-4f70-4b0d-8882-28a8d71eaf9d/Procter%20%26%20Gamble/,2026-09-13T01:59:21.351822+00:00
LOWE'S,Retail,United States of America,"83,674.00 M$","161,000 employees",-44%,86%,14.81,GHG emissions 16.4M tons of GHG emissions,Taxes 75.1M days of primary education,1.12.0,https://uprightplatform.com/company/7f570a31-ad07-41a2-98c6-e1ca76df38be/Lowe's/,2026-09-13T01:59:24.438819+00:00
SYSCO,Food and Beverage,United States of America,"78,844.00 M$","75,000 employees",-5%,69%,31.01,GHG emissions 10.2M tons of GHG emissions,Nutrition 27.6bn bananas,1.12.0,https://uprightplatform.com/company/1eb33464-7f56-4b6d-a709-fa56da22bd6f/Sysco/,2026-09-13T01:59:27.810926+00:00
