company,industry,country_of_hq,revenue,employee_count,net_impact_ratio,rank_top_percent,benchmark_percent_lower,largest_cost,largest_benefit,model_release,upright_url,scraped_at_utc
CARDINAL HEALTH,Hospitals and Healthcare,United States of America,"226,827.00 M$","57,700 employees",+52%,19%,81.16,GHG emissions 18.1M tons of GHG emissions,Physical diseases 3.33M life years,1.12.0,https://uprightplatform.com/company/9c57667c-eb1a-4a97-9b84-aa3e644dcd41/Cardinal%20Health/,2026-09-13T01:57:21.861237+00:00
CHEVRON,Energy and Environmental,United States of America,"202,792.00 M$","45,298 employees",-105%,96%,4.35,GHG emissions 89.3M tons of GHG emissions,Societal infrastructure 753M long-haul train rides,1.12.0,https://uprightplatform.com/company/704b2a91-d3b8-4a43-849f-2ba799575be5/Chevron/,2026-09-13T01:57:25.284779+00:00
BANK OF AMERICA,Banks,United States of America,"192,434.00 M$","213,000 employees",+1%,65%,35.12,Scarce human capital 197k scarce worker years,Taxes 100M days of primary education,1.12.0,https://uprightplatform.com/company/08fb13a2-68f4-489a-a868-ee9eeb38db11/Bank%20of%20America/,2026-09-13T01:57:28.208445+00:00
GENERAL MOTORS,Automotive,United States of America,"187,442.00 M$","162,000 employees",-51%,87%,13.13,GHG emissions 58.8M tons of GHG emissions,Societal infrastructure 539M long-haul train rides,1.12.0,https://uprightplatform.com/company/459d1070-384a-4a27-833a-373e21266373/General%20Motors/,2026-09-13T01:57:31.049362+00:00
FORD MOTOR,Automotive,United States of America,"184,992.00 M$","171,000 employees",-41%,85%,15.82,GHG emissions 56.1M tons of GHG emissions,Societal infrastructure 573M long-haul train rides,1.12.0,https://uprightplatform.com/company/25f9dcfa-1830-406a-a2b6-17bde5e74da9/Ford%20Motor/,2026-09-13T01:57:33.893917+00:00
ELEVANCE HEALTH,Insurance,United States of America,"177,011.00 M$","96,129 employees",+51%,20%,80.69,Scarce human capital 142k scarce worker years,Physical diseases 993k life years,1.12.0,https://uprightplatform.com/company/cc9136fb-958d-4a6b-a1d1-f62afbdbc372/Elevance%20Health/,2026-09-13T01:57:36.759314+00:00
CITIGROUP,Financial Services,United States of America,"170,757.00 M$","239,000 employees",+16%,53%,47.27,Scarce human capital 155k scarce worker years,Societal infrastructure 186M long-haul train rides,1.12.0,https://uprightplatform.com/company/db6cbfea-3c91-43b7-9638-3fcefd683956/Citigroup/,2026-09-13T01:57:39.834151+00:00
CENTENE,Hospitals and Healthcare,United States of America,"163,071.00 M$","61,100 employees",+42%,29%,71.69,Scarce human capital 128k scarce worker years,Jobs 833k direct or indirect jobs,1.12.0,https://uprightplatform.com/company/ed622de1-68bc-4cbf-ae57-54f656cb1edc/Centene/,2026-09-13T01:57:42.624975+00:00
HOME DEPOT,Retail,United States of America,"159,514.00 M$","470,000 employees",-34%,82%,18.42,GHG emissions 29.2M tons of GHG emissions,Taxes 148M days of primary education,1.12.0,https://uprightplatform.com/company/4929d60a-46d9-4f36-affd-02d6e2b65a6d/Home%20Depot/,2026-09-13T01:57:45.362136+00:00
WALGREENS BOOTS ALLIANCE,Retail,United States of America,"147,658.00 M$","193,000 employees",+10%,59%,41.46,GHG emissions 20.1M tons of GHG emissions,Physical diseases 826k life years,1.12.0,https://uprightplatform.com/company/cdcefef9-b4be-4496-9ba3-2e15c773c083/Walgreens%20Boots%20Alliance/,2026-09-13T01:57:48.254489+00:00
