parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,percentage_of_operation,source_id,source_name,source_sector,source_subsector,iso3_country
Government of Aruba ,E100001011500,state,549300KCP2OHANSCXH27,4297062124,,ABW,100,Government of Aruba  -> Utilities Aruba NV [100.0%] -> Water- en Energiebedrijf Aruba NV [100.0%] -> RECIP power plant [100.0%],,Water- en Energiebedrijf Aruba NV,E100001010551,,,,25452484,RECIP power plant,power,electricity-generation,ABW
Utilities Aruba NV,E100001011499,legal entity,not found,5050713575,ABW,ABW,100,Utilities Aruba NV -> Water- en Energiebedrijf Aruba NV [100.0%] -> RECIP power plant [100.0%],,Water- en Energiebedrijf Aruba NV,E100001010551,,,,25452484,RECIP power plant,power,electricity-generation,ABW
Ministry of Energy and Water (Afghanistan) ,E100000187841,state body,not found,not found,,AFG,,Ministry of Energy and Water (Afghanistan)  -> North West Kabul thermal power plant [unknown %],,Ministry of Energy and Water (Afghanistan) ,E100000187841,,,,49529246,North West Kabul thermal power plant,power,electricity-generation,AFG
Government of Afghanistan ,E100001013528,state,,5000891033,AFG,AFG,,Government of Afghanistan  -> Ministry of Energy and Water (Afghanistan)  [100.0%] -> North West Kabul thermal power plant [unknown %],,Ministry of Energy and Water (Afghanistan) ,E100000187841,,,,49529246,North West Kabul thermal power plant,power,electricity-generation,AFG
United States Agency for International Development ,E100001011141,state body,not found,5001115853,USA,USA,100,United States Agency for International Development  -> Tarakhil power station [100.0%],,United States Agency for International Development ,E100001011141,,,,5532,Tarakhil power station,power,electricity-generation,AFG
Novonor SA,E100001014506,legal entity,not found,4295859730,BRA,BRA,40,Novonor SA -> Companhia de Bioenergia de Angola Lda [40.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Sonangol EP,E100000000004,legal entity,254900JSN3Z8XJUIC270,5000035131,AGO,AGO,20,Sonangol EP -> Companhia de Bioenergia de Angola Lda [20.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Government of Angola ,E100001012407,state,549300QHR2R3J8JSGK83,5000026488,AGO,AGO,20,Government of Angola  -> Sonangol EP [100.0%] -> Companhia de Bioenergia de Angola Lda [20.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Cochan SA,E100002018470,legal entity,not found,5083439848,AGO,AGO,40,Cochan SA -> Companhia de Bioenergia de Angola Lda [40.0%] -> Biocom power station [100.0%],,Companhia de Bioenergia de Angola Lda,E100000132609,,,,451344,Biocom power station,power,electricity-generation,AGO
Public Electricity Production Co,E100001012011,legal entity,not found,5051601964,AGO,AGO,,Public Electricity Production Co -> Central de Quileva power plant [unknown %],,Public Electricity Production Co,E100001012011,,,,4407501,Central de Quileva power plant,power,electricity-generation,AGO
Government of Angola ,E100001012407,state,549300QHR2R3J8JSGK83,5000026488,AGO,AGO,,Government of Angola  -> Public Electricity Production Co [100.0%] -> Central de Quileva power plant [unknown %],,Public Electricity Production Co,E100001012011,,,,4407501,Central de Quileva power plant,power,electricity-generation,AGO
Sonagás ,E100000004067,legal entity,not found,not found,GNQ,GNQ,100,Sonagás  -> Soyo power station [100.0%],,Sonagás ,E100000004067,,,,452522,Soyo power station,power,electricity-generation,AGO
Government of Equatorial Guinea ,E100001012015,state,,4296592042,GNQ,GNQ,100,Government of Equatorial Guinea  -> Sonagás  [100.0%] -> Soyo power station [100.0%],,Sonagás ,E100000004067,,,,452522,Soyo power station,power,electricity-generation,AGO
Forces Electriques d'Andorra SA,E100002004681,legal entity,not found,5001230710,AND,AND,,Forces Electriques d'Andorra SA -> Centre de Tractament de Residus d’Andorra SA [100.0%] -> Andorra Waste to Energy power station [unknown %],,Centre de Tractament de Residus d’Andorra SA,E100002016676,,,,49701798,Andorra Waste to Energy power station,power,electricity-generation,AND
Government of Andorra ,E100002017108,state,549300ZPD490G9UI0A49,5000012508,AND,AND,,Government of Andorra  -> Forces Electriques d'Andorra SA [100.0%] -> Centre de Tractament de Residus d’Andorra SA [100.0%] -> Andorra Waste to Energy power station [unknown %],,Centre de Tractament de Residus d’Andorra SA,E100002016676,,,,49701798,Andorra Waste to Energy power station,power,electricity-generation,AND
Dubai Electricity and Water Authority PJSC,E100000002158,legal entity,213800K4OJF8DKATLT41,5000020200,ARE,ARE,100,Dubai Electricity and Water Authority PJSC -> Al Aweer H Power and Desalination Station [100.0%],,Dubai Electricity and Water Authority PJSC,E100000002158,,,,25450582,Al Aweer H Power and Desalination Station,power,electricity-generation,ARE
Municipality of Dubai ,E100001000280,state,not found,5035943651,ARE,ARE,82,Municipality of Dubai  -> Dubai Electricity and Water Authority PJSC [82.0%] -> Al Aweer H Power and Desalination Station [100.0%],,Dubai Electricity and Water Authority PJSC,E100000002158,,,,25450582,Al Aweer H Power and Desalination Station,power,electricity-generation,ARE
unknown ,E100000132388,unknown entity,not applicable,not applicable,,,18,unknown  -> Dubai Electricity and Water Authority PJSC [18.0%] -> Al Aweer H Power and Desalination Station [100.0%],,Dubai Electricity and Water Authority PJSC,E100000002158,,,,25450582,Al Aweer H Power and Desalination Station,power,electricity-generation,ARE
Ghantoot Group LLC,E100000120499,legal entity,not found,5040953454,ARE,ARE,,Ghantoot Group LLC -> Utico Middle East FZCO [unknown %] -> Al Hamra Independent Power Plant [unknown %],,Utico Middle East FZCO,E100000121497,,,,49530229,Al Hamra Independent Power Plant,power,electricity-generation,ARE
unknown ,E100000132388,unknown entity,not applicable,not applicable,,,,unknown  -> Dubai Electricity and Water Authority PJSC [18.0%] -> Al Qusais Landfill power station [unknown %],,Dubai Electricity and Water Authority PJSC,E100000002158,,,,49700817,Al Qusais Landfill power station,power,electricity-generation,ARE
Dubai Electricity and Water Authority PJSC,E100000002158,legal entity,213800K4OJF8DKATLT41,5000020200,ARE,ARE,,Dubai Electricity and Water Authority PJSC -> Al Qusais Landfill power station [unknown %],,Dubai Electricity and Water Authority PJSC,E100000002158,,,,49700817,Al Qusais Landfill power station,power,electricity-generation,ARE
Municipality of Dubai ,E100001000280,state,not found,5035943651,ARE,ARE,,Municipality of Dubai  -> Dubai Electricity and Water Authority PJSC [82.0%] -> Al Qusais Landfill power station [unknown %],,Dubai Electricity and Water Authority PJSC,E100000002158,,,,49700817,Al Qusais Landfill power station,power,electricity-generation,ARE
Emirates Investment Authority ,E100000001082,state body,549300H4PKCQQ209AU91,5001008480,ARE,ARE,100,Emirates Investment Authority  -> Etihad Water and Electricity  [100.0%] -> Al-Zawra power plant [100.0%],,Etihad Water and Electricity ,E100000004255,,,,447360,Al-Zawra power plant,power,electricity-generation,ARE
Etihad Water and Electricity ,E100000004255,state body,not found,5083153842,ARE,ARE,100,Etihad Water and Electricity  -> Al-Zawra power plant [100.0%],,Etihad Water and Electricity ,E100000004255,,,,447360,Al-Zawra power plant,power,electricity-generation,ARE
Municipality of Dubai ,E100001000280,state,not found,5035943651,ARE,ARE,100,Municipality of Dubai  -> Dubai Waste Management Centre power station [100.0%],,Municipality of Dubai ,E100001000280,,,,38757350,Dubai Waste Management Centre power station,power,electricity-generation,ARE
Mubadala Investment Company PJSC,E100000001086,legal entity,254900WQNR75XU8DAZ20,5050656789,ARE,ARE,50,Mubadala Investment Company PJSC -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Aluminum Smelter Complex power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,451115,Emirates Aluminum Smelter Complex power station,power,electricity-generation,ARE
Emirate of Abu Dhabi (United Arab Emirates) ,E100001000095,state,213800FER4348CINTA77,4298084923,ARE,ARE,50,Emirate of Abu Dhabi (United Arab Emirates)  -> Mubadala Investment Company PJSC [100.0%] -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Aluminum Smelter Complex power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,451115,Emirates Aluminum Smelter Complex power station,power,electricity-generation,ARE
Municipality of Dubai ,E100001000280,state,not found,5035943651,ARE,ARE,50,Municipality of Dubai  -> Investment Corporation of Dubai  [100.0%] -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Aluminum Smelter Complex power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,451115,Emirates Aluminum Smelter Complex power station,power,electricity-generation,ARE
Investment Corporation of Dubai ,E100001000294,legal entity,6354001CBBZXJHDGZY76,5000008470,ARE,ARE,50,Investment Corporation of Dubai  -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Aluminum Smelter Complex power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,451115,Emirates Aluminum Smelter Complex power station,power,electricity-generation,ARE
Municipality of Dubai ,E100001000280,state,not found,5035943651,ARE,ARE,50,Municipality of Dubai  -> Investment Corporation of Dubai  [100.0%] -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Global Aluminum Smelter power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,25455783,Emirates Global Aluminum Smelter power station,power,electricity-generation,ARE
Mubadala Investment Company PJSC,E100000001086,legal entity,254900WQNR75XU8DAZ20,5050656789,ARE,ARE,50,Mubadala Investment Company PJSC -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Global Aluminum Smelter power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,25455783,Emirates Global Aluminum Smelter power station,power,electricity-generation,ARE
Investment Corporation of Dubai ,E100001000294,legal entity,6354001CBBZXJHDGZY76,5000008470,ARE,ARE,50,Investment Corporation of Dubai  -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Global Aluminum Smelter power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,25455783,Emirates Global Aluminum Smelter power station,power,electricity-generation,ARE
Emirate of Abu Dhabi (United Arab Emirates) ,E100001000095,state,213800FER4348CINTA77,4298084923,ARE,ARE,50,Emirate of Abu Dhabi (United Arab Emirates)  -> Mubadala Investment Company PJSC [100.0%] -> Emirates Global Aluminium PJSC [50.0%] -> Emirates Global Aluminum Smelter power station [100.0%],,Emirates Global Aluminium PJSC,E100000002159,,,,25455783,Emirates Global Aluminum Smelter power station,power,electricity-generation,ARE
Abu Dhabi Power Corp,E100000001080,legal entity,not found,5042955695,ARE,ARE,48.62,Abu Dhabi Power Corp -> Abu Dhabi National Energy Company PJSC [90.03%] -> Emirates Sembcorp Water & Power Co [54.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
Abu Dhabi Water and Electricity Authority ,E100000002157,state body,not found,5000066962,ARE,ARE,6,Abu Dhabi Water and Electricity Authority  -> Emirates Sembcorp Water & Power Co [6.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
unknown ,E100000132388,unknown entity,not applicable,not applicable,,,40,unknown  -> Emirates Sembcorp Water & Power Co [40.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
Multiply Group PJSC,E100001000333,legal entity,not found,5046656061,ARE,ARE,3.94,Multiply Group PJSC -> Abu Dhabi National Energy Company PJSC [7.3%] -> Emirates Sembcorp Water & Power Co [54.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
Emirate of Abu Dhabi (United Arab Emirates) ,E100001000095,state,213800FER4348CINTA77,4298084923,ARE,ARE,,Emirate of Abu Dhabi (United Arab Emirates)  -> Abu Dhabi Water and Electricity Authority  [unknown %] -> Emirates Sembcorp Water & Power Co [6.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,1.44,small shareholder(s)  -> Abu Dhabi National Energy Company PJSC [2.67%] -> Emirates Sembcorp Water & Power Co [54.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
Abu Dhabi Developmental Holding Company PJSC,E100001011044,legal entity,254900G082ZFKTCR2Q75,5072806053,ARE,ARE,48.62,Abu Dhabi Developmental Holding Company PJSC -> Abu Dhabi Power Corp [100.0%] -> Abu Dhabi National Energy Company PJSC [90.03%] -> Emirates Sembcorp Water & Power Co [54.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
Abu Dhabi National Energy Company PJSC,E100000001078,legal entity,213800UNJSVQFNUYYW03,4298008641,ARE,ARE,54,Abu Dhabi National Energy Company PJSC -> Emirates Sembcorp Water & Power Co [54.0%] -> Fujairah F1 Integrated Water and power plant [100.0%],,Emirates Sembcorp Water & Power Co,E100000002930,,,,450311,Fujairah F1 Integrated Water and power plant,power,electricity-generation,ARE
Meiji Yasuda Life Insurance Co,E100001011617,legal entity,549300SLU4LP6YMRLK07,4295878049,JPN,JPN,0.33,Meiji Yasuda Life Insurance Co -> The Master Trust Bank of Japan Ltd [10.0%] -> Marubeni Corp [16.55%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Mizuho Financial Group Inc,E100000134222,legal entity,353800CI5L6DDAN5XZ33,4295878505,JPN,JPN,0.35,Mizuho Financial Group Inc -> Custody Bank of Japan Ltd [27.0%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
The Dai-ichi Life Insurance Co Ltd,E100000133542,legal entity,3538001235ACEIORUV72,5050714842,JPN,JPN,0.1,The Dai-ichi Life Insurance Co Ltd -> Custody Bank of Japan Ltd [8.0%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Government of France ,E100001000079,state,969500KCGF3SUYJHPV70,4296004552,FRA,FRA,4.73,Government of France  -> ENGIE SA [23.64%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
BNYM AS AGT/ CLTS 10 Percent ,E100001016127,legal entity,not found,not found,JPN,JPN,2.03,BNYM AS AGT/ CLTS 10 Percent  -> Marubeni Corp [10.14%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Daiichi Life Group Inc,E100002022203,legal entity,549300ZUFXI7JXZVTZ25,4295880128,JPN,JPN,0.1,Daiichi Life Group Inc -> The Dai-ichi Life Insurance Co Ltd [100.0%] -> Custody Bank of Japan Ltd [8.0%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Resonac Holdings Corp,E100002011285,legal entity,5493006AIPA1V92YPP18,4295877962,JPN,JPN,0.22,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
The Master Trust Bank of Japan Ltd,E100001000178,legal entity,5493009GCYS5Q8HOI372,4296024114,JPN,JPN,3.31,The Master Trust Bank of Japan Ltd -> Marubeni Corp [16.55%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Blackrock Advisors LLC,E100001015833,legal entity,5493001LN9MRM6A35J74,4296341404,USA,USA,0.06,Blackrock Advisors LLC -> BlackRock Inc [5.07%] -> ENGIE SA [5.89%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Abu Dhabi Developmental Holding Company PJSC,E100001011044,legal entity,254900G082ZFKTCR2Q75,5072806053,ARE,ARE,54.02,Abu Dhabi Developmental Holding Company PJSC -> Abu Dhabi Power Corp [100.0%] -> Abu Dhabi National Energy Company PJSC [90.03%] -> Fujairah Water and Electricity Co [100.0%] -> Fujairah Asia Power Company PJSC [60.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Multiply Group PJSC,E100001000333,legal entity,not found,5046656061,ARE,ARE,4.38,Multiply Group PJSC -> Abu Dhabi National Energy Company PJSC [7.3%] -> Fujairah Water and Electricity Co [100.0%] -> Fujairah Asia Power Company PJSC [60.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
BlackRock Inc,E100001000348,legal entity,549300LRIF3NWCU26A80,4295900990,USA,USA,1.18,BlackRock Inc -> ENGIE SA [5.89%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Norinchukin Bank ,E100001016492,legal entity,5493007VSMFZCPV1NB83,4295878071,JPN,JPN,0.33,Norinchukin Bank  -> The Norinchukin Trust & Banking Co Ltd [100.0%] -> The Master Trust Bank of Japan Ltd [10.0%] -> Marubeni Corp [16.55%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
The Norinchukin Trust & Banking Co Ltd,E100001016126,legal entity,353800KATW3NT9UZ7C55,5000030180,JPN,JPN,0.33,The Norinchukin Trust & Banking Co Ltd -> The Master Trust Bank of Japan Ltd [10.0%] -> Marubeni Corp [16.55%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
State Street Corp,E100001010596,legal entity,549300ZFEEJ2IP5VME73,4295904976,USA,USA,0.01,State Street Corp -> State Street Bank and Trust Co [100.0%] -> Resonac Holdings Corp [6.5%] -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Abu Dhabi National Energy Company PJSC,E100000001078,legal entity,213800UNJSVQFNUYYW03,4298008641,ARE,ARE,60,Abu Dhabi National Energy Company PJSC -> Fujairah Water and Electricity Co [100.0%] -> Fujairah Asia Power Company PJSC [60.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
ENGIE SA,E100000000382,legal entity,LAXUQCHT4FH58LRZDY46,4295866806,FRA,FRA,20,ENGIE SA -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
State Street Bank and Trust Co,E100000136108,legal entity,571474TGEMMWANRLN572,4296555888,USA,USA,0.01,State Street Bank and Trust Co -> Resonac Holdings Corp [6.5%] -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Mitsubishi UFJ Financial Group Inc,E100001016498,legal entity,353800V2V8PUY9TK3E06,5000000933,JPN,JPN,1.54,Mitsubishi UFJ Financial Group Inc -> Mitsubishi UFJ Trust and Banking Corp [100.0%] -> The Master Trust Bank of Japan Ltd [46.5%] -> Marubeni Corp [16.55%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Abu Dhabi Power Corp,E100000001080,legal entity,not found,5042955695,ARE,ARE,54.02,Abu Dhabi Power Corp -> Abu Dhabi National Energy Company PJSC [90.03%] -> Fujairah Water and Electricity Co [100.0%] -> Fujairah Asia Power Company PJSC [60.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Mitsubishi UFJ Trust and Banking Corp,E100001016125,legal entity,JBONEPAGQXF4QP29B387,4295880553,JPN,JPN,1.54,Mitsubishi UFJ Trust and Banking Corp -> The Master Trust Bank of Japan Ltd [46.5%] -> Marubeni Corp [16.55%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Emirate of Abu Dhabi (United Arab Emirates) ,E100001000095,state,213800FER4348CINTA77,4298084923,ARE,ARE,54.02,Emirate of Abu Dhabi (United Arab Emirates)  -> Abu Dhabi Developmental Holding Company PJSC [100.0%] -> Abu Dhabi Power Corp [100.0%] -> Abu Dhabi National Energy Company PJSC [90.03%] -> Fujairah Water and Electricity Co [100.0%] -> Fujairah Asia Power Company PJSC [60.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Marubeni Corp,E100000000649,legal entity,4P4N3ORD02UGQT1T1W12,4295880543,JPN,JPN,20,Marubeni Corp -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Nippon Life Insurance Co,E100001000382,legal entity,549300Y0HHMFW3EVWY08,4295880569,JPN,JPN,1.11,Nippon Life Insurance Co -> The Master Trust Bank of Japan Ltd [33.5%] -> Marubeni Corp [16.55%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
natural person(s) ,E100000123261,person,not applicable,not applicable,,,0.07,natural person(s)  -> Mizuho Financial Group Inc [21.13%] -> Custody Bank of Japan Ltd [27.0%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,14.09,small shareholder(s)  -> ENGIE SA [70.47%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Resona Bank Ltd,E100001016256,legal entity,549300RHQA2HXUOC5Z25,5000007230,JPN,JPN,0.22,Resona Bank Ltd -> Custody Bank of Japan Ltd [16.7%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
The Vanguard Group Inc,E100001010595,legal entity,5493002789CX3L0CJP65,4297651992,USA,USA,0.1,The Vanguard Group Inc -> BlackRock Inc [8.66%] -> ENGIE SA [5.89%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Custody Bank of Japan Ltd,E100001000179,legal entity,549300300IVF7LGDV529,5000069627,JPN,JPN,1.31,Custody Bank of Japan Ltd -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
Asahi Mutual Life Insurance Co,E100001016257,legal entity,549300ZTKF2W3KCEJ782,4295880659,JPN,JPN,0.07,Asahi Mutual Life Insurance Co -> Custody Bank of Japan Ltd [5.0%] -> Marubeni Corp [6.56%] -> Fujairah F2 CV [50.0%] -> Fujairah Asia Power Company PJSC [40.0%] -> Fujairah F2 Integrated Water and power plant [100.0%],,Fujairah Asia Power Company PJSC,E100000003047,,,,451010,Fujairah F2 Integrated Water and power plant,power,electricity-generation,ARE
