ticker,security,asset_count,sectors,subsectors,countries,min_share_percent,max_share_percent,avg_share_percent,sample_source_names
NEM,Newmont,3,power,electricity-generation,DOM;USA,38.5,40.0,39.0,Quisqueya 1 power station;TS Power Plant;Western 102 Power Plant
NI,NiSource,4,power,electricity-generation,USA,100.0,100.0,100.0,Bailly;Michigan City;R M Schahfer
NRG,NRG Energy,30,power,electricity-generation,AUS;HND;TWN;USA,0.0,100.0,72.7,Gladstone power station;ELCOSA power station;Hsin Yu cogeneration power station
OKE,Oneok,1,power,electricity-generation,USA,100.0,100.0,100.0,Bridgeport Gas Processing Plant
OXY,Occidental Petroleum,6,power,electricity-generation,USA,45.2,100.0,85.8,Houston Chemical Complex Battleground;Ingleside Cogeneration;NET Power La Porte power station
PCG,PG&E Corporation,3,power,electricity-generation,USA,100.0,100.0,100.0,Colusa Generating Station;Gateway Generating Station;Humboldt Bay
PEG,Public Service Enterprise Group,2,power,electricity-generation,USA,71.7,100.0,85.9,Bridgeport Station;New Haven Steam
PFE,Pfizer,1,power,electricity-generation,USA,100.0,100.0,100.0,Pfizer Groton Plant
PG,Procter & Gamble,3,power,electricity-generation,USA,100.0,100.0,100.0,Oxnard;Procter & Gamble Cincinnati Plant;Procter & Gamble Mehoopany Mill
PKG,Packaging Corporation of America,6,power,electricity-generation,USA,100.0,100.0,100.0,Boise Cascade International Falls;DeRidder Mill;Packaging Corp of America
PNW,Pinnacle West Capital,10,power,electricity-generation,USA,3.5,100.0,86.3,Cholla;Douglas;Four Corners
PPL,PPL Corporation,13,power,electricity-generation,USA,7.1,100.0,64.5,Cane Run;Colstrip;E W Brown
PSX,Phillips 66,6,power,electricity-generation,USA,0.0,100.0,75.0,Bayway Refinery;Enterprise Products Operating;Los Angeles Refinery Wilmington
SO,Southern Company,38,power,electricity-generation,USA,0.0,100.0,89.1,Barry;Boulevard;Bowen
SRE,Sempra,5,power,electricity-generation,MEX;USA,70.0,100.0,92.5,Termoelectrica de Mexicali power station;Cuyamaca Peak Energy Plant;Desert Star Energy Center
STT,State Street Corporation,1066,power,electricity-generation,ARE;AUS;BGR;BHR;BRA;CAN;CHL;CHN;DEU;DOM;ESP;EST;FIN;FRA;GBR;GHA;HND;IDN;IND;ITA;JAM;JOR;JPN;KAZ;KEN;KOR;LKA;MAR;MDG;MEX;MLI;MMR;MYS;NCL;NLD;NZL;OMN;PHL;PRI;PRT;QAT;RUS;SAU;SGP;SRB;SVK;THA;TTO;TWN;USA;VNM;ZAF,0.0,9.7,3.1,Fujairah F2 Integrated Water and power plant;Hamriyah power station;Mirfa Independent Water and Power Project
SW,Smurfit Westrock,21,power,electricity-generation,AUT;BRA;COL;ESP;FRA;GBR;ITA;USA,100.0,100.0,100.0,Nettingsdorf Paper Mill power station;Rigesa power station;Smurfit power station
TROW,T. Rowe Price,67,power,electricity-generation,ESP;GBR;ITA;PRT;USA,0.0,12.6,10.6,Duenas Mill power station;Fuenlabrada Mill power station;Peninsular de Cogeneracion Mill power station
VLO,Valero Energy,5,power,electricity-generation,GBR;USA,100.0,100.0,100.0,Valero Pembroke power station;Air Products Port Arthur;Valero Refinery Cogeneration Unit 1
VST,Vistra Corp.,60,power,electricity-generation,HND;USA,0.0,100.0,92.1,ELCOSA power station;ANP Blackstone Energy Project;Baldwin Energy Complex
WEC,WEC Energy Group,22,power,electricity-generation,USA,0.0,100.0,74.7,A.J. Mihm Generating Station;Columbia (WI);Concord
WM,Waste Management,8,power,electricity-generation,USA,,,,CSL Gas Recovery;DFW Gas Recovery;Metro Methane Recovery Facility
XEL,Xcel Energy,39,power,electricity-generation,USA,6.1,100.0,94.4,Alamosa;Allen S King;Angus Anson
