ticker,security,gics_sector,level_score,level_intensity_tco2e_per_usd,scope1_is_estimated,scope2_is_estimated,velocity_score,velocity_basis,velocity_details,integrity_score,integrity_disclosure_quality,integrity_cross_source_agreement,integrity_basis,environmental_composite_score
FAST,Fastenal,Industrials,96.2,1.8402689192656396e-05,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,91.4,90.0,93.5,with_cross_validation,69.2
GD,General Dynamics,Industrials,98.0,1.3012413022716707e-05,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,89.5,90.0,88.7,with_cross_validation,69.2
GM,General Motors,Consumer Discretionary,87.4,7.159795044344929e-06,False,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C/Well-below 2°C) + 0/1 for a net-zero target (Commitment removed) = 4/5 -> 80.0.,40.0,34.0,49.1,with_cross_validation,69.1
HPE,Hewlett Packard Enterprise,Information Technology,95.1,3.116629681551673e-06,True,True,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,12.0,12.0,,disclosure_quality_only,69.0
MGM,MGM Resorts,Consumer Discretionary,75.9,1.2547733377162088e-05,False,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,51.2,34.0,76.9,with_cross_validation,69.0
CAH,Cardinal Health,Health Care,85.0,3.815984099773411e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,41.8,12.0,86.4,with_cross_validation,68.9
HIG,Hartford (The),Financials,100.0,2.0798225937048192e-07,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,86.6,90.0,81.5,with_cross_validation,68.9
GILD,Gilead Sciences,Health Care,82.0,4.44372066468786e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,44.4,12.0,93.0,with_cross_validation,68.8
DOC,Healthpeak Properties,Real Estate,65.3,7.571412965560095e-05,False,False,60.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 1/2 for ambition (Well-below 2°C) + 0/1 for a net-zero target (none) = 3/5 -> 60.0.,80.9,90.0,67.2,with_cross_validation,68.7
ABNB,Airbnb,Consumer Discretionary,89.7,6.1313549363624355e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,35.7,12.0,71.2,with_cross_validation,68.5
EXC,Exelon,Utilities,95.8,0.00020960234435642817,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,89.6,90.0,89.0,with_cross_validation,68.5
LVS,Las Vegas Sands,Consumer Discretionary,81.9,9.73967485798242e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,43.6,12.0,90.9,with_cross_validation,68.5
